{'短评内容': '很有小资情调，三人房性价比很高', '短评打分': 5}
{'短评内容': '老板热情，环境好，吃得好', '短评打分': 5}
{'短评内容': '农家乐就在海滩边，出门就是海滩，此处想看海最佳。农家乐有一个豪华的餐厅，还有一个露天餐厅，一边吃饭一边看海一边听海的声音。停车也是很方便。很满意 ！', '短评打分': 5}
{'短评内容': '老板服务态度很好，前两年去的时候是朋友推荐的 住他们家隔壁的，这次去普陀山定他们家的贝壳床 很舒服，只是时间短没在他们家吃海鲜。夏天再去，还住他们家，可以听海浪的声音~', '短评打分': 5}
{'短评内容': '旅馆老板很热情，服务也很周到。老公的衣服忘记在旅馆里了，后来电话沟通，第二天就收到快递寄来的衣服，在此感谢！旅馆位置不错，就在海边，晚上可以坐在海边听海，儿子玩的非常开心', '短评打分': 5}
{'短评内容': '不错，每次去都住那的', '短评打分': 3}
{'短评内容': '把', '短评打分': 5}
{'短评内容': '老板和老板娘都非常好，很热情，地理位置很好，距离乌石塘很近，可以听到海浪的声音。二楼的餐厅很阳光，老板的海鲜手艺也相当不错，我们年初二一大早走，四点多，洪老板亲自开电筒送我们，很亲切，强烈值得推荐。下次去，一定还会住。', '短评打分': 5}
{'短评内容': '位置非常好，地处海边、餐饮或想去哪儿都很方便。 酒店设施有些陈旧但是服务比较周全，卫生也蛮好，晚上也很安静，听不到马路上的声音，不过房间之间隔音不是很好。没用到WiFi，可能没有吧，这点不好。不过电视节目还不错。 价格相对周边的酒店比较合适。属于性价比较高的了。 下次还会来这里。很好', '短评打分': 5}
{'短评内容': '感觉一般，没有想象中好，住一楼，不好', '短评打分': 3}
{'短评内容': '贝壳房不错啊！舟山特有的渔家海景很美！老板人也很热情！性价比不错的。', '短评打分': 5}
{'短评内容': '回来多日，再次整理照片，油然勾起对海之恋渔庄良好服务的回忆。服务好，周围不算繁华，选择这里，不就是为的躲避城市喧嚣，回归自然渔趣吗？', '短评打分': 5}
