{'短评内容': '位置非常方便，公交车就在酒店对面服务非常热情，还送了口罩给我，卫生干净我们订的单间房间不是很大，有停车场非常安静', '短评打分': 5}
{'短评内容': '小何同学服务态度好', '短评打分': 5}
{'短评内容': '环境不错，有贴心小礼物和暖心糖水', '短评打分': 5}
{'短评内容': '小何服务棒', '短评打分': 5}
{'短评内容': '很好，第二次入住了', '短评打分': 5}
{'短评内容': '交通很方便，离武侯祠、锦里很近，服务很热情，帮我拎包到楼上，还送了杯柠檬水，设施比较一般，附近藏民比较多', '短评打分': 5}
{'短评内容': '不错的环境和卫生都很好', '短评打分': 5}
{'短评内容': '环境还可以，适合入住', '短评打分': 4}
{'短评内容': '地理位置优越，服务人员态度很好', '短评打分': 5}
{'短评内容': '挺好的，下次再来', '短评打分': 5}
{'短评内容': '服务挺好', '短评打分': 5}
{'短评内容': '服务不错，房间干净', '短评打分': 5}
{'短评内容': '空调的效果实在是太差劲了，周围的环境太乱了，藏族兄弟太多了', '短评打分': 2}
{'短评内容': '因我的原因没入住', '短评打分': 3}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '环境还可以，周围都是西藏的喇嘛和信徒，感觉有些怪怪的。', '短评打分': 5}
{'短评内容': '位置好，方便出行，酒店服务好', '短评打分': 3}
