{'短评内容': '看起来不错，干净整洁', '短评打分': 5}
{'短评内容': '酒店早餐不错 挺干净的 每天也有人打扫 设施设备挺好用 交通方便 离咸阳湖非常近 周边自行车非常多 骑着也方便 挺好的 位置也不偏  门口就是公交站牌 周围有夜市很多好吃的 服务确实不错 办理业务很迅速 服务员主动倒水  还报销停车费  无线网速度很快  客房服务员也很热情  以后会常住', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '好，住了两次了，感觉不错，干净，卫生，因时间关系，没吃早点，不知道早点的质量咋样，其他店早点一般…下次还去住！', '短评打分': 5}
{'短评内容': '很好，很好', '短评打分': 5}
{'短评内容': '条件一般不过很干净，服务态度很满意。', '短评打分': 5}
{'短评内容': '很不错，干净卫生，房间也满意的很，下次还会来。', '短评打分': 5}
{'短评内容': '不错，小小的很安心', '短评打分': 5}
{'短评内容': 'Hhhhhhh', '短评打分': 5}
{'短评内容': '环境还不错\n下次继续光临', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还可以，长城宾馆', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '凑合', '短评打分': 5}
{'短评内容': '基本上还可以', '短评打分': 3}
{'短评内容': '比较一般。', '短评打分': 5}
{'短评内容': '便宜，卫生。服务态度好', '短评打分': 5}
{'短评内容': '酒店外部环境一般，但出行比较方便，离公郊车站比较近。酒店服务比较好，室内卫生较好，但洗卫用具配备不太全，但总的来说还可以，下次还住。', '短评打分': 4}
{'短评内容': '酒店服务很好～下大雨还出来帮我们指挥停车～', '短评打分': 5}
{'短评内容': '不错，下次出差还去这里', '短评打分': 5}
{'短评内容': '第二次入住了，服务很周到！', '短评打分': 5}
{'短评内容': '还是不错的，服务态度很不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境不错，暖气很好', '短评打分': 5}
{'短评内容': '环境舒适 价格优惠', '短评打分': 5}
