{'短评内容': '印象好，服务好，卫生好，俗称三好服务！', '短评打分': 5}
{'短评内容': '帮朋友订的，上去看了很不错，性价比高…房间很大，设施齐全，wifi信号也蛮好的~以后有机会还是会选择入住的~', '短评打分': 5}
{'短评内容': '第二次住，还是不错的。', '短评打分': 5}
{'短评内容': '环境设施很好，很卫生', '短评打分': 5}
{'短评内容': '酒店卫生很好很卫生', '短评打分': 5}
{'短评内容': '爽', '短评打分': 5}
{'短评内容': '环境还可以了', '短评打分': 5}
{'短评内容': '还不错，很好，房间也挺大的', '短评打分': 5}
{'短评内容': '酒店可以，不满意代理商', '短评打分': 5}
{'短评内容': '有点吵，楼下是KTV，其他都还好！', '短评打分': 4}
{'短评内容': '早餐种类少了点，有炒饭，六七个菜吧，倒是有汤粉，但是没有汤面，味道也一般般吧，水果只有西瓜和圣女果了', '短评打分': 4}
{'短评内容': '好好好好哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 4}
{'短评内容': '不错的酒店，在大水坑最好，也最贵', '短评打分': 5}
{'短评内容': '酒店离出差的地方很近。在这附近，没有其它选择。好在酒店是挂牌3星，房间够大，住高层，不对马路，也还挺好', '短评打分': 4}
{'短评内容': '环境还算可以，二三楼是KTV，有此吵，住七八楼的话还可以。', '短评打分': 4}
{'短评内容': '离富士康很近。卫生还好，装修比较老，房间烟味很大，窗户不能开启，封闭的。烟味散不出去。楼下的KTV很吵，断断续续要到夜里12点，睡眠浅的人慎重选择。另外早餐太简单样式太少，水果太少，西瓜放了好久了。建议添加牛奶。                                                                     ', '短评打分': 3}
{'短评内容': '离富士康很近。卫生还好，装修比较老，房间烟味很大，窗户不能开启，封闭的。烟味散不出去。楼下的KTV很吵，断断续续要到夜里12点，睡眠浅的人慎重选择。另外早餐太简单样式太少，水果太少，西瓜放了好久了。建议添加牛奶。         ', '短评打分': 3}
{'短评内容': '离富士康很近。卫生还好，装修比较老，房间烟味很大，窗户不能开启，封闭的。烟味散不出去。楼下的KTV很吵，断断续续要到夜里12点，睡眠浅的人慎重选择。另外早餐太简单样式太少，水果太少，西瓜放了好久了。建议添加牛奶。', '短评打分': 3}
{'短评内容': '整體不錯', '短评打分': 4}
{'短评内容': '還可以，西餐也不錯吃，有接送服務。', '短评打分': 3}
{'短评内容': 'CP很高，但是可惜沒冰箱。', '短评打分': 3}
{'短评内容': '帮朋友订的，朋友非常喜欢，很好的酒店！比较新，硬件设备都很不错。推荐！朋友很满意', '短评打分': 5}
{'短评内容': '帮老外订的，很好的酒店！比较新，硬件设备都很不错。离客户很近，朋友很满意', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友非常喜欢，很好的酒店！比较新，硬件设备都很不错。推荐！朋友很满意', '短评打分': 5}
{'短评内容': '性价比很好啊，房间干净设施新，离客户又近，真是超值啊！棒同事也订了几间', '短评打分': 5}
{'短评内容': '真不错的酒店，性价比很好啊，房间干净设施新，离客户又近，真是超值啊！下次接着住啊。', '短评打分': 5}
{'短评内容': '真不错的酒店，性价比很好啊，房间干净设施新，离客户又近，真是超值啊！', '短评打分': 5}
{'短评内容': '非常不错的酒店，设施新，离客户很近，服务业还不错', '短评打分': 5}
{'短评内容': '非常干净的酒店，设施也比较新，每次去富士康都住这个，非常不错', '短评打分': 5}
{'短评内容': '这次入住8楼客房，看到恶心的小强!希望有所改进！', '短评打分': 5}
{'短评内容': '酒店离长安雪铁龙算近的，5公里内免费送的，这个很不错。\n房间比较大，布置和一般酒店不一样，装修比3星标准稍微好点，早饭一般', '短评打分': 5}
{'短评内容': '酒店性价比还可以，比较安静，会推荐人朋友入住!', '短评打分': 5}
{'短评内容': '房间各种设施一应俱全，配有电脑，住起来很舒适哦。但是以前有个腿部按摩器，这次住怎么没有了。╮(╯▽╰)╭', '短评打分': 5}
{'短评内容': '经常去观澜出差选择这家酒店，价格很不错，很安静。', '短评打分': 5}
{'短评内容': '早餐品种还不错，酒店比较安静，隔音效果也不错，还会选择入住。', '短评打分': 5}
{'短评内容': '房间比较安静，下次还会选择入住。', '短评打分': 3}
{'短评内容': '以入住505 519两间', '短评打分': 3}
{'短评内容': '很不错,价格不贵,安静,房间有按摩器,放松疲劳', '短评打分': 5}
{'短评内容': '装修还不错，唯一不足的是我住的是靠近观光路这边的房间，汽车喇叭声音比较大，所以喜欢安静的朋友还是住另外一边有可能会好点。', '短评打分': 5}
{'短评内容': '不错了 还送早饭 只是没去吃\n房间里面还有浴袍什么的  还算可以隔音也不错', '短评打分': 5}
{'短评内容': '到富士康观澜很近，是那里去办事住的好地方，房间超大，设施赶的上4星的了。特别价格也合适，看到很多台湾人也住这里，推荐!', '短评打分': 5}
{'短评内容': '总的来说，酒店还是不错的，下次去富士康出差，还会选这里', '短评打分': 5}
{'短评内容': '服务不错，下次还会再住，这个宾馆算是观阑比较好的', '短评打分': 5}
{'短评内容': '去富士康方便，酒店设施很好。下次去还去。', '短评打分': 5}
{'短评内容': '前台工作效率很低,办理入住用了快半个小时', '短评打分': 3}
{'短评内容': '酒店挺好的，就是周边环境相当荒凉\n不过离观澜富士康很近', '短评打分': 5}
{'短评内容': '离富士康非常近的酒店，但是不能住靠马路的房间，大车非常多', '短评打分': 5}
{'短评内容': '周边没有什么酒店了，还算可以吧~晚上靠马路近的比较吵~其他没有什么\n从机场打车200元~', '短评打分': 5}
{'短评内容': '门口货车很多，晚上很吵，别住离马路近的房间~其他还不错~', '短评打分': 5}
{'短评内容': '对于出差来说，还不错~离富士康非常近~门口货车很多', '短评打分': 5}
{'短评内容': '位置太偏，内部设施装修还可以，周围修路全是尘土，早餐样式很少，去foxconn出差倒是不错的选择，周边环境很差', '短评打分': 5}
{'短评内容': '服务态度不错，不过可能酒店新开，还有点搞不清状况', '短评打分': 5}
