{'短评内容': '水温太低，晚了之后更低，要改善，网络慢的要死，经常断网', '短评打分': 1}
{'短评内容': '设施比较老了，由于门口在修路，我走了好久才找到', '短评打分': 3}
{'短评内容': '相对还算干净！就是交通不方便', '短评打分': 3}
{'短评内容': '很不错，算上返券在鞥在太原住这样的酒店，超值！80来块就n', '短评打分': 5}
{'短评内容': '房间不错，只是解放路修路出行不是很方便！', '短评打分': 5}
{'短评内容': '解放路在修路，这段时间不是很方便，乘公交车要走到北肖墙。不过房间还不错', '短评打分': 5}
{'短评内容': '酒店服务还不错，只是现在在修路出行不方便， 在网上订购说有早餐，实际是没有早餐的。酒店设施一般 值这个房价吧。', '短评打分': 5}
{'短评内容': '设施还可以，服务态度好，出门方便，坐车方便。', '短评打分': 5}
{'短评内容': '为止很偏，解放路在修路，路况不是很好，不方便出行；价格还算可以，适合短时间住宿，房价中央空调声音比较大', '短评打分': 5}
{'短评内容': '环境很好，房间很干净，也很卫生，美中不足就是现在这一几天门口正在修路，交通不太方便。', '短评打分': 5}
{'短评内容': '本来住二天，但是停水了。只住了一天。房间不好！！！', '短评打分': 1}
{'短评内容': '卫生不好，早餐太差，像打发起盖似的，一个鸡蛋一袋奶，路上施工，到打车的地方最少需要步行二十分钟，而且周围都是大水坑，不好就钓下去了', '短评打分': 3}
{'短评内容': '能上网，这个价格也算价优了，只是近期不要去，门前修路，下雨出不去门。', '短评打分': 5}
{'短评内容': '一晚上施工吵得不行，第二天早早下面就有商铺开着低音炮。', '短评打分': 1}
{'短评内容': '是这个价位的房间', '短评打分': 3}
{'短评内容': '不好。推荐别去，早上连热水都没有。。。。。', '短评打分': 1}
{'短评内容': '前台服务很差，早餐非常简单。门前在修路出租车、公交车都没有，交通很不方便。房间装修很老了！', '短评打分': 1}
{'短评内容': ',还可以吧，这段时间解放路修路，公交不通，打车只能打到北大街出口，走进去，行李多的，建议路修好了，再去。', '短评打分': 3}
{'短评内容': '还不错，就是有些偏，而且在修路，交通不便', '短评打分': 3}
{'短评内容': '环境不好。。', '短评打分': 3}
{'短评内容': '酒店非常好哦\n预定的特价标准房，光线好，而且房间特别大\n有宽带有浴盆，在150元之内已经属于顶级配置了\n希望来太原出差游玩的朋友来这里入住\n另外还有早餐赠送\n空调制冷能力非常强，唯一的缺点就是有蚊子、、、、不过不至于太严重', '短评打分': 5}
{'短评内容': '酒店设施很一般了', '短评打分': 4}
{'短评内容': '1.房间设施陈旧，房顶掉墙皮；\n2.隔音极差，隔壁说话都能听的很清楚，而且距离马路很近，路上的声音在屋里也听的很清楚；\n3.服务态度一般；\n4.包含早餐，但是无餐厅，早餐只能到前台领取，且早餐很单一，除了牛奶和面包、就是豆浆和包子，豆浆还可以，包子一般。', '短评打分': 1}
{'短评内容': '酒店环境还行，比较安静，与网站描述差不多。', '短评打分': 3}
{'短评内容': '酒店性价比高，楼上比楼下好，有网线可以上网', '短评打分': 3}
{'短评内容': ',环境一般。房间感觉很小，设施很陈旧，淋浴很差', '短评打分': 3}
{'短评内容': '还行。现在还有早餐送。二楼的环境不是很好，二楼以上都还可以。', '短评打分': 5}
