{'短评内容': '不错 就是隔音有点差', '短评打分': 5}
{'短评内容': '房间里厕所味道太重', '短评打分': 4}
{'短评内容': '酒店对面是公园，环境不错', '短评打分': 5}
{'短评内容': '整体还行的，环境，交通等方面还不错，有专门的停车场，环境卫生比较好，就是房间有点小，拥挤的感觉，不能加床，位置市中心，整体来说比较满意。', '短评打分': 5}
{'短评内容': '挺好的，环境也不错，挺干净的', '短评打分': 5}
{'短评内容': '我觉得吧，卫生还不错，可是有一个问题，床单我不要求换，就不换吗，醉醉的。还有卫生间的排水有问题，作为长头发的一份子，不打扫干净的排水孔，会堵的，难道要我自己弄吗。说实话，打扫卫生的阿姨该换了。', '短评打分': 5}
{'短评内容': '一般一般一般', '短评打分': 4}
{'短评内容': '一般般！环境不是很好！', '短评打分': 4}
{'短评内容': '很舒适，比较喜欢。就是淋浴的花洒有点小，不太美。有电脑，电视机有点小。非常喜欢那个大柜子，放衣服方便。沙发也不错，就是有点脏。', '短评打分': 5}
{'短评内容': '干净整洁卫生', '短评打分': 5}
{'短评内容': '定点住了，环境、服务，房间物有所值。', '短评打分': 5}
{'短评内容': '还行，就是开票有点问题', '短评打分': 4}
{'短评内容': '位置不错，服务也很好，价格便宜。就是房间比较小。', '短评打分': 4}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '里面的房间比较小，别的还可以。', '短评打分': 5}
{'短评内容': '干净卫生舒适。', '短评打分': 3}
{'短评内容': '酒店比较新，交通业比较方便，就是靠马路边的房间会比较吵一些', '短评打分': 5}
