{'短评内容': '，价格太贵，我很心痛，', '短评打分': 3}
{'短评内容': '地理位置很不错，方便', '短评打分': 4}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '早餐的话倒是不用担心，附近有早餐店性价比很高。酒店位置挺好找的，就是周边晚上有一家类似大排档的，可能会有点声音。我们住的那一间设施会稍微差一些，不知道其他房间如何', '短评打分': 3}
{'短评内容': '地理位置，房间卫生都相当不错，强力推荐！！', '短评打分': 5}
{'短评内容': '酒店设施太差了', '短评打分': 2}
{'短评内容': '很吵，房间破', '短评打分': 2}
{'短评内容': '环境不错，床单整洁干净，主要是离西湖近啊，周围的吃的也非常多，Wi-Fi信号也好，价格太贵，我很心痛，', '短评打分': 5}
{'短评内容': '不会再住这家', '短评打分': 3}
{'短评内容': '环境差，卫生差，太坑了！', '短评打分': 3}
{'短评内容': '还行吧，没事住住，还过得去', '短评打分': 3}
{'短评内容': '挺方便，住了好几次了', '短评打分': 3}
{'短评内容': '东西不谈了，服务也不谈了。总之别去就是了', '短评打分': 3}
{'短评内容': '还好吧，建议选好点的房间', '短评打分': 3}
{'短评内容': '位置不错，乘车、就餐很方便，对面海鲜排档整夜营业。夜晚有出租车，到火车站十来元。', '短评打分': 5}
