{'descr': '还行挺实惠了', 'star': 5}
{'descr': '房间比较小，墙纸稍微有点脱落，其他都还好，前台的姐姐对我们还挺好的。', 'star': 4}
{'descr': '一进门看到地上有个大虫子可能地下室太潮了，单人住大床房，房间不算小设备齐全就是该装修了老板还是不错的', 'star': 3}
{'descr': '没见过这么破的宾馆，墙纸都起来了，厕所味儿很重，环境很艰苦。', 'star': 3}
{'descr': '大地方，搞了半天是地下室。呵呵呵', 'star': 2}
{'descr': '还不错吧', 'star': 5}
{'descr': '住的是地下室，二楼有房间也不让住', 'star': 3}
{'descr': '酒店收拾的整洁干净，就是设施有点儿破旧，并且房内的电视、空调遥控都没安电池，不能使用。', 'star': 4}
{'descr': '酒店附就有公交车总站，(龙潭公园站)，出去景点很方便。', 'star': 3}
{'descr': '总体满意。下次可以再考虑入住。', 'star': 3}
{'descr': '房间还行，就是有点吵，毕竟便宜。', 'star': 3}
{'descr': '就在龙潭公园对面，很近 地理位置没的说~\n酒店硬件不好 放毛巾的架子锈迹斑斑~唉~~~', 'star': 5}
{'descr': '只是一个很普通的招待所，不要报太大的希望。想当初100元就可以住很不错的房间，现在140元住的房间，也只是很小很小，除了床，连个桌子都放不下，独立卫浴也很狭窄，并排站两个人都有问题。不过老板人还不错，很热心地给指路，只是房间太差强人意了。', 'star': 1}
{'descr': '只是一个很普通的招待所，不要报太大的希望。想当初100元就可以住很不错的房间，现在140元住的房间，也只是很小很小，除了床，连个桌子都放不下，独立卫浴也很狭窄，并排站两个人都有问题。不过老板人还不错，很热心地给指路，只是房间太差强人意了。', 'star': 1}
