{'descr': '地理位置优越，性价比很高', 'star': 4}
{'descr': '太好了。', 'star': 5}
{'descr': '好，不错，价格合理。打个折最好了', 'star': 5}
{'descr': '房间太小啦，不喜欢，前台妹妹很漂亮，有点像我前女友', 'star': 4}
{'descr': '住的很舒服的', 'star': 5}
{'descr': '无窗户睡觉就是好。', 'star': 4}
{'descr': '一般', 'star': 3}
{'descr': '环境不错，在市中心，价格也合理。早餐很丰盛。', 'star': 5}
{'descr': '                  还行吧', 'star': 4}
{'descr': '交通便利 购物方便  设施有些陈旧  服务还算可以  卫生有待改进就是房间没有窗户感觉有些压抑 但是只是回来睡觉这个价位和位置也就物有所值吧  推荐', 'star': 4}
{'descr': '位置比较好 在市中心比较方便   设施一般服务还可以吧 有欠缺  卫生不是很好  但能将就  这个价位也就值了', 'star': 4}
{'descr': '一般酒店', 'star': 4}
{'descr': '要吹风机，枕头统统没有，wifi基本不能用', 'star': 2}
{'descr': '那个价格凑合吧！', 'star': 4}
{'descr': '挺不错', 'star': 5}
{'descr': '挺安静，空调很给力，交通也方便', 'star': 5}
{'descr': '离市区很近，逛街很方便，床也很大，房间很安静，出门就有公交站牌，旁边有银行', 'star': 5}
{'descr': '总体不错，房间挺大。就是灯光有一些暗，太阳能热水器，阴天就不能洗澡。房卡总是消磁。这个价格，算还可以吧。。。', 'star': 5}
{'descr': '酒店位置市中心，去哪都方便，旁边就是乐购，标间比大床要好', 'star': 5}
{'descr': '房间干净，位置在市中心，挺方便。', 'star': 3}
{'descr': '过得去吧，就是房间感觉很昏暗，呆着不舒服，其他还行', 'star': 5}
{'descr': '交通确实便利，屋子还算干净，对得起这个价位吧，也不算便宜', 'star': 5}
{'descr': '还说的过去吧，服务是不错，就是房间小了点。', 'star': 5}
{'descr': '环境非常不错，就是楼后有施工的工地，门前不好停车，外地车辆最好停到对面的医院去，安全', 'star': 5}
{'descr': '地处市中心，旁边就是商业街，酒店服务还可以，就是硬件差了点。', 'star': 3}
{'descr': '价格便宜，房间还行，在市政府左右住还算方便，门口饭店不是很多，但是市中心离的不远，房间内有宽带，速度很好，就是线有点短。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '不错，价格适中，干净整洁，交通便利。................................................', 'star': 5}
{'descr': '地点是中心，坐车很方便，有免费早餐，房间也挺干净的。感觉不错。顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶顶', 'star': 5}
{'descr': '房间还可以，只是当时晚上窗外正修路施工，噪声较大。', 'star': 5}
{'descr': '交通很方便，也很干净，如果选择信在市内，值得推荐，附近有25，34路车去山海关北戴河都很方便，而且离乐购很近。', 'star': 5}
{'descr': '挺干净的，性价比高。唯一美中不足的是，没有停车的地方。', 'star': 5}
{'descr': '离市中心超近，如果再去选个带窗的，房间不大，但设施很好，去东、西浴场很方便，公交车特多，服务很好，非长满意免费早餐样不多很口味不错', 'star': 5}
{'descr': '酒店位置很好，离商业区很近但很安静，算是市中心吧', 'star': 5}
{'descr': '在宾馆的餐厅用餐点菜时别忘了点一道“孜然白菜”，很好吃，而且刚10元。交通也很方便，宾馆大门正对着汽车站，都不用怎么走。去山海关的话直接33路就到了，总体不错！', 'star': 5}
{'descr': '房间最应该提的就是干净，整洁！而且地理位置很不错在市中心，我们住了六天，出了酒店大门向左手方向走四五百米就是乐购大商场。另外值得提的是酒店的餐厅，厨师是东北人，所以东北客人的话会很吃的来！', 'star': 5}
{'descr': '总体来说还算不错的 价钱跟那摆着呢 一分钱一分货嘛', 'star': 1}
{'descr': '交通便利，前台服务到位.下次还要住。。。。。。。。。。。。', 'star': 5}
{'descr': '位置不错，周边购物什么的都很方便，只不过就是楼后有施工，干净整洁。', 'star': 5}
{'descr': '市中心，位置好！服务一般吧！隔壁施工有噪音', 'star': 5}
