{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间还算整洁,性价比不错。服务挺好,帮忙把行李送到房间，一路还有简单介绍', '短评打分': 5}
{'短评内容': '东西丢了，打电话问，说没有，', '短评打分': 1}
{'短评内容': '回家这段时间时不时就来住一晚，主要离家很方便！前台很负责任，无论入住还是探访，都要求登记身份证，这样安全可靠的服务，减少了很多犯罪机率，支持商家的服务，也希望入住的客人都能配合商家工作，减少犯罪率', '短评打分': 5}
{'短评内容': '没有早餐，我是回家探亲，家里住不下，所以，觉得只要离家近就好，我觉得还不错，很干净，很静！楼下有卖水果', '短评打分': 3}
{'短评内容': '我觉得还可以，比较静，还很干净，就是床很硬，睡觉全身有点疼', '短评打分': 3}
{'短评内容': '酒店不错，对得起价格', '短评打分': 4}
{'短评内容': '非常好的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，经常来住', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '房间一床大一床小，其它方面还可以，前台态度差，不知她家出事了还是更年期', '短评打分': 3}
{'短评内容': '卫生干净整洁，离市场公园近方便。', '短评打分': 3}
{'短评内容': '很好，离哪都很近。不错，很好', '短评打分': 3}
{'短评内容': '很好，离各个地方都很近', '短评打分': 3}
