{'短评内容': ' 宾馆很老，设施旧，旁边就是ktv很吵 唯一好处就是价格不贵', '短评打分': 3}
{'短评内容': '设施有点陈旧，Ktv与宾馆靠在一起的，怕吵的慎重。。。。。。', '短评打分': 5}
{'短评内容': '设施有点陈旧，隔壁就是夜总会，有时会很吵，离地铁站相对较近，一般般吧。', '短评打分': 5}
{'短评内容': '装修有些旧，地毯比较脏。还有洗澡的地方有个插座，水直接淋在上面，怕触电', '短评打分': 1}
{'短评内容': '差劲，能住人么？交了钱就后悔了，歌舞厅围着吵死人', '短评打分': 3}
{'短评内容': '\u3000比想像的好，房间也挺大，很干净。', '短评打分': 3}
{'短评内容': '单人的还可以  双人的 房子内部有点破旧的感觉了 适当的从装修一下 应该会更好。', '短评打分': 5}
{'短评内容': '很不错,下次还会选择', '短评打分': 3}
{'短评内容': '酒店挺干净，卫生也不错，服务态度挺好；缺点：隔音不好。酒店配有电脑，电视和电脑主机是连接在一起的，比别的地方先进。', '短评打分': 5}
{'短评内容': '酒店位置还好，但是房间比较小，设施较旧，窗户不能锁而且住两天，第二天不打扫房间。而且付费比较麻烦，一是定金需要现金，二是刷卡机器不能用。', '短评打分': 1}
{'短评内容': '虽然是老酒店了，但是服务态度还是很好的，每天会打扫房间，房间隔音也很好，下次来北京出差，还会入住这家酒店，我们公司的员工来北京出差都是在这家酒店入住的', '短评打分': 5}
{'短评内容': '卫生条件一般，我入住的房间好像下午刚有人用过，被子也散在床上，垃圾袋都放在地上，很无语。', '短评打分': 3}
{'短评内容': '不错的酒店，出行方便，价格合理。。。。。。。', '短评打分': 5}
{'短评内容': '房间很干净，环境也很好，价格合理，下次出差还会来这里', '短评打分': 3}
{'短评内容': '房间够大，环境不错', '短评打分': 3}
{'短评内容': '周边噪音大，房间挺大，条件非常一般，卫生间没有浴霸', '短评打分': 1}
{'短评内容': '房间蚊子太多了。希望改进。', '短评打分': 3}
{'短评内容': '替朋友预定的 据说还不错 下次还会去 价格公道', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '此处实际为歌厅，楼上有两层改装成住宿，感受就是太吵，简直就是睡在KTV包间里的感觉，折腾到凌晨三四点才结束，楼下好多喝多酒的在吵吵。', '短评打分': 1}
{'短评内容': '我已入住雅圆时尚酒店。房间还行。价格公正。王美雯', '短评打分': 3}
