{'短评内容': '老板非常热情，酒店设施也很齐全！', '短评打分': 5}
{'短评内容': '很不错的酒店。很好 很干净', '短评打分': 5}
{'短评内容': '酒店工作人员非常热情', '短评打分': 5}
{'短评内容': '位置好！太棒了，经理特热情，特友好，还送我们去景点！特友好，环境好，服务好大力推荐！感谢经理！谢谢热情招待', '短评打分': 5}
{'短评内容': '酒店服务很好 环境优雅 性比价高 很喜欢', '短评打分': 5}
{'短评内容': '离沙坡头很近，菜做的也不错！！', '短评打分': 5}
{'短评内容': '酒店就在景区不远，很方便，酒店内干净卫生，房间内设施齐全，标准的假日四星水准。前台及餐厅服务人员训练有素，服务很专业友善。前台有位经理还特意送我们出酒店指了到景区的近路。值得一住的酒店！', '短评打分': 5}
{'短评内容': '性价比很好', '短评打分': 4}
{'短评内容': '性价比不错，出来是水库，历经去很近', '短评打分': 4}
{'短评内容': '适合家庭出游，孩子们的天堂', '短评打分': 5}
{'短评内容': '地理位置优越，周边环境好，酒店餐饮较之周边农家乐性价比差不多。', '短评打分': 5}
{'短评内容': '离景区近，交通不便', '短评打分': 4}
{'短评内容': '通过携程预付订购后，电话联系总台，告知冬天几乎放假，仅留一人值班，诺大的酒店就住我们一行四人，早餐包括周边都没吃的，又不能退订，真是郁闷！', '短评打分': 3}
{'短评内容': '价位不算低，设施在当地算不错的档次，床很硬，不过我喜欢硬床，总体来说还可以。', '短评打分': 4}
{'短评内容': '设备陈旧，性价比不高。值不了那个价！', '短评打分': 2}
{'短评内容': '已经点评提交了，但是软件老提示没有点评这是什么软件啊！', '短评打分': 3}
{'短评内容': '还可以，确实是周围唯一一家正规酒店，这点对于淡季去的我们很重要，毕竟沙坡头太荒凉了。就是自助餐确实贵，种类非常的少，苍蝇确实多。环境到还不错。', '短评打分': 4}
{'短评内容': '酒店位置靠近沙坡头，位置很好，但酒店设施配套很差，卫生条件不好，但酒店的歺饮还可以', '短评打分': 5}
{'短评内容': '环境什么还不错，像个大酒店，服务员也比较有礼貌，周边环境很美。但是床太小，还是一大硬伤交通实在不方便，出来到沙坡头的南门、北门都有一段距离，关键是根本没有出租车，前台也不管找，结果带着孩子无助地等待，只有拎着行李坐半小时一班乡村公交到东门再抢出租车。好在天气还行，不然不是晒死就是下雨浇死，要不就是冻死。还有前台购买的门票我也没细看，到门口才发现竟然是打过孔的旧票。虽然后来派人送票来，但是耽误了一个', '短评打分': 5}
{'短评内容': '不错，离景区也很近，晚上还可以看夜景中的沙坡头。', '短评打分': 5}
{'短评内容': '不错，下次来继续住...', '短评打分': 3}
{'短评内容': '据说在中卫算是最还的了，主要是离景区很近。', '短评打分': 1}
{'短评内容': '这家酒店离沙坡头景区是非常近，沙坡头又是一个非常值得好好玩的地方，建议大家可以头天晚上入住此酒店，第二天早晨8点景区一开门就进去玩，疯玩一天都不过瘾。下午三四点钟离开沙坡头往银川返，晚上六七点左右到银川市区吃晚餐正合适。我们这次住的是普标，感觉卫生间的镜子超小，家具也简陋并且旧。酒店大堂还挺漂亮的。', '短评打分': 5}
{'短评内容': '晚上8点多才到酒店，好在酒店餐厅还有晚餐。让人不爽的是上菜很慢。点好菜后等了快30分钟才开始上菜。另外，办理入住时酒店居然发现房间不够，协调了快1个小时才办好手续', '短评打分': 5}
{'短评内容': '很不错的酒店。酒店离景区很近，附近景色也很好。', '短评打分': 5}
{'短评内容': '酒店很干净，舒适，还很安静环境比较好。就是比较难找，但是离景区很近！', '短评打分': 5}
{'短评内容': '沙坡头假日不错,离景区近,房间干净卫生,性价比高,值得推荐', '短评打分': 3}
{'短评内容': '价格有点偏高，离景区较近,但离市区较远.', '短评打分': 1}
{'短评内容': ' 还可以吧', '短评打分': 3}
{'短评内容': '宾馆环境很棒,', '短评打分': 3}
{'短评内容': '沙坡头假日酒店环境优雅，离景区很近。唯一不足是８：３０后吃饭比较困难。', '短评打分': 3}
{'短评内容': '该酒店是园林式酒店环境优美，性价比高，还可到附近的农家乐吃黄河鲤鱼。缺点是去沙坡头要走15至20分钟路', '短评打分': 3}
{'短评内容': '酒店服务人员很贴心，一直是笑脸相迎，交接物品都是双手奉上，有一点小疏忽都会赶忙向客人致歉，房间感觉挺大，定的标间，同样的价格比其他酒店的配置要好一些，比如有两套浴衣、液晶电视、玻璃房的浴室、吹风机等，性价比很高。缺点是厕所的手纸很难用，电视感觉挂的优点高，枕头就一个，枕着优点矮。', '短评打分': 5}
