{'短评内容': '很好，很不错！！', '短评打分': 5}
{'短评内容': '很好，很不错！', '短评打分': 5}
{'短评内容': '卫生条件很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '没吃', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '爽', '短评打分': 5}
{'短评内容': '房间太小&hellip;&hellip;', '短评打分': 5}
{'短评内容': '经常住，不错。', '短评打分': 5}
{'短评内容': '总体还行吧', '短评打分': 5}
{'短评内容': '早上起来都没热水洗澡了…说水厂问题…呵呵。超时半小时退房又要扣钱', '短评打分': 3}
{'短评内容': '环境太差了', '短评打分': 1}
{'短评内容': '环境太差', '短评打分': 1}
{'短评内容': '从高铁站有车直接到酒店附近。离老城区坐几站公交汽车即到。旺城广场很近，餐饮方便。洗澡时热水也来得快，毛巾很干净整洁。床睡上去也很舒服。有网线有wifi，速度还可以。就是在前台登记的时候，已经确认的房间，没有了，协调了一会才住上。标间被改成了大床房。', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '比较喜欢它的环境', '短评打分': 4}
{'短评内容': '环境蛮可以，隔音好。但是会听到清洁阿姨或是其他住户很重的关门声，还有卫生间的排风效果一般。不办会员价格还是稍贵了点，总体还是不错的。', '短评打分': 3}
{'短评内容': '卫生较可以，只是毛巾真的要换了，旧了，就算干净也感觉不舒服，总的来说就那样了。', '短评打分': 4}
{'短评内容': '不错，环境不错，\n价格公道，老少咸宜\n推荐大家入驻，\n不过房间比较矮', '短评打分': 5}
{'短评内容': '城市便捷环境很好，住得很舒服，早餐很好吃。', '短评打分': 5}
{'短评内容': '干净快捷方便！性价比非常好的酒店', '短评打分': 3}
{'短评内容': '前台有个服务员  态度真差。。。酒店环境很好，住的很舒服。 ', '短评打分': 5}
{'短评内容': '环境装修都不错。   只不过觉得前台有个服务员  服务态度不太好', '短评打分': 5}
{'短评内容': '房间还可以，吃饭要爬楼梯，只有一部电梯，性价比还好', '短评打分': 3}
{'短评内容': '酒店装修较新,硬件不错,干净,整洁,位于闹市区.有几点需要改进:一是停车场,又小又破,缺乏管理.二是自助洗衣,我的衣服没有充分干透便被别人拿了出来,还是缺乏管理.三是问前台多要一床棉被,居然说酒店没有多余的棉被,有点不可思议.四是前台女服务员与客人沟通还显得稚嫩.五是无线网络信号不稳定.总得来说,这里不错,但还需要更成熟.', '短评打分': 5}
{'短评内容': '环境很好，床也很舒服！安静！很不错！早餐也挺不错的！值得再住！', '短评打分': 5}
{'短评内容': '早餐比较可口，住宿感觉还好', '短评打分': 3}
{'短评内容': '酒店周围交通比较便利且周围有医院（人民医院），小吃，超市及商场。酒店装修比较新，屋内被褥干净无异味，服务也可以，且价格适中，有早餐还不错。', '短评打分': 5}
{'短评内容': '嘈一点外，其它都几好。', '短评打分': 3}
{'短评内容': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评环境装修不错，睡觉很舒服。', '短评打分': 5}
{'短评内容': '酒店整体环境还不错，服务员服务也很好，周边饮食交通也很方便！', '短评打分': 5}
{'短评内容': '服务态度挺好，房间也挺干净。已经是第二次入住，以后去梧州还住这家店。', '短评打分': 5}
{'短评内容': '环境各方面都很好，这次入住很满意，下次还会选择住这里', '短评打分': 5}
{'短评内容': '地理位置很方便，楼下就是公交车站，过河东也很方便', '短评打分': 5}
{'短评内容': '环境不错，很干净，在12楼有个自助洗衣和烫衣，很方便', '短评打分': 5}
{'短评内容': '房间有点小', '短评打分': 3}
{'短评内容': '很好，环境较好，交通方便，服务态度较好。', '短评打分': 5}
{'短评内容': '确实是睡好觉的地方  装修风格令人舒服  东西齐全  ', '短评打分': 5}
{'短评内容': '酒店天花板太低，整个环境好闷热，12层楼房配一部电梯，人多等好久。房间分布好像迷宫，绕来绕去找半天才找到房间。', '短评打分': 1}
{'短评内容': '酒店属于新装修，地段比较繁华，服务态度非常好。缺点是没有停车场', '短评打分': 5}
{'短评内容': '床很好，服务很好，早餐很好。就是房间太小房价太高', '短评打分': 5}
{'短评内容': '开会临时预定的 酒店很新很干净、前台态度好 除了晚上水管的有一次很大的响声之外 剩下都很满意！', '短评打分': 5}
