{'短评内容': '房间空间開阔。', '短评打分': 4}
{'短评内容': '环境好，整洁卫生', '短评打分': 5}
{'短评内容': '没有早餐，位置不错', '短评打分': 4}
{'短评内容': '酒店位置不错，18楼可以看到古镇全景，下面几层都是灯，太多人来来往往，电梯数量太少，等待的时间有点长。', '短评打分': 5}
{'短评内容': '过来看灯饰，有地铁停车场，周边吃喝玩乐很方便', '短评打分': 5}
{'短评内容': '一般般，方便，但是落下一只苹果表，没有找到，郁闷', '短评打分': 5}
{'短评内容': '不错 挺好的 一直在那住', '短评打分': 5}
{'短评内容': '一直在那住 挺好的', '短评打分': 5}
{'短评内容': '总体不错的酒店，老牌子。环境舒适，干净卫生。周边配套完善，镇中心位置，值得推荐。价格实惠，商务出行的首选。', '短评打分': 5}
{'短评内容': '帮朋友订的', '短评打分': 3}
{'短评内容': '真心一般般了，朋友都说比较差', '短评打分': 4}
{'短评内容': '真心一般般了，朋友都说比较差', '短评打分': 4}
{'短评内容': '真心一般般了，朋友都说比较差', '短评打分': 4}
{'短评内容': '房间有异味，空调不会热', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店早餐没换什么菜住三天三天的早餐都一个样', '短评打分': 4}
{'短评内容': '酒店服务不怎么好，因为酒店携程显示有房到地方可不一定有', '短评打分': 4}
{'短评内容': '环境还可以，价格变得快，携程显示有房，酒店没房了', '短评打分': 4}
{'短评内容': '＋环境不错', '短评打分': 3}
{'短评内容': '银泉酒店服务和环境都不错，吃玩都方便，周围配套齐全。', '短评打分': 5}
