{'短评内容': '出差定的房间 环境真的很一般 设施陈旧 这个价位 也不奢望了', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '下次不会入住 房间灯是坏的 洗澡水也忽冷忽热 不过这个价位也只能这样了 主要是回老家 靠亲戚家近', '短评打分': 3}
{'短评内容': '态度不错', '短评打分': 5}
{'短评内容': '不错哦。迷你房和大床房一样大', '短评打分': 5}
{'短评内容': '卫生间有异味', '短评打分': 5}
{'短评内容': '还行吧，习惯性五星好评，来亲戚都安排这里', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，服务员态度挺好的，网速也还可以，房间也干净卫生，值得入住', '短评打分': 3}
{'短评内容': '房间太简单，洗手间有问题，马桶还堵了！', '短评打分': 3}
{'短评内容': '环境不错，房间挺赶紧。值得选', '短评打分': 3}
{'短评内容': '价格贵不说，第一间房间刚进去差点没被烟味呛晕，换个房间，无线连不上，淋雨头出水慢，房间东西还坏了', '短评打分': 2}
{'短评内容': '不错.....................................................................', '短评打分': 5}
{'短评内容': '还不错。。。。。。。。。蛮好的。建议大家', '短评打分': 5}
{'短评内容': '酒店装修不错，清爽明快，前台服务好，以后还会去住的，关键是还提供早餐，虽然不丰富，但对得起这个价格。', '短评打分': 5}
{'短评内容': '环境蛮好的，干净明亮，但隔音不太好。总体来说很实惠。', '短评打分': 3}
{'短评内容': '酒店房间还是比较大，但装修已经比较陈旧，最大的问题是隔音很差，外边马路上的汽车声太响了，影响正常睡眠。一分价钱一分货吗，总的还算不错了！', '短评打分': 1}
{'短评内容': '酒店还可以…比想像中的好！', '短评打分': 3}
