{'短评内容': '房间很小，地理位置不错', '短评打分': 4}
{'短评内容': '房间很小。地理位置不错', '短评打分': 4}
{'短评内容': '酒店位置方便.一出门口就正对着开元寺.很近牌坊街.食东西买特产非常方便.', '短评打分': 5}
{'短评内容': '闹中带静，在古城附近，离广济楼也很近，停车场方便。好评。', '短评打分': 5}
{'短评内容': '酒店装修不错，位置也不错，隔音差点', '短评打分': 3}
{'短评内容': '这酒店还是很不错喔，来玩可以考虑来这', '短评打分': 5}
{'短评内容': '地点不错，就在开元寺对面，离广济楼也近。只是安全方面有欠缺，楼下没保安而且还有流浪汉。对入住要求不高的可以考虑', '短评打分': 3}
{'短评内容': '环境较旧，位置比较好', '短评打分': 3}
{'短评内容': '位置挺好的，在开元寺整对面，又是在牌坊街中间路段，是居民楼改的，所以房间不大，卫生不好，厕所居然没门的，用窗帘当门，进出厕所都不方便，厕所一股味道，冲不干净。毛巾发黄的，不敢用，沐浴露和洗发水都是装墙的那种，还是用自带吧！风筒要去前台拿，前台只有一个人，走开就没人了！隔音一般，听到隔壁打麻将的！不过退房后店家可以帮我们行李寄存，这个赞！总结就是地点不错，卫生和设备不行！', '短评打分': 3}
{'短评内容': '还不错。就是刚好这间热水不稳定要不就很烫要不就很冷', '短评打分': 3}
{'短评内容': '要求开发票，说没单子了，开了其他地方的发票给我，而且金额不是我消费的金额，这点需要改善。。', '短评打分': 1}
{'短评内容': '环境还不错。就是睡在床上好痒啊，好像有东西咬~我还以为是我心里作用，谁知道朋友也有同感~希望老板可以改善一下这方面的问题咯~', '短评打分': 5}
{'短评内容': '还不错的一家客栈。装修得简单大方。不过大床房感觉有点小。', '短评打分': 5}
{'短评内容': '开元寺对面，古城里，游玩非常方便，装修很特别，与青旅挺相似', '短评打分': 5}
{'短评内容': '地段很好，在开元寺对面，步行街湘子桥都在附近，便宜。不过就是隔音效果差，走廊走动声音大，还有没有合适的喝水的杯子，那小茶杯貌似很久没洗没消毒了，不敢喝', '短评打分': 5}
{'短评内容': '地理位置极好，开元寺贴对面，离主要景点牌坊街，广济桥等步行即可，临街房比较宽敞，房内布置古色古香有潮州风味。洗澡水够热够大。缺点是没有电梯，要走１３×４共５２节楼梯。还有浴室和卧室之间是全透明的玻璃墙，我们这对红宝石婚的老夫妻还真不习惯。', '短评打分': 5}
{'短评内容': '除了房间隔音不好，晚上睡觉的时候，走廊的声音听的一清二楚，其余方面都很不错。', '短评打分': 5}
{'短评内容': '酒店环境很好，临街的大床房装修也不错，但是唯一的问题就是噪音超大啊。广场上人说话的声音，汽车开门声。还有房间外走道上总有人走来走去，说话声，高跟鞋声。半夜被吵醒了N次啊。', '短评打分': 5}
{'短评内容': '这酒店，优惠实在，房间干净，会推荐朋友再去的。', '短评打分': 5}
{'短评内容': '要走十几分钟才能到公交站，不是很方便。房间很小，标准大床也就1.2左右宽，浴室的帘子很不实用，排水也不好，洗澡的时候水几乎要流到房间里面了。房间不带窗户没有说明，在网上订的价钱和前台的报价竟然一样。', '短评打分': 1}
{'短评内容': '干净，舒适，热闹，服务好。靠近开元寺，步行街，出行方便，去广济桥也可以步行就好了。 ', '短评打分': 5}
{'短评内容': '1 进酒店上楼的楼梯非常脏；\n2 酒店隔音效果非常差；\n3 洗澡的时候卫生间的水会流到房间里；\n4 酒店138的房间是没有窗户的，网上没有向顾客说明；\n5 早上起来没有热水，也可能是我浪费的水不够多。\n  唯一好的地方就是离景区近', '短评打分': 1}
{'短评内容': '位置極佳,在開元寺對面,傍側就是太平路,即牌坊街,潮州特色物品,古巷舊宅隨處都有,廣濟樓,十八商梭船湘子橋,許附馬府..等景點近在咫尺...', '短评打分': 5}
{'短评内容': '晚上當班的男孩真好, 本來是定了標雙房, 給我升級了臨街雙人房. 惟一不好的是沒有發票.', '短评打分': 5}
{'短评内容': '环境不错，房间也大，但就是打扫不是很干净，隔音也不是很好，能很清楚的听到走廊的声音。但这个价钱，这样的房间还算值啦。', '短评打分': 5}
{'短评内容': '地理位置挺好的，很容易找到。\n在我行程安排的景点附近。订的是标准大床房，后来好像说是给我升级了，里面摆设之类的都很满意，蛮有特色。', '短评打分': 5}
{'短评内容': '地点不错，位于开元寺对面，牌坊街旁边，而且旺中带静，不过房间隔音稍差。', '短评打分': 5}
{'短评内容': '客栈不错 房间蛮大 也有特色 就是有些房间没窗户', '短评打分': 5}
{'短评内容': '可惜中间房间没有窗口，洗手间(冲凉房)设计不合理', '短评打分': 5}
{'短评内容': '三个字，不值得。住得不舒服，隔音差，厕所冲不了。以这间店粗糙的仅是门面功夫的设备和装修，100多块我们觉得是给多他了。', '短评打分': 1}
{'短评内容': '我家客栈的性价比较高，位置旺中带静。', '短评打分': 3}
{'短评内容': '酒店很小，但是房间很可爱。很舒服。性价比比较高。地理位置不错。', '短评打分': 5}
{'短评内容': '一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般一般', '短评打分': 1}
{'短评内容': '简单，便宜，服务一般，设施一般，人很一般', '短评打分': 1}
