{'短评内容': '不错的酒店，经济实惠。zzzzzzzzzzzzzzzzzzzzzzzzzz', '短评打分': 5}
{'短评内容': '房间隔音太差', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '差到极点', '短评打分': 1}
{'短评内容': '酒店环境糟糕，标识不清，差点以为走错地方了，营业执照也没看到，卫生间内壁砖脱落，洗澡水也烧不热，太坑了。幸亏就只订了一晚。', '短评打分': 2}
{'短评内容': '差', '短评打分': 2}
{'短评内容': '所有都一般。价格太低了，所以正常。', '短评打分': 3}
{'短评内容': '附近吃的挺多，就是停车不方便，旁边停车太贵。', '短评打分': 5}
{'短评内容': '酒店周围比较方便。酒店设施卫生服务都很一般啊很一般。', '短评打分': 3}
{'短评内容': '马马虎虎吧，不值这个价。', '短评打分': 3}
{'短评内容': '设施陈旧 被子上有沾着的口香糖', '短评打分': 3}
{'短评内容': '环境不错，服务还行，没有其他问题', '短评打分': 4}
{'短评内容': '不错啊，前台态度特别好。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
