{'短评内容': '地理位置好', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '北京今天只有10度，酒店竟然没有空调，不能取暖也不能制冷，和前台联系还说正常，要等集中供暖口气很屌，进房间三十分钟后就只能换酒店，不退钱无所谓只当买教训！', '短评打分': 2}
{'短评内容': '', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '房间大 设施齐全 安静 位置好 性价比高', '短评打分': 5}
{'短评内容': '挺安静的', '短评打分': 5}
{'短评内容': '好，房屋面积大。', '短评打分': 5}
{'短评内容': '很棒很棒很棒', '短评打分': 5}
{'短评内容': '地理位置优越，设备齐全', '短评打分': 4}
{'短评内容': '还不错~', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '普普通通', '短评打分': 3}
{'短评内容': '很方便酒店就在工体北门对面大楼里，房间设施很齐全冰箱洗衣机，微波炉，厨房都有，朋友很喜欢这里有家的感觉！', '短评打分': 5}
{'短评内容': '房间很温馨，空间大，干净！位置不错去三里屯太古里，和三里屯sohu很方便，推荐！', '短评打分': 5}
{'短评内容': '酒店比较新，设施配备齐全。位置很中心，楼下对面就是工体了。步行五分钟能到杨家，虽服务员比较少，但总体感觉不错。', '短评打分': 3}
{'短评内容': '没有服务可言，房间分散在不同的楼座不同楼层。装修简陋，连床单都皱，还要六百。再也不会住了。', '短评打分': 3}
