{'短评内容': '太吵了', '短评打分': 4}
{'短评内容': '还不错，离学校近...', '短评打分': 5}
{'短评内容': '房间非常大，很好', '短评打分': 5}
{'短评内容': '差评', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '性价比很高的酒店，整洁干净！', '短评打分': 5}
{'短评内容': '挺好的，干净卫生', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 3}
{'短评内容': '可以可以的，我女朋友去很多次了～～', '短评打分': 4}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '挺不错的', '短评打分': 4}
{'短评内容': '房间比较大，性价比还可以', '短评打分': 3}
{'短评内容': '地理位置不错，交通方便，酒店服务员态度不错，就是最后退房收银员没弄清楚我有没有先支付房费', '短评打分': 5}
{'短评内容': '就在建材市场，很方便！', '短评打分': 3}
{'短评内容': '性价比还不错，就是早上有点吵', '短评打分': 3}
