{'descr': '还可以吧。。。。', 'star': 4}
{'descr': '不错不错不错，租的好哦哦哦', 'star': 5}
{'descr': '不错不错不错，租的好', 'star': 5}
{'descr': '酒店位置还不错，就是外面有点吵。有停车场', 'star': 5}
{'descr': '晚上入住期待', 'star': 1}
{'descr': '早餐一般 去附近吃就行 很多食堂附近。酒店位置很好，里地铁13号线很近。房间的性价比很高，价格在上海算是便宜得了。', 'star': 4}
{'descr': '最好有含早餐的房型', 'star': 4}
{'descr': '这次的房间好像网络变得好起来了', 'star': 5}
{'descr': '不错，热情高涨，有的进步', 'star': 5}
{'descr': '一直在他们家，都快四年了吧，支持', 'star': 5}
{'descr': '性价比感人，一如既往的支持', 'star': 5}
{'descr': '要什么自行车', 'star': 5}
{'descr': '很好，环境不错，房间也清静', 'star': 5}
{'descr': '够大，够舒服，一直住的酒店，性价比无敌了，除了硬件老化，别的没什么说的', 'star': 5}
{'descr': '一直住的酒店，性价比无敌了，除了硬件老化，别的没什么说的，加油啊', 'star': 5}
{'descr': '一直住的酒店，性价比无敌了，除了硬件老化，别的没什么说的', 'star': 5}
{'descr': '酒店环境挺好，房间也挺不错，服务态度好', 'star': 5}
{'descr': '不错，一直喜欢在京东购物', 'star': 5}
{'descr': '可以的 性价比可以 服务也可以 但是要100押金 没现金 也就没收 一个人住很宽敞', 'star': 5}
{'descr': '毕竟是老店了，设备陈旧了一些，地段很好，距离地铁站很近！', 'star': 5}
{'descr': '很好的酒店，地方方便。就是同事反应说，床板不算好', 'star': 5}
{'descr': '不', 'star': 5}
{'descr': '全都是小广告，一塌糊涂，就图个便宜', 'star': 3}
{'descr': '全部是塞黄色小广告的，卫生也不怎么样，就图个便宜', 'star': 3}
{'descr': '没有连锁酒店好', 'star': 4}
{'descr': '性价比非常高，地段很好，酒店干净卫生，家里亲戚来都住在这里非常方便。', 'star': 5}
{'descr': '前台服务好', 'star': 4}
{'descr': '还比较满意', 'star': 5}
{'descr': '还行吧', 'star': 5}
{'descr': '商务房很好，地理位置优越，交通方便，服务态度好。', 'star': 5}
{'descr': '酒店的地理位置还算可以，离地铁13号线不远，对面还有超市和商场。刚进大门就闻见刺鼻的烟味，几个人坐在大厅沙发上肆无忌惮的吐着烟圈。办入住手续的服务员面无表情。酒店设施较陈旧，窗户不隔音还漏风，电视也没几个台，空调整晚开着也不感觉暖和，夜里还有人塞小广告。本来预定了4天，但住了一晚后，果断决定退房，选择了虽然更远但更舒适的锦江之星。', 'star': 4}
{'descr': 'WIFI简直是无语，根本就搜不到。', 'star': 4}
{'descr': '楼下正好金沙江路，是主干道马路，所以环境比较吵闹，而且目前附近马路正在施工，晚上没有睡好。', 'star': 1}
{'descr': '地点方便，对面就是118广场，还不错，停车也方便。', 'star': 5}
{'descr': '位置可以酒店房间可以这个商圈这个价格不错', 'star': 5}
{'descr': '环境还行，不远处就有个农工商超市，麦德龙超市，中环百联商厦，值得工薪层的驴友一住', 'star': 5}
{'descr': '环境比较好，交通便利，对面就是118购物广场，价格还不算高，比较值', 'star': 5}
{'descr': '经济实惠', 'star': 3}
{'descr': '价格适宜，服务好。推荐入住的朋友很满意。', 'star': 5}
{'descr': '蛮好的，酒店服务不错，卫生也不错，就是酒店的灯光太暗了，都是台灯，其他都蛮好，还有没有提供早餐', 'star': 5}
{'descr': '不错的经济酒店,很干净,周围环境也很安静.对面就是118广场,购物很方便.', 'star': 5}
{'descr': '还不错，旁边貌似在建地铁，以后出行更方便了', 'star': 5}
{'descr': '房间整体还算不错 就是个音太差 以后还会入住', 'star': 5}
{'descr': '商务房间圆床很舒服,浴室比较宽敞.就是水热的比较慢了些.总体来说比较满意.以后还会去住.', 'star': 5}
{'descr': '酒店一般吧，正好面对主马路，所以环境比较吵闹，早上六点钟就被车水马龙的声音吵醒了。', 'star': 1}
{'descr': '条件还可以，值这个价的。服务蛮到位！下次还来的，推荐给身边的朋友了！谢谢喔！', 'star': 5}
{'descr': '酒店周围很嘈杂，内部的服务质量很糟糕，特别是前台服务员，明显业务水平不熟悉，而且说话也冷冰冰的，有点国有企业的感觉。', 'star': 1}
{'descr': '感觉不错很守信！', 'star': 3}
{'descr': '浴室水太小。环境还不错，服务ok', 'star': 3}
{'descr': '还算不错吧，但是好像优惠幅度不大，好在服务还是不错的', 'star': 5}
