{'短评内容': '总的来说还可以', '短评打分': 4}
{'短评内容': '环境还是不错的，最重要是前台的帅哥服务好', '短评打分': 5}
{'短评内容': '房间空间挺大，床也舒服，晚上还有前台赠送宵夜，还是我爱喝的皮蛋瘦肉粥，真的很值，不错的选择', '短评打分': 5}
{'短评内容': '住了这么多酒店，感觉这个酒店特别舒心！天气很寒冷，一进酒店门就热茶迎面而来了，特别感动，酒店环境也很好，下次一定还会来', '短评打分': 5}
{'短评内容': '酒店位置很好，很方便，服务也很到位，人很nice。', '短评打分': 5}
{'短评内容': '不怎么样', '短评打分': 3}
{'短评内容': '很温馨，有家的感觉', '短评打分': 4}
{'短评内容': '你说过了几十块钱币上面都金黄色水母是在做作业吧……好想去吃好吃的样子！在这里等你们哟、好吗！你说了一个不一样。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '这个莫林风尚是我所住过的莫林风尚里最好的了', '短评打分': 4}
{'短评内容': '蛮不错的。。。。。。。', '短评打分': 4}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '环境不锴，交通便利，硬件陈旧', '短评打分': 3}
{'短评内容': '这个酒店有毛病，预付到店，又说不能预付，艺龙给力处理了，由艺龙补了差价。重新下订单，又总是说要我自己打他们总公司电话，他们没有确认订单，我去，都确认了还没有订单。又让艺龙处理，弄了半个小时才弄好。原价的房间居然还说没有早餐？床硬得跟木板床一样，房间又小，进房还有霉味！很不爽，这个价格周边好的多的是，要不是下雨，决对不会住！', '短评打分': 3}
{'短评内容': '被子很好，房间很闷，位置步行街旁边，可以，费用有点高', '短评打分': 5}
{'短评内容': '环境很烂 空调也舍不得开 价格又贵 还不如几十块的小旅馆', '短评打分': 1}
{'短评内容': '酒店位置不错，干净，就是不送早歺有点不爽', '短评打分': 3}
{'短评内容': '酒店不错。。。住宿这天刚好赶上3周年庆 还有小礼物。。。就是住宿不办会员卡就没有早餐。。。', '短评打分': 5}
