{'短评内容': '不错哦  已经好几次预定呢', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '周边很方便', '短评打分': 5}
{'短评内容': '挺棒的很安静', '短评打分': 5}
{'短评内容': '这是我见过最差的了，每天晚上都好吵啊，那天刚好赶上情人节，哥边的舞厅竟然到了将近11:40的时候才停止吵闹，隔音效果太差，早上的话，竟然六点多，就有人在外面放音乐了，一阵一阵的，影响睡眠。', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '如家经典风格', '短评打分': 4}
{'短评内容': '房间不是很大，不过床很大，蛮干净的', '短评打分': 4}
{'短评内容': '真的还不错哎，就在南大街上，交通方便，吃的也方便，环境比较卫生干净，服务也是挺不错的，主要是经济实惠', '短评打分': 5}
{'短评内容': '房间里有根柱子是个什么鬼', '短评打分': 5}
{'短评内容': '好一阵子牧民在UK OL mini', '短评打分': 5}
{'短评内容': '卫生有待改善', '短评打分': 4}
{'短评内容': '小，其他还行，交通方便', '短评打分': 5}
{'短评内容': '环境好  位置好  都不错', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '房间就不用说了，标准的如家味道，在一个大院里面，很安静，交通也很便利，还是不错的。', '短评打分': 5}
{'短评内容': '酒店很好，在市中心，旁边就是濠河，景观很好，出门购物吃饭都很方便\n房间也不错，住在背面的，晚上有一点点地吵，、很喜欢，下次来 还会选择这家。\n', '短评打分': 5}
{'短评内容': '房间挺小蛮干净，靠濠河晚上风景不错，隔音不是很好，有免费早餐不错！', '短评打分': 5}
{'短评内容': '酒店在市中心，位置优势明显，房间也很安静，但是就是网络有些忙，公司办公都影响', '短评打分': 5}
{'短评内容': '酒店不错，就是房间有点小，整体还不错', '短评打分': 3}
{'短评内容': '设施不错，服务也行，就是临近旁边一个歌厅每天很吵！', '短评打分': 5}
{'短评内容': '酒店地理位置比较好，服务各方面也不错，总体还可以。', '短评打分': 5}
{'短评内容': '环境蛮好，紧靠豪河，房间小了点但很干净，服务态度挺好！', '短评打分': 5}
{'短评内容': '环境干净整洁，位置交通方便，价格经济实惠', '短评打分': 5}
{'短评内容': '干净、清静、恬静。。。一直很青睐如家，家一样的感觉！', '短评打分': 5}
{'短评内容': '交通方便，很干净！特地向前台申请了朝南的房间，挺安静。值得一提的是早上的自助餐质量不错。总体给95分！', '短评打分': 5}
{'短评内容': '还不错，市中心，方便，提供早餐，就是晚上对面的KTV太吵，价格方面不知道是不是全部都是150的。。价格选择少了点。第一次入住的时候房间有股烟味，前台帮忙喷了清新剂，第二次还好，相比布丁，我更喜欢如家', '短评打分': 5}
{'短评内容': '：地理位置很好，紧靠濠河风景区，周边是繁华的步行街，服务热情周到！不错！', '短评打分': 3}
{'短评内容': '：服务热情周到，设备齐全，环境整洁！真的很好！下次来扬州一定还住这里！', '短评打分': 3}
{'短评内容': '酒店就在市中心南大街上，交通极其方便，就是南大街在搞施工，搞了一两年了还没搞好，乌烟瘴气的！ 不过宾馆很好，四楼的商务大床间，房间略小，一个人够用，两个人就有点略挤了。总体来说很不错！', '短评打分': 5}
{'短评内容': '服务不错～～设施也挺好～就是电视机有点小，房间因为是最边上的有根柱子在房间里', '短评打分': 3}
{'短评内容': '隔音效果太差了，隔壁一对凌晨工作太疯狂，我3点多被活活吵醒，太恐怖了！', '短评打分': 5}
{'短评内容': '位置很不错，卫生也很好，服务也不错，值得以后继续入住。', '短评打分': 5}
{'短评内容': '条件可以，比较干净，就是早餐品种不如其它如家店', '短评打分': 5}
{'短评内容': '周边购物吃饭都很方便，就是对面有个KTV还是什么溜冰场之类的比较喧闹！', '短评打分': 5}
{'短评内容': '地点很好，闹中取静。服务也很到位。如果不介意房间小的话，值得一试', '短评打分': 3}
{'短评内容': '很好，环境不错，床很大，服务很周到。，，，，，，', '短评打分': 5}
{'短评内容': '不错。。离南大街很近，吃饭逛街交通都很方便，就是酒店前面有个溜冰场很吵', '短评打分': 5}
{'短评内容': '房间硬件设施很齐全，不逊色于大酒店，卫生条件很好，打扫的很干净，地理位置不错出行很方便', '短评打分': 5}
{'短评内容': '卫生还可以比较干净，房间硬件设施齐全，服务态度还成，很周到贴心，隔音效果也还成', '短评打分': 5}
{'短评内容': '房间布置的很好，看上去很舒服，整齐，干净，装修的比较淡雅，以暖色调为主，卫生条件好，蛮干净的，住宿环境不错', '短评打分': 5}
{'短评内容': '房间布置的很简洁，床蛮大的，另外酒店靠近滈河，在南大街上，出行比较方便，附近有ktv,酒吧，百货大楼等等，购物方便', '短评打分': 5}
{'短评内容': '房间很干净，布置的也很上档次，设施也比较齐全，感觉住的很舒适。', '短评打分': 5}
{'短评内容': '服务人员挺热情的，个个见面都会主动问好，感觉挺亲切的。', '短评打分': 5}
{'短评内容': '设施还不错，电视机挺大，空调、冰箱都有。网速也比较快，住的挺舒适。', '短评打分': 5}
{'短评内容': '酒店环境不好，房间隔音不好旁边说话走路都能听得很清楚，旁边还有个歌舞厅很吵，位置在市中心。', '短评打分': 3}
{'短评内容': '周围是原商业区,购物游玩方便,便晚上也有些吵闹,不便于休息.', '短评打分': 5}
{'短评内容': '这是一家性价比非常高的经济型酒店，交通、购物都很方便，特别是桌子的设计很舒适，灯光也很柔和。', '短评打分': 5}
