{'descr': '感觉不是很好', 'star': 4}
{'descr': '酒店很温馨，就是隔音效果不好，影响睡眠质量', 'star': 5}
{'descr': '环境不错，就是房间小了点，总体还可以吧，以后还会入住', 'star': 5}
{'descr': '整洁干净，如家就是不错。但是预订的两间到了那里竟然变了一间……', 'star': 5}
{'descr': '房间很干净，服务很好，在一个小巷里，不是很好找。', 'star': 5}
{'descr': '还不错。。。。就是地方有点偏，值得推荐。。。。。。。。。。。', 'star': 5}
{'descr': '真心不错，干净，服务态度好，停车场好大，下次还会光顾的。', 'star': 5}
{'descr': '如家的装修一直觉得比较舒心！如家的装修一直觉得比较舒心！', 'star': 5}
{'descr': '离市区比较远，不过附件有地铁，比较优惠，所以入住了', 'star': 5}
{'descr': '环境不错，服务态度不大好', 'star': 3}
{'descr': '来如家多次了，感觉很好，前台服务不错，有机会还会入住', 'star': 5}
{'descr': '挺不错的，有窗户，早餐，中餐，晚餐，就是离市区比较远，要上班的话早上起得要比较早', 'star': 5}
{'descr': '交通还是比较方便的，下了3号线地铁松兵路站走10来分钟就道了。楼下吃的地方很多的。房间环境还可以，我订的大床房，空间就显得有点挤，不过住就戳戳有余啦。', 'star': 5}
{'descr': '折扣很给力！', 'star': 3}
{'descr': '因为有事去宝山 所以选择了如家 住的蛮舒服的 以后还会去住', 'star': 5}
{'descr': '房间的电视机 坏的，想看球赛来着~~不过服务态度很好，及时处理了~', 'star': 5}
{'descr': '比较干净', 'star': 3}
{'descr': '环境不错，电视机小了点，隔音貌似有点。。。不过这个价格实在很便宜了，服务员态度也不错，好评啦~~', 'star': 5}
{'descr': '设施服务大多跟其他如家差不多，电视差点，是那种老式的大脑袋，离床很近。卫生间没有电吹风，要跟前台借。早餐15元自助，品种不够丰富。有午餐晚餐，菜色一般，分量还好。这些都还好，如果没有接下来要说的那件事，还是会向别人推荐此如家的。那就是：房间的隔音实在是太差了，不过如果仅仅是隔音差，而隔壁并没有什么异常举动影响别人的话，也都无所谓，关键就是不仅隔音差，还有人塞色情卡片！不但塞卡片，还就在隔壁搞上了！', 'star': 1}
{'descr': '房间就是小了点，其他都蛮好的，房间满温馨的', 'star': 5}
{'descr': '第二次来了，房间一如继往的舒适，有家的感觉！', 'star': 5}
{'descr': '环境整洁，服务热情，家一般的感觉！停车很方便，上网速度非常快啊！', 'star': 5}
{'descr': '附近很多吃的饭店什么的，很方便！车子停留多久都免费的。', 'star': 5}
{'descr': '满干净的，态度也算亲切，停车满方便的，还是可以的', 'star': 5}
{'descr': '虽然离市中心比较远.但是感觉很不错.下次还住它.', 'star': 5}
{'descr': '环境整洁，服务热情，家一般的感觉！停车很方便，上网速度非常快啊！', 'star': 5}
{'descr': '干干净净', 'star': 3}
{'descr': '很不错,交通方便,房间整洁舒适', 'star': 3}
{'descr': '房间好小，大床房的床跟单人床一样，是一米二乘一米八的，睡得很不爽。隔音效果极差，整晚都有杂音。性价比太低。', 'star': 3}
{'descr': '性价比高，推荐交通也方便，就是早餐简单了一些', 'star': 5}
