{'短评内容': '卫生干静，服务热情，周到', '短评打分': 5}
{'短评内容': '酒店，不提供早餐，但是楼下就有早餐店，应该不能加床吧，酒店位置还蛮方便的，附近就是天门山索道站，汽车站，火车站', '短评打分': 5}
{'短评内容': '环境不错其它地方也很好，下次去张家界肯定还要去芒果青年旅舍住，住的太安心了，旅舍的WIFI也是梗梗的。', '短评打分': 5}
{'短评内容': '么么大么么', '短评打分': 5}
{'短评内容': '宾馆距离天门山门票站不远，走路二十分钟左右可以到达，而且离火车站近，交通还算方便，但是开空调要加收20块钱，除此之外，没有电梯，行李要自己搬上去，累哭了，到时候还得自己搬下来，不过老板娘人还不错，给我们一些游玩的建议，水龙头开关有问题，通知前台叫人来看看，怎么叫都不来…早上楼下有卖早餐的。', '短评打分': 3}
{'短评内容': '地方位置较佳，离天门山很近', '短评打分': 4}
{'短评内容': '老板娘热情，服务好', '短评打分': 4}
{'短评内容': '非常适合学生出行的一个酒店，简约轻松，每层楼房间少显得舒适。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置不错，很方便去天门山景区，离火车站和汽车站都不远，吃饭也方便。服务好，热情，还帮忙提行李。房间很温馨，值得一提的是洗澡水很旺很热，不错，值得推荐！', '短评打分': 5}
{'短评内容': '好评，下次来还住这里', '短评打分': 3}
{'短评内容': '交通方便，房间环境很好，老板娘好热情。', '短评打分': 3}
{'短评内容': '位置很方便，就在汽车站边上', '短评打分': 5}
