{'短评内容': '还行吧，比较小', '短评打分': 3}
{'短评内容': '不不不', '短评打分': 2}
{'短评内容': '总体还可以，就是没有停车场。', '短评打分': 4}
{'短评内容': '没早餐', '短评打分': 4}
{'短评内容': '很一般，预订的情侣间，太小了，网上说20多平米，其实也就10平米左右吧，还在一个拐角，拐角堆满了杂物和工作车，本来过道就小，显得更拥挤，隔音效果也是差到爆，很清晰能听见隔壁的说话声，感觉像是在卫生间说话一样，服务一般，不对，应该是没有任何服务。不过有一点挺不错的，那就是洗漱物品齐全', '短评打分': 3}
{'短评内容': '环境不错，干净卫生', '短评打分': 5}
{'短评内容': '还可以，物有所值，房间小', '短评打分': 4}
{'短评内容': '都还行价格也不贵，没电梯门旧了点我住那间防盗锁坏掉好像被撞掉了没装回去。卫生谈不上绝好还是可以的毕竟是宾馆。给个85分', '短评打分': 4}
{'短评内容': '我觉得挺好，价格适中，挺卫生。距离太白立交近，距离西安电子科技大学不远，旁边还有很多吃饭的地方呢。都可以吃肉夹馍。早上中午', '短评打分': 5}
{'短评内容': '很一般、态度差。', '短评打分': 3}
{'短评内容': '第一天晚上住的情侣间，房间虽然不大，但是很干净而且很安静，也没有异味。第二晚住的大床房，床是1.8m的，但是靠街边，就很吵，基本上一晚上都能听到车子的声音，而且会闻到宾馆那种特有的异味，虽然不是很重。所以以后住最好选情侣间，不要靠街边的！', '短评打分': 5}
{'短评内容': '还不错哦 经济实惠 很好', '短评打分': 3}
{'短评内容': '酒店环境还不错，离朋友家很近，周边交通也很方便，还算比较满意', '短评打分': 4}
{'短评内容': '环境很好，住的很舒服，也不吵，出行非常方便。', '短评打分': 5}
{'短评内容': '连住两天，整体还行。', '短评打分': 3}
{'短评内容': '整体不错，物美价廉。就是碰巧附近居民区的机器和狗叫噪声稍大。', '短评打分': 5}
{'短评内容': '房间有虫子', '短评打分': 3}
{'短评内容': '价格优惠，情侣间 卫生间不够清洁 气味难闻。感觉是下水道的味道一直飘散在房间里 ', '短评打分': 1}
{'短评内容': '性价比高！！！很好！！！！！地方有点偏，其他都OK\n', '短评打分': 5}
{'短评内容': '房间很小，但是布局还行，位置一般，不是很好找', '短评打分': 5}
{'短评内容': '还不错了,交通吃饭都方便的,就是房间有点小了.还不错了,交通吃饭都方便的,就是房间有点小了.还不错了,交通吃饭都方便的,就是房间有点小了.', '短评打分': 5}
{'短评内容': '还好啦！                              \n经济型商务酒店，                               \n位置稍微有点里面的，建议出发之前先研究好地图，会好找点.', '短评打分': 5}
{'短评内容': '酒店环境还可以，给人的韩厥还是很不错的，以后支持。', '短评打分': 5}
{'短评内容': '美丽特宾馆还行，打85分。比较新，干净，环境不错。只是床单和枕套上有印子，没洗干净。服务员态度也可以更热情一些。', '短评打分': 3}
{'短评内容': '类似七天之类的酒店，位置还行，吃饭坐车都算方便', '短评打分': 5}
{'短评内容': '设施很好，房间很温馨，唯独不好的地方是网络有问题，网线也没有，电话有接线但不能用', '短评打分': 5}
{'短评内容': '设施很新，价格也还不错，就是情侣间太小了，大床房的格调什么的很喜欢', '短评打分': 5}
