{'短评内容': '服务很好，屋子还可以，有暖气，不太暖和，屋子不潮湿。', '短评打分': 5}
{'短评内容': '服务好，停车方便，房间宽敞，干净，卫生好', '短评打分': 5}
{'短评内容': '酒店设施齐全，前台服务到位。周边交通很方便，环境干净整洁。和男盆友来住的，觉得比较安心，这个价位也很公道。', '短评打分': 5}
{'短评内容': '好………………', '短评打分': 5}
{'短评内容': '登记有点慢，别的还可以', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '比较满意的一次购物', '短评打分': 5}
{'短评内容': '比较满意的一次购物', '短评打分': 5}
{'短评内容': '比较满意的一次购物', '短评打分': 5}
{'短评内容': '比较满意的一次购物', '短评打分': 5}
{'短评内容': '干净整洁舒适，非常好，京东价格也很美丽', '短评打分': 5}
{'短评内容': '环境不错比较满意', '短评打分': 5}
{'短评内容': '比较满意的一次购物', '短评打分': 5}
{'短评内容': '环境一般还凑合', '短评打分': 5}
{'短评内容': '看百科就知道如家怎么样。\n如家酒店是如家酒店集团旗下3大品牌之一，是温馨舒适的商旅型连锁酒店品牌，通过标准化、简洁、舒适、便捷的酒店住宿服务，使大众商务以及休闲旅行宾客收获温馨、便捷的住宿体验。\n\n如家酒店是国内商务酒店品牌中规模最大的品牌，在全国300个城市拥有近2000家酒店。如家酒店多年获得中国金枕头奖&ldquo;中国最佳经济型连锁酒店品牌&rdquo;殊荣。2014年，如家酒店以4.2亿美元的品牌价值入选中国品牌100强，居酒店行业之首。', '短评打分': 5}
{'短评内容': '交通便利，位置也理想，前台服务很好，打扰卫生的阿姨也挺好！挺满意的一次选择！下次需要的话肯定还会选择这家的！赞赞赞赞', '短评打分': 5}
{'短评内容': '和朋友一起住，空间蛮大的，不错哦', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行。。。。', '短评打分': 5}
{'短评内容': '非常干净整洁', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '经常去这家。。。女朋友有洁癖，真是够了，这家的卫生啊什么的真是挺干净，所以女朋友才肯来，附近环境一般，设备只能说干净不能要求多好，毕竟比较便宜。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '感觉性价比不是很理想！总体感觉一般！！', '短评打分': 3}
