{'短评内容': '酒店环境非常好！下次在来', '短评打分': 5}
{'短评内容': '不错的，位置方便，就是有点旧了。', '短评打分': 3}
{'短评内容': '被子睡的不舒服，有蚊子', '短评打分': 3}
{'短评内容': '房间有点异味，比较旧，价格便宜，将就还可以', '短评打分': 3}
{'短评内容': '还不错，就是设施旧了点', '短评打分': 3}
{'短评内容': '可以，还可以！可以试试个人感觉不同', '短评打分': 3}
{'短评内容': '打开房门一股很重的味道扑鼻，似乎是房间内装修或设施的味道，开灯，nnd，一只大大的小强仓皇逃窜，上前一脚给踩死了。淋浴间的帘子有大大的霉渍，马桶上盖子连接处也发黄，明显是长期没有清理过。', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '其它都不错，就是有个房间有点异味。', '短评打分': 5}
{'短评内容': '还行 呵呵 地方很方便 公车多 近一个大型的卖衣服的市场 ', '短评打分': 5}
{'短评内容': '还不错，人很少，狠安静，价格便宜。。。。。。', '短评打分': 5}
{'短评内容': '感觉挺便利的也 而且房间很干净 就是床不太好  空调也不太给力  以后会考虑再次入住  不过我网上订的5号晚上是168的价格 其实到店里面只用付158就可以住了 感觉不实惠呀', '短评打分': 5}
{'短评内容': '房间很大，酒店位置不错，价格也还可以。平时和周末都是一个价，这次退房时把东西忘在房间里，服务员还特地从房间里赶到前台拿给我们。很不错', '短评打分': 5}
{'短评内容': '环境很好  床也很舒适  各方面都可以 就是运气不好  刚好电梯坏了 前台小姐笑的很好看', '短评打分': 5}
{'短评内容': '交通比较方便  位于市区  只是酒店环境一般', '短评打分': 5}
{'短评内容': '这家店，标明的标间大小是20平米，但是实际入住却只有大约14平米，更可笑的是酒店的工作人员告诉我，他们酒店的房间都是一样的，面积有30平米！下一次不要去了。', '短评打分': 1}
{'短评内容': '9非常好，希望比以前有个提升，负价值服务可以多点！', '短评打分': 3}
{'短评内容': '性价比很不错，环境服务都很好，很值的快捷酒店。', '短评打分': 3}
{'短评内容': '太吵了点啊。。。。。。。。7楼还有蚊子 奇怪了点 其他都还行', '短评打分': 5}
{'短评内容': '地理位置很好 附近听热闹的 交通也方便\n住的6楼  房间灯坏了一个 卫生间排气扇坏的 \n龙头水偏小  时冷时热 ', '短评打分': 1}
{'短评内容': '不错的，就是在马路边，噪音有点大。。。。', '短评打分': 5}
{'短评内容': '下次不敢住了', '短评打分': 3}
{'短评内容': '很不错.算是惊喜了.', '短评打分': 3}
{'短评内容': '房间异味很大，靠近马路边的房间很吵也有很大的灰尘，房间设施陈旧，电脑上网很慢，总体比较差。', '短评打分': 1}
{'短评内容': '不错哈。不错哈不错哈。不错哈不错哈。不错哈不错哈。不错哈不错哈。不错哈不错哈。不错哈', '短评打分': 5}
{'短评内容': '很不错的酒店。每次去都会住的哈。周围商店也比较多的哈。是个好地方', '短评打分': 5}
{'短评内容': '酒店还可以, 网上价格跟门市价一样 .............', '短评打分': 5}
