{'短评内容': '一般化，不是很好，美团规定12点推房真不好', '短评打分': 3}
{'短评内容': '一般化，不是很好，美团规定12点推房真不好', '短评打分': 3}
{'短评内容': '服务态度好', '短评打分': 4}
{'短评内容': '太不尽人情了，说12点退房，晚个几分钟就不行，本身人在外面，别人都两点，就你家特殊，环境各个方面也一般。', '短评打分': 3}
{'短评内容': '服务态度很好', '短评打分': 4}
{'短评内容': '好，不错', '短评打分': 5}
{'短评内容': '只能说还好，怎么讲呢，远不如汉庭啊，七天啊这类的。而且房卡竟然不能用！简直反人类！不过价钱也便宜。总的说还可以。', '短评打分': 3}
{'短评内容': '很脏，我', '短评打分': 2}
{'短评内容': '团购的房子竟然不给开发票，一次性杯子和一次性拖鞋都没有，相当的郁闷。', '短评打分': 2}
{'短评内容': '酒店地理位置还可以，房间未配备客用品小件，不过补充及时。', '短评打分': 3}
{'短评内容': '房间真垃圾，不想来第二次，', '短评打分': 2}
{'短评内容': '一般，对携程上定的旅客保留不好的房间', '短评打分': 4}
{'短评内容': '大床房蛮不错的 干净亮堂 离小胖很近的蛮好玩', '短评打分': 3}
{'短评内容': '服务态度好，干净卫生，朝阳，无线网络不错', '短评打分': 3}
{'短评内容': '很安静，卫生，距车站近，交通方便。', '短评打分': 5}
{'短评内容': '第一次住这么差劲的酒店，房间一股霉味，墙都起皮了，电视没信号，前台态度也不好，想延迟到14：00退房还得加收60块钱也是醉了，这种地方尝试一次就够了', '短评打分': 3}
{'短评内容': '酒店还不错就是没有早饭，还要自己出去买.交通也很便利，就是住了第二天的时候，打扫卫生的时候被子毛巾也不换新的。太省了点吧', '短评打分': 5}
