{'短评内容': '还可以，没有评论那么差', '短评打分': 3}
{'短评内容': '住的是浓情特价房，墙缝里面有虫子，马桶坐垫坏了，没有想想中那么好。不过网速还是非常给力。不觉得浓情。总体评价，酒店一般，不会再去。', '短评打分': 1}
{'短评内容': '不错，蛮好的，店家很客气，服务也很好。一次愉快的旅行。', '短评打分': 5}
{'短评内容': '不错，店家很客气，房间也不错。一次愉快的旅行。', '短评打分': 5}
{'短评内容': ' 房间物有所值', '短评打分': 3}
{'短评内容': '酒店还可以吧！就是押金贵了点.总体还不错', '短评打分': 5}
{'短评内容': '＋还行 比想象的好', '短评打分': 3}
{'短评内容': '客房挺温馨的。', '短评打分': 3}
{'短评内容': '刚好一红一绿两个房间，红房间温馨，绿房间清雅，感觉不错！', '短评打分': 5}
{'短评内容': '房间小，隔墙吵，不换床单不打扫，服务态度差似人，墙壁装饰如鬼鸟。', '短评打分': 1}
{'短评内容': ' 装修简单干净，距离步行登山口较远，距离车行登山口近些。', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '还可以，冲着蜜月间去住的，除了圆床吸引我，其它的没啥特别，卫生不怎么行', '短评打分': 5}
{'短评内容': '服务热情，', '短评打分': 3}
{'短评内容': '垃圾酒店一个，就是个黑店。房间里没有价格标示。退房时候说用了房间的东西，可房间里根本就没有啥玩意。再也不住这个黑店了！！', '短评打分': 1}
{'短评内容': '这家酒店太不诚信了，她让我交300元押金，我没看票第二天退房时按200元退，我说她可她说是200，你怎么不看票，哎怪自己太相信你了。', '短评打分': 1}
{'短评内容': '不知道怎么了   去年来的时候比现在可好多了  印象不错  所以今年又来了这个宾馆  半年多来变化这么大   晚上没热水  一入住竟然发现浴巾上还有没洗干净的大米  大早上的服务员胡乱敲门影响休息   晚上睡觉空调室外机轰轰的响    电视和网络竟然还会有时候没信号、、   除了环境还好以外  其它都不太好', '短评打分': 1}
{'短评内容': '这三星级标准是国家标准还是地方标准？这标准我觉得在大西北用比较科学……', '短评打分': 1}
{'短评内容': '环境不错，但是要注意不能乱用里面的东西，很多情况下都会罚钱，比如弄脏床单', '短评打分': 1}
{'短评内容': '房间布置简单明了，很干净，服务态度非常棒！！！', '短评打分': 5}
{'短评内容': '卫生条件可以，地理位置不错，无骚扰电话，服务员比降热情', '短评打分': 5}
{'短评内容': '房间是小些装修设施还是蛮好的，位置找的还是有些难找，价格和服务方面还行吧。', '短评打分': 3}
{'短评内容': '环境不错，只是节能减排有点郁闷了，洗澡得赶早，完了有停电的可能', '短评打分': 5}
{'短评内容': '前台MM很漂漂,而且服务态度超好.给人很温馨的感觉,就是客流大的时候会跳闸', '短评打分': 5}
{'短评内容': '基本一个黑店，建议取缔！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '前台服务不错，但设施较差，足疗店一点都不规范，和其它连锁差距太远，有上当的感觉！', '短评打分': 1}
{'短评内容': '很温馨。。很浪漫的房间。。是个和情人幽会的好地方', '短评打分': 5}
{'短评内容': '位置稍微有点偏，价格不贵，服务态度好。就是晚上洗澡由于使用电热水器，容易跳闸--停热水，冻死了。。。其它不错！', '短评打分': 5}
{'短评内容': '服务不错！比较干净！！！！！！！！推荐~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店新装修，干净、卫生。只是该大街无明显门牌号码，找起来十分麻烦。', '短评打分': 3}
{'短评内容': '该酒店地理位置还可以，距泰山山门停车场很近，房间卫生条件也可以，服务接待也可以，唯一的就是刚开业，交费刷卡都刷不了，还有就是本酒店无早餐，周边也没有合格卫生的快餐店，只能到附近路边小地摊吃早餐，非常的不卫生！', '短评打分': 3}
{'短评内容': '该宾馆新开业，卫生条件很好，就是工作人员业务水平差点，其他还可以，估计再过几个月等业务熟悉后会更好！', '短评打分': 5}
