{'短评内容': '便宜', '短评打分': 1}
{'短评内容': '住了很多次，便宜', '短评打分': 2}
{'短评内容': '一般，设施很差，胜在便宜~', '短评打分': 2}
{'短评内容': '条件一般，但是便宜~', '短评打分': 2}
{'短评内容': '价格实惠  房间大  环境不错 值得推荐', '短评打分': 5}
{'短评内容': '还可以，', '短评打分': 4}
{'短评内容': '一切都挺好的', '短评打分': 5}
{'短评内容': '一切都挺好的', '短评打分': 5}
{'短评内容': '多次商务居住，很安静、卫生，就餐也很方便，值得推荐。', '短评打分': 4}
{'短评内容': '房间很大，可是电视太烂了', '短评打分': 5}
{'短评内容': '经济实惠，性价比很高，住过很多次了！', '短评打分': 4}
{'短评内容': '经济实惠，性价比很高，住过很多次了！', '短评打分': 4}
{'短评内容': '房间挺大，卫生也很好，就是节假日会涨价', '短评打分': 5}
{'短评内容': '很一般的房间，比一般的联锁酒店差一点。\n在巷子里面，有点难找。\n', '短评打分': 1}
{'短评内容': '还不错～', '短评打分': 3}
{'短评内容': ':满意', '短评打分': 3}
{'短评内容': '第一次入住，环境还可以，主要是交通方便！', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '房间很大，装修是简约的风格，但东西很齐全，感觉相当好，价格也很便宜，特别推荐\n缺点：地方稍远，外边看起来不太好，但实际住一点问题都没有，没有早餐', '短评打分': 5}
{'短评内容': '还不错  位置很好 就是早饭 要好一些!!!!!!!!', '短评打分': 5}
{'短评内容': '房间很大！就感觉有点空荡荡的了！热水很好!唯一的一个缺憾就是空调声大了点！', '短评打分': 5}
{'短评内容': '不错 便宜 房间比较好 就是比较难找 房间还比较的干净 楼下就吃饭的地方', '短评打分': 5}
{'短评内容': '很不错，这个价格的话，条件很满意。推荐~~~', '短评打分': 3}
{'短评内容': '整体感觉挺不错，性价比 较高', '短评打分': 5}
{'短评内容': '就在东大街，市中心，逛街非常方便，适合旅游人士居住！', '短评打分': 5}
{'短评内容': 'Cheap !!!', '短评打分': 1}
{'短评内容': '花较少的钱，\n可以住这么实惠的房间，应该算是物有所值了。\n唯一不好处，就是一进房间，味道有点重。\n而已已经是第二次住了', '短评打分': 5}
{'短评内容': '第二次入住 觉得除了卫生间洗手池有点污渍外其他都还好 有时候外面会有些吵 不过都是还可以接受的程度', '短评打分': 5}
{'短评内容': '一排农民屋式的建筑，就是酒店了，楼下好几家餐馆，2条大烟囱顺墙而上，所以千万不要住双号房，否则和烟囱为伴不说，油烟机声音不亚于拖拉机让你在室内无法呆。\r\n被子床单等是更换了的，但是还是有污迹可见，宽带速度还可以，房间较宽敞。\r\n', '短评打分': 1}
{'短评内容': '这家酒店还是挺一般的,位置还是挺好找的,但是内部的环境还很一般房间的设施不是怎么好,服务态度还行,性价比还是挺一般的.', '短评打分': 3}
{'短评内容': '房间很干净，卫生和设施还是不错的，位置也还好，交通还是很方便的，服务也很到位，我觉得性价比还是不错的，值得推荐', '短评打分': 3}
{'短评内容': '服务员态度很好，服务积极主动，房间的卫生和设施不错,房间也比较大比较干净,但位置觉偏，很多出租车驾驶员找不到', '短评打分': 5}
{'短评内容': '房间的卫生和设施方面都不错,房间也比较大很干净,但位置不太好找如果有个明显的路标就更方便了,还有一点就是酒店里没有早餐.', '短评打分': 3}
{'短评内容': '暑假全家去西安游，入住该酒店行政套房，房间比较大，服务不错。交通：离火车站有20公里，打车要24元左右。特别提示：卫生间的漱口水需要沉淀一会儿在用。', '短评打分': 5}
