{'短评内容': '房间舒适、干净，交通便利。', '短评打分': 3}
{'短评内容': '天台山禹贡酒店离客运中心极近，出游坐车方便。住宿条件高于一般三星级宾馆。免费供应的早餐能达到吃饱吃好的标准。应该是来天台山旅游者的首选。', '短评打分': 3}
{'短评内容': '房间还可以，就是有点发霉的味道', '短评打分': 3}
{'短评内容': '车站旁边本来就有点吵，这一点就不表示什么，但是前台接待服务员的工作态度就让人质疑， 房间门都只能打开一半，而且地板都已经破旧不堪，我要求看其他的房间，竟然说打扫的服务员都很忙，没人愿意带我去看房间，在我再三要求下，总算有个领班上来带我看了房间，换了另外一个房间之后，网络又不行，真的是晕。虽然那个领班帮我弄了很长一段时间，但是后来网络可以用了，这点还是要感谢这个领班的热心帮助。所以光看图片就选择酒店', '短评打分': 1}
{'短评内容': '楼上KTV娱乐会所，吵的没法睡觉。而且离城中心比较远。下次再也不会入住这里了。', '短评打分': 1}
{'短评内容': '房间设施一般，有很多都是开放娱乐的，感觉安全感不够', '短评打分': 1}
{'短评内容': '酒店就在车站边上，就在车站边上，就在,当然价位比较低。。。。', '短评打分': 1}
{'短评内容': '旁边就是长途汽车站，楼下就是公交线路，如果要到国清寺的话，需要在公交站台对面轮胎厂门口坐七号线，终点站就是国清寺，房间设施还是蛮齐全的，服务态度也很好。淋浴设备相当的不错，床也很舒服，总体评价优。', '短评打分': 5}
{'短评内容': '下高速就到，停车很方便，离市区稍远，适合自驾游。', '短评打分': 5}
{'短评内容': '就在客运中心旁边，位置好，出入乘公交方便，房间整洁，设施新，服务好。', '短评打分': 5}
{'短评内容': '因为是新开的酒店，硬件上总体质量不错，给3星，不足之处是洗澡水虽然很大，但有时会一阵凉一阵热，还有就是早餐供应明显跟不上需求，去晚了可能就什么都没了，虽然如此，但对于酒店方面持续在补充粮食的态度还是给予好评的，估计是新开的关系，在这方面还达不到国庆这样大客流量的接待需求，预估能力还有待加强。', '短评打分': 5}
