{'短评内容': '虽然在医院附近，还是很安静，环境不错，服务态度较好', '短评打分': 5}
{'短评内容': '还行，就是难找到酒店入口，卫生间有点小，水平一般，适合低薪人士', '短评打分': 5}
{'短评内容': '电话机终于安装上了，不错，老板是真正重视客户的意见和建议', '短评打分': 5}
{'短评内容': '脏乱，垃圾，设施差，卫生差，我一夜都没睡，盖上他们的被子后浑身痒痒', '短评打分': 1}
{'短评内容': '性价比高，干净，尽管偶尔能看到小虫子，隔音效果差，另外固定电话还是没装上。性价比高，干净，尽管偶尔能看到小虫子，隔音效果差，另外固定电话还是没装上。', '短评打分': 5}
{'短评内容': '＋还可以。就是有点偏', '短评打分': 3}
{'短评内容': '第二次入住，很干净的，比较遗憾的是隔音效果很差；另外房间内无固定电话；第二次入住，很干净的，比较遗憾的是隔音效果很差；另外房间内无固定电话；', '短评打分': 5}
{'短评内容': '很干净的，比较遗憾的是隔音效果很差；很干净的，比较遗憾的是隔音效果很差；很干净的，比较遗憾的是隔音效果很差；很干净的，比较遗憾的是隔音效果很差；', '短评打分': 5}
{'短评内容': '价格比较合理，交通比较便利，周围生活也比较方便，服务也比较满意。但旁边有上水器，晚上有些嘈杂，这里手机信号也不好。', '短评打分': 5}
{'短评内容': '不敢恭维.整晚不自在.觉得老有小东西在咬我.本来订了三天的.第二天马上退房了.睡得超差.', '短评打分': 3}
{'短评内容': '服务态度较好，整洁干净！只是打扫卫生的时间让人有点无奈，客人如果需要打扫卫生会通知前台，没通知就不要去打扰了。再次打扫卫生的时间完全可以调到客人退房后再打扫要方便一点，不然每天下午三点多打扫卫生对客人来说有点不方便....', '短评打分': 5}
{'短评内容': ' \n信价比不错。', '短评打分': 3}
{'短评内容': '不错的饭店，刚一看外面很破，感觉不好，还好进去看看了，地方干净，老板热情，服务挺好的，下次有机会会再来！', '短评打分': 5}
