{'descr': '老主顾了不错', 'star': 5}
{'descr': '环境一般，周围比较乱', 'star': 2}
{'descr': '酒店给的房间与网上说的不符合！房间味道很大！卫生间也很差！服务员态度太差了。住酒店的还是要好好考虑！', 'star': 1}
{'descr': '周围环境不错，房间卫生一般，服务态度很好.', 'star': 5}
{'descr': '环境一般，设施一般，电脑大床房没有电脑。', 'star': 3}
{'descr': '环境一般，我是处女座的，有洁癖，那晚睡得都不好', 'star': 3}
{'descr': '就是隔音太差，大晚上过个人说话听得很清，太吵了。其他的还可以，就是地方有点不太好找。', 'star': 4}
{'descr': '还不错，就是有些设施需要提高了。', 'star': 4}
{'descr': '酒店卫生很好，热水全天供应，环境也不错，挺！！！', 'star': 3}
{'descr': '酒店不错', 'star': 3}
{'descr': '酒店不错，性价比很好，就是酒店细节不够好', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '很好，卫生间热水很好。网速高峰期间有点慢。地点很好', 'star': 5}
{'descr': '很好，就房间无窗。网速高峰旗不快，平常还可以。地点还可以', 'star': 5}
{'descr': '酒店位置比较好，很安静，比较干净，但是房间太小了，订的商务房还那么那么小，感觉很亏，价格和质量不符。', 'star': 1}
