{'短评内容': '酒店好像是旧店转过来的，房间设施很差，让我对城市便捷粉转黑了，空调没用，电视只有2个台，而且满是雪花，没有住过那么小的房间了，以后不会去这家了！', '短评打分': 3}
{'短评内容': '感觉一般吧，不过这个价位应该是差不多的啦', '短评打分': 4}
{'短评内容': '旧的看不下去了，服务态度差！', '短评打分': 1}
{'短评内容': '太近路边，噪音有点大。', '短评打分': 4}
{'短评内容': '经济划算', '短评打分': 5}
{'短评内容': '服务超级差，环境也不好。', '短评打分': 1}
{'短评内容': '房间一般，洗发水等物品用用完了没有添加，可见管理落后，', '短评打分': 3}
{'短评内容': '感觉非常的好，下次还是住那里', '短评打分': 5}
{'短评内容': '舊賓館改的，不想城市便捷。', '短评打分': 3}
{'短评内容': '什么都好就是旧了点', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间很大，卫生情况还不错，床有点响，里面电脑就是摆设，开机不了，可能也很少人会用吧。携程订的好像也没优惠多少！', '短评打分': 5}
{'短评内容': '服务态度很差！180给了个无床房间', '短评打分': 3}
{'短评内容': '服务质量有提高了！', '短评打分': 4}
{'短评内容': '禁不住的小广告！', '短评打分': 4}
{'短评内容': '便捷实惠！', '短评打分': 4}
{'短评内容': '方便便捷！', '短评打分': 4}
