{'短评内容': '房间很大。', '短评打分': 5}
{'短评内容': '位置还好，有停车场，睡得还行', '短评打分': 5}
{'短评内容': '位置好 环境好 价格便宜 店家特别热情 下次来还会来这家', '短评打分': 5}
{'短评内容': '嗯，还好。', '短评打分': 5}
{'短评内容': '位置好', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '环境较差', '短评打分': 2}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '总之好评，老板娘太热情了，下次步行街玩还来！', '短评打分': 5}
{'短评内容': '酒店挺不错的，楼下就是美食街哈哈', '短评打分': 5}
{'短评内容': '周边环境不错，去哪里都方便，就是住着的地方太单了，有点吓人', '短评打分': 4}
{'短评内容': '还可以 老板娘人很好', '短评打分': 4}
{'短评内容': '可能是因为湖南比较潮湿 ，有潮虫 ，比较多，但是老板娘人很好 ，帮忙拿蟑螂药', '短评打分': 3}
{'短评内容': '地方很不错 值得 哦 下次还来这里住', '短评打分': 5}
{'短评内容': '旅馆在商业街里面 晚上很繁华 入住的时候出现了一点问题 老板娘人很好 都解决拉(????ω????)还帮忙看行李 ???', '短评打分': 4}
{'短评内容': '很方便   旅游是很不错   第一次就是很难找到的……', '短评打分': 5}
{'短评内容': ' 酒店位置太难找，外地人不宜订。', '短评打分': 3}
{'短评内容': '挺干净的，地段很不错，就在步行街边，离火宫殿步行也就5分钟左右，旁边还有影院，超市', '短评打分': 5}
{'短评内容': '房间挺好的，舒适，也方便，下次去长沙还订那房', '短评打分': 3}
{'短评内容': '适合家庭旅游入住 里面有菜板 锅可以做饭 位于步行街和食街里 有停车位 逛街非常方便 缺点冬天房间空调不够热度 还另外一晚要加10元空调费没达到热度 房间热水壶 油烟机不够卫生 还应加强提高 硬件设施应该加强保养管理 服务态度很好', '短评打分': 5}
{'短评内容': '酒店位置不错，但房间卫生较差，浴巾味道很难闻，空调效果也不好！', '短评打分': 3}
{'短评内容': '家庭酒店 位置不错 房间很大还带厨房的 下次还去', '短评打分': 5}
{'短评内容': '长沙九盛艺术连锁酒店公寓真的很舒服，很温馨，还在商业街，周围很热闹，下次一定还会继续选择长沙九盛艺术连锁酒店公寓住的。', '短评打分': 5}
{'短评内容': '环境还不错,位置也挺好就是卫生还需要加油哦!', '短评打分': 5}
{'短评内容': '对的住这个价格 典型的公寓 不太像酒店 旅游还行', '短评打分': 5}
{'短评内容': '空调不好 位置不错 \n但是价格偏高\n还不如住蚂蚁工房的日租房\n哎~', '短评打分': 1}
{'短评内容': '家电齐全，很方便，在步行街中心逛街也很方便', '短评打分': 5}
{'短评内容': '温馨舒适，挺干净的，很有家的感觉，蛮喜欢的~~~~~~~', '短评打分': 5}
{'短评内容': '昨晚入住还算顺利，房间还好，但没有电器转换插头提供，要马上自己去找去买，小不方便。', '短评打分': 3}
{'短评内容': '整体还好 ，工作人员也很热情，就是还不是很正规~', '短评打分': 5}
{'短评内容': '房间环境还可以，前台老板服务不错，下次还会去/', '短评打分': 5}
{'短评内容': '总的来说不错 ，但是门和灯都坏了，需要修理，挺有格调的', '短评打分': 5}
{'短评内容': '床太硬啦  哎   空调效果不是特别好，晚上有点冷', '短评打分': 5}
