{'短评内容': '还可以吧房间比较大还算可以吧', '短评打分': 5}
{'短评内容': '123', '短评打分': 5}
{'短评内容': '123', '短评打分': 5}
{'短评内容': '真可以相信京东自营商品非常好', '短评打分': 5}
{'短评内容': '很好好好好好', '短评打分': 5}
{'短评内容': '都挺不错吧，', '短评打分': 5}
{'短评内容': '房间真的很不错', '短评打分': 5}
{'短评内容': '位置不错，设施有点旧', '短评打分': 5}
{'短评内容': '停车方便，购物方便。服务态度也很好！就是地毯不够干净，还有建议房间的毛巾要更换一下。总体不错！', '短评打分': 5}
{'短评内容': '性价比还可以', '短评打分': 5}
{'短评内容': '连续住的，已点评过', '短评打分': 3}
{'短评内容': '早餐不好', '短评打分': 4}
{'短评内容': '干净卫生，服务周到', '短评打分': 5}
{'短评内容': '酒店设施挺不错的，服务细节很到位。就是定的标间两张小床有点太小了…下次该订大床的', '短评打分': 5}
{'短评内容': '环境很好，周围很便利', '短评打分': 5}
{'短评内容': '环境不错，早餐丰盛。', '短评打分': 5}
{'短评内容': '不错啊，位置很好', '短评打分': 3}
{'短评内容': '酒店比较干净，服务比较好，晚上有K歌的，有点吵', '短评打分': 3}
{'短评内容': '酒店性价比很高，房间也挺大，值得推荐，前台服务也不错。就是污损了一张手巾赔了10元钱有点小气。', '短评打分': 5}
{'短评内容': '很好，很干净。', '短评打分': 3}
{'短评内容': '很好，满意。', '短评打分': 3}
{'短评内容': '购物餐饮方便，不错。购物餐饮方便，不错。购物餐饮方便，不错。', '短评打分': 5}
{'短评内容': '酒店还可以，服务也不错！楼下就是商场，买东西很方便!', '短评打分': 5}
{'短评内容': '很好,离长途站很近', '短评打分': 3}
{'短评内容': '环境很好，房间不错，下次肯定再来。。。。。。。', '短评打分': 5}
{'短评内容': '价格不真实', '短评打分': 3}
{'短评内容': '还可以…又续住了一晚\n', '短评打分': 3}
{'短评内容': '酒店设施很不错，就是靠马路，比较吵，房间里也有机器发出的噪音，不怕吵的可以考虑。', '短评打分': 5}
{'短评内容': '还算不错哦，关键是离长途汽车站很近，出差住这里还是比较方便的。', '短评打分': 5}
{'短评内容': '没有空调只有风扇', '短评打分': 3}
{'短评内容': '酒店客房别致，独到的人性化管理，周边购物方便，中、西餐品牌多样化，绝对物超所值，下次还会入住?', '短评打分': 3}
{'短评内容': '酒店一般，地毯特赃。', '短评打分': 3}
{'短评内容': '非常好，下次还来住', '短评打分': 3}
{'短评内容': '酒店很好，服务很好，早餐很好，送的水果也很好，总之，很好。', '短评打分': 5}
{'短评内容': 'N多次入住的啦，挺好，可以感觉到还在慢慢改进，挺不错的酒店。。。', '短评打分': 5}
{'短评内容': '老住户了，这次入住发现冰箱已经放置，挺不错的，baxia baxia。。。', '短评打分': 5}
{'短评内容': '卫生服务都很好，房间面积比较大，早餐品种丰富味道好。', '短评打分': 5}
{'短评内容': '酒店舒适！周边吃东西购物都很方便！', '短评打分': 3}
{'短评内容': '感觉还不错     服务态度也不错     就是网速有点慢    快点就好了', '短评打分': 5}
{'短评内容': '宾馆不错，比较新，干净，服务也好', '短评打分': 3}
{'短评内容': '酒店环境很好，服务员态度也不错，下次继续。\n', '短评打分': 5}
{'短评内容': '还可以， 干净 装修新， 不要住6楼  因为5楼是会所', '短评打分': 5}
{'短评内容': '新酒店，地理位置不错，但是开车到酒店不是很方便。周围的设施还好。酒店的内部装修还可以。', '短评打分': 5}
{'短评内容': '性价比不错，物有所值。', '短评打分': 3}
{'短评内容': '不错，只是最近的早餐，和洗漱用品单独收费了，有点不爽！', '短评打分': 5}
{'短评内容': '不错，住过几次了，物美价廉，比较习惯住这里了，推荐给大家！ \n', '短评打分': 5}
{'短评内容': '不错，住过几次了，物美价廉，比较习惯住这里，推荐给大家！ \n', '短评打分': 5}
{'短评内容': '环境不错，住着舒适，就是无一次性洗漱用品，还得花钱，不太好！', '短评打分': 5}
{'短评内容': ':酒店不错，第四次住了', '短评打分': 3}
{'短评内容': '太吵了，休息不好。不过早餐还不错。如果入住，五楼千万不要住', '短评打分': 1}
{'短评内容': '酒店性价比一般，晚上太吵了，KTV吵到凌晨3点还没有停歇。下次不会入住了~', '短评打分': 1}
{'短评内容': '很干净还有小礼物和报纸送，就是五层的夜总会有点吵。', '短评打分': 3}
{'短评内容': '这次房间空调检修，住了7楼一间没有窗户的，夜里被热醒。要求调换有窗户的，调到6楼凉快了，但是楼下KTV吵的很。服务还是要加强啊~', '短评打分': 5}
