{'短评内容': '很好', '短评打分': 5}
{'短评内容': '热水太差', '短评打分': 1}
{'短评内容': '位置有点偏僻，服务员办事效率太低了，房间的设施有点旧了', '短评打分': 3}
{'短评内容': '挺好的，出门就是吃的，，出去还有个新壹城，买什么都方便，位置好，交通便利，前台还可以寄存行李，入住了会员还可以领睡前牛奶，。对于我这样的经常忘记拿充电器，还好前台可以借。嘻嘻，推荐这家酒店。', '短评打分': 5}
{'短评内容': '经常住着家酒店，感觉很好，酒店前台服务很好 很热情礼貌，房间的卫生也打扫得很干净，布草干净整洁，还有封包浴巾，住的放心，淋浴好，热水快很舒服，wifi 也很给力 环境不错 性价比高 早餐不错 隔音好 房间不错', '短评打分': 5}
{'短评内容': '国庆比较贵，环境还好', '短评打分': 5}
{'短评内容': '感觉很好，很喜欢', '短评打分': 5}
{'短评内容': '怎么说呢，这家7天是我住过的酒店里比较老的一家店，开业快5年了，房间内卫生质量很好，路过有工作人员也会打招呼问候，前台员工服务礼仪也很到位，虽然是老店，但是给人很友好、温馨的感觉，推荐亲朋好友来这家店入住，物超所值。', '短评打分': 5}
{'短评内容': '休息可以，卫生不错，物有所值', '短评打分': 5}
{'短评内容': '环境舒适，服务态度好！客房做房间做得特别赶紧，住着也舒心。真的是价格实惠！性价比高', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '环境不好，屋子里什么都没有！太简单了！', '短评打分': 3}
{'短评内容': '真心不怎么样的酒店，空调噪音大的很，房间业也很小。', '短评打分': 2}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
