{'短评内容': '前台服务很好', '短评打分': 5}
{'短评内容': '很好是', '短评打分': 5}
{'短评内容': '服务员棒11111111111111', '短评打分': 5}
{'短评内容': '小何服务满意，好好', '短评打分': 5}
{'短评内容': '地理位置优越，服务热情，特别是前台008号，给选的安静房间', '短评打分': 5}
{'短评内容': '009号前台服务员热情周到，赞赞赞。', '短评打分': 5}
{'短评内容': '性价比综合起来可以给到4颗星，停车免费 外带送早餐', '短评打分': 4}
{'短评内容': '整体还行，就是房间洗澡的地方不是太好，还有就是按摩椅居然收费，不可思议', '短评打分': 5}
{'短评内容': '京东酒店订单方便快捷有效实惠', '短评打分': 5}
{'短评内容': '不错哦，空间可以&hellip;&hellip;', '短评打分': 5}
{'短评内容': '环境不错，好评', '短评打分': 5}
{'短评内容': '客服非常认真负责。感谢！', '短评打分': 4}
{'短评内容': '网上订无窗不让换', '短评打分': 1}
{'短评内容': '好评，好评，好评，好评，好评', '短评打分': 5}
{'短评内容': '交通便利 离地铁八号线杨思站很近。干净卫生服务很好。', '短评打分': 5}
{'短评内容': '整体还不错，房间也比较干净', '短评打分': 5}
{'短评内容': '整体还不错', '短评打分': 5}
{'短评内容': '卫生干净整洁，环境不错', '短评打分': 4}
{'短评内容': '一般般一般般', '短评打分': 3}
{'短评内容': '一切都好。', '短评打分': 5}
{'短评内容': '酒店不错性价比很高，附近也比较繁华，下次还会来', '短评打分': 5}
{'短评内容': '该酒店服务卫生都很好', '短评打分': 5}
{'短评内容': '总体感觉不错，。值得推荐。', '短评打分': 5}
{'短评内容': '给德国同事订的，总体还不错……', '短评打分': 4}
{'短评内容': '很干净，酒店离上海新国际会展中心很方便。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好。。房间不大。但是很舒服。干净。服务也还蛮好。。好评', '短评打分': 5}
{'短评内容': '非常的满意，希望以后会越办越好；', '短评打分': 5}
{'短评内容': '酒店卫生、设施都不错。但朋友说早饭不太好。', '短评打分': 5}
{'短评内容': '酒店卫生、设施都不错。但朋友说早饭不太好。', '短评打分': 5}
{'短评内容': '位置挺好的，价格比同档次酒店稍贵。位置挺好的，价格比同档次酒店稍贵。', '短评打分': 5}
{'短评内容': '酒店内部装饰还比较新，就是早餐品种少了点', '短评打分': 5}
{'短评内容': '不错的酒店，房间比松江的大很多，前台服务人员也很热情，推荐大家入住。', '短评打分': 5}
{'短评内容': '帮客户预订的，客户没说不好，应该还是可以的', '短评打分': 5}
{'短评内容': '地理位置优越，交通方便。性价比在上海来说还是不错的了。', '短评打分': 5}
{'短评内容': '下面是足浴，餐厅，所以进出人很杂，没有静心休息的心情。地段也比较偏，看来地域差还是有的。', '短评打分': 1}
{'短评内容': '房间设施、卫生尚可，但是床单有破口，桌子、床头柜上面不干净。距地铁站近，交通方便。', '短评打分': 3}
{'短评内容': ' 不错，酒店很干净，也挺漂亮，离世博园区也较近', '短评打分': 3}
{'短评内容': '总体说来服务不错。前台的服务也不错。早餐还可以 比较实用经济的酒店', '短评打分': 5}
{'短评内容': '酒店环境就非常不错, 很让人觉得舒服,适合一家居住,出门也很方便', '短评打分': 5}
{'短评内容': '很不错的酒店哦,非常的舒适,以后还会来,地段好又实在', '短评打分': 5}
{'短评内容': '超级豪华的套房！在这个位置性价比太高了！', '短评打分': 5}
{'短评内容': '性价比还是挺高的，靠近世博展览馆，可以，就早餐简单了点。', '短评打分': 5}
{'短评内容': '酒店位置就在路边，但酒店内却有闹中取静的大环境，蛮好的。\n\n', '短评打分': 5}
{'短评内容': '酒店离世博园还算近,但是周边环境不算好.', '短评打分': 1}
{'短评内容': '酒店离世博园比较近,但是酒店环境不算好.', '短评打分': 1}
{'短评内容': '条件很好，但位置有些偏远。', '短评打分': 3}
{'短评内容': '非常好的酒店,周围非常方便出行, 地铁和饮食店寻找也很方便', '短评打分': 5}
{'短评内容': '这家酒店从价格而言真的很好，里面的设施比较新和全！推荐！', '短评打分': 5}
{'短评内容': '新酒店性價比很高，只要有到這裡一定會入住', '短评打分': 5}
{'短评内容': '价格涨了，其他还行，价格涨了，其他还行，价格涨了，其他还行，', '短评打分': 5}
{'短评内容': '总体来说性价比很高，交通便利，房间干净，也挺大的，设施齐全，该有的都有。由于路程耽误，该酒店也在房间紧张的情况下且没有做guarantee的情况下为我把房间保留到了23点，免查房，大大增加了check out的速度。退房时间为下午2点也很人性化。早饭品种较少，但该有的都有了，还有就是虽然有三部电梯但等的时间比较久。如果有机会我还会选择该酒店。', '短评打分': 5}
