{'短评内容': '物超所值，房间大床也大，非常干净，隔音。下次还来', '短评打分': 5}
{'短评内容': '设施非常好，周边环境也优美，服务比较到位，房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '条件很差，看起来就不卫生。当晚订了房间根本就没法住，直接退房走人，', '短评打分': 1}
{'短评内容': '房间很大，也能停车，设施有些老化了，马桶冲了有时关不上，下次用就冲不了，还有就是没有吹风机，男士洗头都要半天才干，女生就不要洗了。', '短评打分': 3}
{'短评内容': '环境还可以，蛮安静的，地段接近市中心', '短评打分': 4}
{'短评内容': '中规中矩，位置方便，就在公园旁边！虽然订了没有住，但是看上去应该还是不错的！', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '感觉啊 不怎么的 不喜欢了', '短评打分': 3}
{'短评内容': '挺好的 就是电脑很渣 晾衣服的东西也坏了', '短评打分': 3}
{'短评内容': '不错，床很大很舒服，挺安静的，地理位置挺好，服务也不错，距离北部湾广场也很近~就是房间旧了点，洗澡水有点小，其他还可以呢~挺不错的', '短评打分': 3}
{'短评内容': '地理位置还行，没电梯，房间水小，停车位不多。', '短评打分': 1}
