{'短评内容': '酒店位置还行，早餐也还可以！', '短评打分': 5}
{'短评内容': '相当不错', '短评打分': 5}
{'短评内容': '闹中取静、还是可以。', '短评打分': 4}
{'短评内容': '性价比较高', '短评打分': 5}
{'短评内容': '酒店设施太差，电视，调了，好几回也不好用，淋雨头坏的......', '短评打分': 3}
{'短评内容': '位置好，机场大巴可以到酒店。周围吃饭的地方也很多，紧挨着215医院，设施齐全，送水，还有两包咖啡。可以！', '短评打分': 5}
{'短评内容': '非常好，很愉快的购物，信任京东。', '短评打分': 5}
{'短评内容': '环境非常不错，服务周到热情', '短评打分': 5}
{'短评内容': '很好，', '短评打分': 5}
{'短评内容': '，，，( &acute;◔‸◔`)然并卵e..', '短评打分': 5}
{'短评内容': '市中心城区交通便利，价格优惠。', '短评打分': 5}
{'短评内容': '房间干净，服务很好，位置方便', '短评打分': 5}
{'短评内容': '大廰明亮，房間乾淨。電梯太小，常遇有宴會時要等好久。常有人在走廊上講話，隔音不好。', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '不错哦，去机场方便。感谢携程的推荐', '短评打分': 5}
{'短评内容': '位置挺好，周围有饭店、超市。住的是套房，很大，但是卧室无窗。卫生间淋浴没有隔断，洗完澡卫生间全湿的。淋浴是温泉水，这点还不错。', '短评打分': 4}
{'短评内容': '性价比较高，住了好几次乐，都是出差，现在有暖气了房间很热，穿短袖就可以。早餐的品种还是比较少，有待改善', '短评打分': 4}
{'短评内容': '出差去的，还不错。', '短评打分': 5}
{'短评内容': '我连续住了两三天，酒店里每天应放的东西都没给我放，例如矿泉水、手纸  酒店有麻将房，晚上有点吵', '短评打分': 3}
{'短评内容': '这几天在咸阳出差，一直都住在红螺湾酒店，房间干净卫生，周围环境不错。', '短评打分': 5}
{'短评内容': '在咸阳市这一家酒店很是不错，交通十分方便，外出办事十分方便，住在这里很好。', '短评打分': 5}
{'短评内容': '这是一家十分不错的酒店，过去在这里住过几次，感觉还是不错的。', '短评打分': 4}
{'短评内容': '酒店交通便利、环境优雅。', '短评打分': 5}
{'短评内容': '酒店相对238元来说一般，陈旧，早餐太差，房间太小，但酒店的外婆士菜馆中湘菜囗味很好', '短评打分': 3}
{'短评内容': '挺好的，服务不错，性价比高，推荐！！！我再来咸阳也会住', '短评打分': 5}
{'短评内容': '  服务态度很好', '短评打分': 3}
{'短评内容': '酒店设施有点老旧，特别是卫生间的手纸太差了，手纸有点黑黄。\n不过服务员的态度还是不错。', '短评打分': 1}
{'短评内容': '房间比较陈旧，设施也不是很完备，空调是坏的，开了越开越冷，网线也是坏的，换了才算好用，反正是一波三折啊。', '短评打分': 1}
{'短评内容': '一般般吧，电梯按钮漏电，打了我一下。房间还行。在咸阳已经不错了。', '短评打分': 5}
{'短评内容': '一般一般一般，早餐一般！！！！！！！！！', '短评打分': 1}
{'短评内容': '总体还是不错的，在咸阳已经是很好的酒店了，就是旁边有个工地，房间的隔音又不是很好，影响睡觉了', '短评打分': 5}
{'短评内容': '酒店地毯搭配不妥', '短评打分': 3}
{'短评内容': '我有变动！谢谢！下次再定房！您们服务很不错！', '短评打分': 3}
{'短评内容': '大堂环境很好,服务也不错,就是客房设施陈旧.', '短评打分': 3}
{'短评内容': '地點還可以，出差固定住所。性價比不錯，住置離大潤發及吃的地方都很近。', '短评打分': 5}
