{'短评内容': '地理位置还不错，环境也可以，服务态度好，总体不错~', '短评打分': 5}
{'短评内容': '很差', '短评打分': 1}
{'短评内容': '设施略简陋，卫生等条件还可以，地理位置很好，周边地铁，早餐，超市一应俱全。老板人很好。很热情。', '短评打分': 5}
{'短评内容': '地理位置挺好的。距地铁站步行七八分钟。老板人也很棒。设施略显陈旧。但很整洁。因为离亲戚家近，所以选择的。下次还会住这。', '短评打分': 5}
{'短评内容': '各方面还行', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '房间稍有点小，但是基本设施齐全，周边很方便，店家态度很好，价格很便宜', '短评打分': 5}
{'短评内容': '很好找，前台服務親切，附近生活機能便利， 出行交通很方便，房間內就是電視尺寸太小了，在北京如此的CP值真是高了。', '短评打分': 5}
{'短评内容': '差差差差差', '短评打分': 1}
{'短评内容': '很干净的挺不错的 有机会下回还会来 店里的人服务态度也好', '短评打分': 5}
{'短评内容': '还可以吧，就是房间没窗户。', '短评打分': 5}
{'短评内容': '感觉还不错', '短评打分': 4}
