{'descr': '环境不错，使我对嘉定的印象彻底改变', 'star': 5}
{'descr': '位置好，性价比高。', 'star': 5}
{'descr': '真心不怎么样，连个电脑都没有，床头柜就这破桌子，还商务大床房，开关还是坏的，这样的开关不怕把客人电死啊！！还有枕头没拍照，两大坏黄色的斑点，还好服务员给换了，算了，不想再评价了，对格林彻底失望失望！！', 'star': 2}
{'descr': '很好， 去看看不错', 'star': 5}
{'descr': '很一般，有点老旧', 'star': 3}
{'descr': '旁边有金百合 可以住金百合 不用住宾馆的', 'star': 3}
{'descr': '无线网太差了', 'star': 1}
{'descr': '老了旧了，一般性啊一般性', 'star': 3}
{'descr': '价格变动快，实际与网上价格乱', 'star': 3}
{'descr': '有点旧了，有异味，床单有点潮', 'star': 3}
{'descr': '房型老是换来换去的，这样真的好么，真的好么', 'star': 3}
{'descr': '好', 'star': 5}
