{'短评内容': '很好很安静，干净整洁', '短评打分': 5}
{'短评内容': '房间比较老，感觉一般', '短评打分': 4}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '房间很大。', '短评打分': 4}
{'短评内容': '白鸡吧差，还七天，连个50的私人也不如，光蚊子打死十几个，现在身上还有好多红点，我去，打死不再去了。历史同价最差。', '短评打分': 1}
{'短评内容': '差得多的多……特别是房间卫生……差', '短评打分': 1}
{'短评内容': '真她妈的垃圾！冬天房间空调吹冷风！要求处理没人管！要求退房要扣钱！说投诉！酒店经理说随便吧！', '短评打分': 1}
{'短评内容': '优点是位置不错，旁边有临沂大学宾馆，伙食不错。虽然不提供早餐，但隔壁的早点铺不错，物美价廉。每次去临沂都住在那里，方便实惠。', '短评打分': 5}
{'短评内容': '酒店位置不错，卫生条件也很好。服务态度不错。只可惜是加盟店，身为会员却没有牛奶送，而且没有早餐供应，小小遗憾。', '短评打分': 5}
{'短评内容': '离车站很近，出去一般都是住这样的连锁七天！', '短评打分': 5}
{'短评内容': '非常好，很满意', '短评打分': 5}
