{'短评内容': '老板不好沟通', '短评打分': 1}
{'短评内容': '不满意', '短评打分': 3}
{'短评内容': '还是可以呢', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '不好', '短评打分': 2}
{'短评内容': '五六十也只能住这样的，差不多吧！', '短评打分': 3}
{'短评内容': '+中午13点左右到贵宾馆入住，请为我预留房间，谢谢，可以的话给我留一间双人房，因为网上无法订购双人间，谢谢', '短评打分': 3}
{'短评内容': '热水特别好！房间干净！', '短评打分': 4}
{'短评内容': '周边环境安静，交通方便，室内设施还行。', '短评打分': 4}
{'短评内容': '还可以，这个价位', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '。 各方面一般。', '短评打分': 3}
{'短评内容': '房间小，属于老式的招待所类型，但考虑价格的话，性价比还可以。交通便利，周围吃饭比较方便。服务员态度较好，能通融的尽量通融。', '短评打分': 5}
{'短评内容': '酒店不太好，第二天就换地方住了', '短评打分': 3}
{'短评内容': '条件一般，不过好在价格低廉，出门不远就是龙潭公园，早晚去散步很不错。', '短评打分': 5}
{'短评内容': '性价比很高的宾馆，干净，舒适，很不错', '短评打分': 3}
{'短评内容': '这个价位在市里住还不错，周边也比较安静！', '短评打分': 5}
{'短评内容': '这个地方还不错，位置也很方便，离龙潭公园就一两百米的样子，设施不错，下次还来！', '短评打分': 5}
