{'短评内容': '酒店一般吧，不过挺实惠了', '短评打分': 4}
{'短评内容': '优惠', '短评打分': 3}
{'短评内容': '酒店设施真的很差，电视节目少，遥控器还不好用，房间里网络信号极差，不稳定，给前台反应，说是用的人多，这算是什么理由。真的，比一般的连锁酒店七天这种差太多，而且价钱还不便宜呢！总之，差评！', '短评打分': 3}
{'短评内容': '性价比高 服务态度好', '短评打分': 5}
{'短评内容': '很不错。干净。卫生。安静', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '房子一般，定了3天，住了一晚就退了', '短评打分': 4}
{'短评内容': '还行，', '短评打分': 5}
{'短评内容': '不错的。在地铁站旁边', '短评打分': 5}
{'短评内容': '好地方，交通方便，出行便利，值得推荐。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '挺好的，来考试的，离考点也很近', '短评打分': 5}
{'短评内容': '挺不错的 很方便 周围店铺比较多', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '就是靠窗外有点吵，另外无线信号一般，电视机小了点。其他都挺满意。', '短评打分': 5}
{'短评内容': '酒店不错哦，酒店不错哦，酒店不错哦，酒店不错哦，', '短评打分': 5}
{'短评内容': '卫生需加强', '短评打分': 3}
{'短评内容': '图片属实，空间良好…', '短评打分': 3}
{'短评内容': '总体感觉还可以，就是房间价钱一样大小不一样', '短评打分': 5}
{'短评内容': '预订非常方便…酒店服务态度还行', '短评打分': 3}
