{'短评内容': '不错八', '短评打分': 5}
{'短评内容': '环境太差，好多东西都是坏的，对不起对不起这价格，卫生也不是太好。唯一给力可能只有wifi吧！这都是四星的话，街边小旅馆也是四星。', '短评打分': 2}
{'短评内容': '一般般，外观看的挺好，进去住不怎么样', '短评打分': 3}
{'短评内容': '客房隔音不好，水压太小，洗澡都不过瘾', '短评打分': 3}
{'短评内容': '房间环境不错。交通也便利。', '短评打分': 3}
{'短评内容': '不错不错。交通方便 房间也不错', '短评打分': 3}
{'短评内容': '交通方便，吃的也很方便，酒店比较干净，四星级宾馆值得推荐', '短评打分': 4}
{'短评内容': '交通方便，吃的也很方便，酒店比较干净，四星级宾馆值得推荐', '短评打分': 4}
{'短评内容': '交通方便，吃的也很方便，酒店比较干净，宾馆值得推荐', '短评打分': 4}
{'短评内容': '就在市征服边上，公交出行方便', '短评打分': 4}
{'短评内容': '还不错，', '短评打分': 3}
{'短评内容': '就是小宾馆', '短评打分': 4}
{'短评内容': '前台有待改进。不能用信用卡。才一年的酒店， 就很旧了。不知道他们是如何维护的。。。其他的基本就一般吧。。。', '短评打分': 5}
