{'短评内容': '好的很', '短评打分': 5}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '非常好！', '短评打分': 5}
{'短评内容': '房间还比较大', '短评打分': 5}
{'短评内容': '房间还不错', '短评打分': 5}
{'短评内容': '酒店环境好', '短评打分': 5}
{'短评内容': '服务很好，环境优美，值得推荐', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店非常好，环境不错，温泉也很好。服务员态度热情，让人感觉宾至如归。', '短评打分': 5}
{'短评内容': 'hao', '短评打分': 5}
{'短评内容': '酒店环境很好，服务也很不错。早餐一般', '短评打分': 5}
{'短评内容': '酒店不错，有温泉，出酒店左行100米', '短评打分': 5}
{'短评内容': '空调一直嗡嗡的响 很烦人  服务人员服务都很不错', '短评打分': 5}
{'短评内容': '酒店性价比很高，房间有阳台，还送早餐，住房点心，温泉劵', '短评打分': 5}
{'短评内容': '免费升级服务不错', '短评打分': 5}
{'短评内容': '很好的服务，开心的旅程', '短评打分': 5}
{'短评内容': '感觉很愉悦，泡温泉很放松。', '短评打分': 5}
{'短评内容': '房间很宽敞，早餐品种丰富，赞一个，', '短评打分': 5}
{'短评内容': '第一次去啊！房间很好，特别是早餐赞一个，', '短评打分': 5}
{'短评内容': '一', '短评打分': 5}
{'短评内容': '一家人去的，总体不错，下次去还选它', '短评打分': 5}
{'短评内容': '环境不错，很好找，基本是首选了，设施再新点就好了', '短评打分': 5}
{'短评内容': '设施有些陈旧，如果以五星级标准来看的话，不符合。', '短评打分': 5}
{'短评内容': '地方稍微偏点，不过交通还算好，房间很好，温泉赶上下雨，室外的没办法，这价格还算很不错了', '短评打分': 5}
{'短评内容': '几家人一起过去，第一次京东预定酒店，还不错吧', '短评打分': 5}
{'短评内容': '房间大，被子实诚，由于是周末，人多，早餐吃的拥挤，但酒店的温泉一般一般一般，没有什么特点，就像泡温水澡！', '短评打分': 5}
{'短评内容': '挺好的，环境幽静，空气清新，晚上也很安静，泡澡温泉回去睡觉，睡的特别好', '短评打分': 5}
{'短评内容': '帮朋友预订的，住过几次，推荐给朋友的，值得选择，各方面都不错', '短评打分': 5}
{'短评内容': '这个酒店就是山寨版的威尼斯人的四季酒店，乍一看还行，住进去就会感觉差太多了。硬件就不说什么了，各种脏乱差，前台服务人员的素质就更过分了，黑人感觉比农行的柜台服务还牛逼，鼻孔看人，爱理不理。我们住了一晚，第二天一早我去续房，前台说你的房间我们已经卖给别人了，你们一共四间房今天中午都得搬出去，我问为什么会这样，他回答我：你们是携程低价订的房，现在房子很紧俏，别人出高价找房间，你们要么给高价，要么搬出来', '短评打分': 2}
{'短评内容': '非常不错！', '短评打分': 5}
{'短评内容': '酒店环境不错，早餐也还可以，房间挺大的，而且很干净，第二次来这个地方住，个方面都很不错，值得下次继续来', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '陈旧，老化，服务也不到位', '短评打分': 2}
{'短评内容': '亲子房很好很可爱', '短评打分': 5}
{'短评内容': '酒店确实不错，环境优美，安静！免费升级套房！服务态度很好！直得一游！', '短评打分': 5}
{'短评内容': '各方面多不错', '短评打分': 5}
{'短评内容': '已经入驻多次了 五星的标准吧 前台给免费升级了房间～', '短评打分': 5}
{'短评内容': '距离温泉很近很方便', '短评打分': 5}
{'短评内容': '住过很多次了 一直都住这里 服务很好', '短评打分': 5}
{'短评内容': '装修风格和色调都很老特，床和睡袍都不是很舒服', '短评打分': 1}
{'短评内容': '不错，很舒适！周边环境也很好，旁边就是潜山森林公园。', '短评打分': 5}
{'短评内容': '帮朋友定的房间，听他说设施挺好，温泉很热', '短评打分': 5}
{'短评内容': '房间还可以，蛮大。大堂装修不错，但若大的五星大堂竞然没空调。离店时前台结账太慢，花了半个小时。', '短评打分': 5}
{'短评内容': '酒店除了房间暖和外···大堂 电梯 走廊都冷得出奇···没有暖气···\n卫生也不是太好···', '短评打分': 5}
{'短评内容': '酒店还是不错的。离市中心也不远。服务很周到，酒店也很满意。', '短评打分': 5}
{'短评内容': '环境不错，服务到位,距离温泉非常近，很不错得休闲场所，推荐！！！', '短评打分': 5}
{'短评内容': '没有之前评论说的那么不堪，其实酒店环境不错，卫生程度也行。不过他们前台的人手也太少了，开房等了15分钟，退房等了半个多小时！虽然有些是那些纠结的客户造成的，但就不能多添几个人？话说，吃早饭的时候被服务生的钻戒闪瞎了眼LOL', '短评打分': 5}
{'短评内容': '听同事说硬件设施很不错，但是服务很差，早餐他很满意', '短评打分': 5}
{'短评内容': '如果真的是普通标间，那真的贵了，以后不一定再住那。', '短评打分': 5}
{'短评内容': '我同事打电话给我说，为什么告诉我的是高级大床房，到柜台就变成普通标间了，我很无辜，平台上根本就没有普通标间的选项。', '短评打分': 5}
{'短评内容': '度假型酒店，，设施一般，环境还不错，服务一般，早餐一般,房价偏高。\n', '短评打分': 5}
{'短评内容': ' 环境不错 但是位置稍偏 房间很大 没见有保安巡锣 总体来说欠缺人气', '短评打分': 3}
{'短评内容': '咿咿，适合情侣度假，我们就是呢；也适合全家休闲，服务特别好，不过准备好、准备足够的细软哦，这里是很很很奢华的。', '短评打分': 5}
{'短评内容': '酒店大堂装修的很奢华，有点欧洲宫殿的感觉，房间的配置很一般，入住时正赶上酒店外围装修。酒店的早餐与酒店装潢极为不配套，及时简单而且寒酸，入住时酒店的温泉中心也在装修到别处洗得温泉，希望酒店的软硬件有更好的提升！', '短评打分': 5}
{'短评内容': '住着很舒适，早餐很好，价格稍微有点贵，希望能有更多的优惠！', '短评打分': 5}
{'短评内容': '。环境卫生很好', '短评打分': 3}
{'短评内容': '酒店的温泉池没有太乙洞的丰富，但是离失去较近。总体还可以。', '短评打分': 5}
{'短评内容': '室内外环境不错，早餐很丰富，但房价价格偏高。', '短评打分': 5}
{'短评内容': '一般般，号称酒店温泉，却和温泉是分开的，去温泉得另外缴费，而且是按次计算，进去一次缴一次费。', '短评打分': 1}
{'短评内容': '度假型酒店，但没有应有的舒适豪华，设施一般，客房还可以，大厅温度几乎和室外一样，员工都穿着大衣。', '短评打分': 1}
{'短评内容': '设施完善 很有档次 入住很舒适 就是中餐厅的菜味道一般般', '短评打分': 5}
{'短评内容': '服务不是很好', '短评打分': 3}
{'短评内容': '房间的硬件设施不错。就是温泉的设施还有待改进！', '短评打分': 5}
{'短评内容': '碧桂园凤凰温泉酒店不错,但温泉很差,服务差,卫生差!', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '环境很不错，温泉还行。人少的时候，池子开得不多', '短评打分': 5}
{'短评内容': '酒店硬件还不错，房间服务尚可。但与万豪温泉谷相比，感觉是个暴发户，上不了台面，温泉感觉比较差', '短评打分': 3}
{'短评内容': '房间较宽，设施齐全。\n希望酒店能按网上录入的时间准备好房间，建议订房的游客，最好在1点甚至2点后办理入住，因为12点到酒店，是没有房间的。\n其次，大概是由于通过网上预订房间价格较便宜，前台给的房间位置较偏，建议入住时，查看房间号码，争取能入住较为中心的位置，风景较好的地段。\n再次，可能由于起床时间较晚，早餐在9-10点时，基本没有可以吃的东西。\n此外，酒店服务有待提高，尤其温泉前台，已经说明是让酒', '短评打分': 5}
{'短评内容': '房间刚完成装修，味道重.服务只够三星,结帐人员流程明显有问题,缺少培训,等待时间长.', '短评打分': 1}
{'短评内容': '酒店还是比较新，比较好，住的也比较舒适。出差时间比较紧张，没来得及去山上看看，可惜了。', '短评打分': 5}
{'短评内容': '堂堂五星级的酒店居然以检修为名没有暖风。冻的客人只有要暖风机来取暖可还是不管用。', '短评打分': 1}
{'短评内容': '房间设计的很奢华，性价比还可以，比较合适，服务周到热情，卫生条件很不错，住着很放心', '短评打分': 5}
{'短评内容': '房间较大、装修气派，大厅富丽堂皇，早餐品种一般，有待改进，不过坐在这里吃早餐环境很好，特别是窗外景色美。这么长的走廊只有一处电梯上下，不方便。新装修的商务房油漆味道重（6001、6009都是的）。出租车不便利，叫车要多付10元空乘费，自驾车去了很好。\n温泉很好、很舒服、设施高级，拥有日本温泉的味道，坐在温泉里看星星、看月亮，完全融入了自然，下次一定还去！~', '短评打分': 5}
{'短评内容': '酒店的服务很好，服务员态度很周到热情，装修的很有格调，性价比蛮高的，房间卫生条件也很不错，总体感觉很不错的酒店', '短评打分': 5}
{'短评内容': '酒店卫生方面很好，打扫的很干净，服务周到热情，性价比能接受', '短评打分': 5}
{'短评内容': '酒店房间蛮大的，装修的也很不错，蛮温馨的，酒店附近交通很方便，服务也很到位，餐厅饮食很好，口味可口，住宿环境还是不错的', '短评打分': 5}
