{'短评内容': '房间狭小空间紧张，酒店位于西二环较偏僻。网速还凑合，附近没有商店，宾馆卖的商品价格不便宜还不给算进房费没有发票，早餐没吃不语', '短评打分': 4}
{'短评内容': '还可以哦，五分好评', '短评打分': 5}
{'短评内容': '第二次入住，酒店位置临近裕西公园，带小孩子一起玩挺不错。房间还不错，有大窗户，有热水和WiFi，整体满意', '短评打分': 5}
{'短评内容': '早餐很棒，适合情侣居住', '短评打分': 5}
{'短评内容': '位置离美术馆和公园很近。比较方便。', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '卫生价挌合理。', '短评打分': 4}
{'短评内容': '设备陈旧，屋里一股难闻的味道，隔音差，隔壁房间叫床声此起彼伏！', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '放假设施一般！', '短评打分': 4}
{'短评内容': '在西王附近基本上最好的酒店了，酒店有餐厅。附近有个晓宇火锅不错，吃完在裕西公园散散步，转弯过个马路直接是酒店。', '短评打分': 5}
{'短评内容': '还不错，很方便', '短评打分': 5}
{'短评内容': '总体环境不错，可就餐厅，可住宿，交通便利', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '挺好的，旁边有个公园，环境不错！就是马路边有点吵！', '短评打分': 5}
