{'descr': '房间好  服务好', 'star': 5}
{'descr': '还可以 不错 就是屋子有些冷啊 周围商场方便 环境可以 这个价位可以了推荐 总体是不错的 吧台很好 加油', 'star': 4}
{'descr': '很好，不错的一次住店！非常棒', 'star': 5}
{'descr': '房间干净', 'star': 5}
{'descr': '房间干净，有窗户，就是隔音一般', 'star': 5}
{'descr': '服务态度良好卫生很干净，早餐是自助形式的很好吃', 'star': 5}
{'descr': '环境不错，不错', 'star': 5}
{'descr': '环境不错，很好', 'star': 5}
{'descr': '我的缩小版的积分差距太远的确很好用了', 'star': 5}
{'descr': '环境非常的不错，很宽敞很大，而且早餐特别好吃，下回还会去的五星好评', 'star': 5}
{'descr': '位置不错', 'star': 5}
{'descr': '位置好，房间暖和', 'star': 5}
{'descr': '不是第一次来这家了 第一次住榻榻米感觉很好玩 ～如果有窗就更完美了 有机会还会再来的～～～～～～～～～', 'star': 5}
{'descr': '很不错，下次还回来！', 'star': 5}
{'descr': '干净卫生，环境不错。', 'star': 4}
{'descr': '不错！！！！！！！！！！！', 'star': 3}
{'descr': '酒店可以，服务员也不错，经理不太好交流，费劲', 'star': 3}
{'descr': '用水太脏，全是水锈', 'star': 2}
{'descr': '挺好，已评价过好多次了。推荐！', 'star': 4}
{'descr': '住过好多次了，环境，硬件都不错。最重要的是前台小妹妹服务周到，给个赞！值得推荐！', 'star': 4}
{'descr': '和不高的期望基本吻合，性价比较对等。', 'star': 3}
{'descr': '装修不错，但是不卫生，榻榻米的角落不干净。有的房间有味道，有的还可以。', 'star': 1}
{'descr': '酒店的榻榻米倒是有情调，装修不错，卫生条件不好', 'star': 1}
{'descr': '室内温度挺高的，热水充足。缺点就是：房子不隔音，房门不严，有缝隙，电视机没有遥控器，只有机顶盒有遥控器，早晨退房的时候，提前叫服务员不来，必须把房卡交到总台才能派人去验房，耽误了5分钟。', 'star': 5}
{'descr': '性价比不错，周围就有大润发很方便。齐齐哈尔火车站打车也很方便，赞一下齐市。', 'star': 5}
{'descr': '酒店距火车站三站公交，交通方便，酒店周边商业网点和歺饮较多。酒店房间卫生很好，前台人员很有礼貌，服务态度不错。\r\n朱宪人', 'star': 3}
{'descr': '大晚上到的，入住后房间设施还过得去，就是墙壁薄了一点，隔壁的电视声音能透过来。\n酒店对面有面馆和一家炒菜馆，不错，交通也方便，打车和司机说到桔子红了，很容易就能找到.', 'star': 5}
{'descr': '非常温馨浪漫富有创意的酒店啊，地理位置也不错，以后来这里还会住的', 'star': 5}
{'descr': '干净，简介，时尚，唯一不足的就是酒店隔音非常差', 'star': 5}
{'descr': '房间里面的环境挺不错的，卫生做的挺干净的，硬件设施还可以', 'star': 5}
{'descr': '酒店地理位置很好，卫生条件很好，服务态度很好，可以推荐给朋友。', 'star': 5}
{'descr': '齐齐哈尔本来也没什么好酒店，这家算比较干净的，也就是快捷酒店的水平。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '环境很好，很干净，服务很热情，床品干净舒服，非常满意！', 'star': 3}
{'descr': '环境不错，服务也很好。价格也合适，是一家出游居住的好地方。只是房间有些设备需要改进，可以入住！！！！！！！！！！！！', 'star': 5}
{'descr': '酒店的服务不错，位置也不错，但是设备老化，特别是电脑，换来换去都不能用，网速也不那么快。问题很大。建议尽快改进。', 'star': 5}
{'descr': '在齐齐哈尔同档次来说不算便宜了，没有衣柜倒没关系，专门定的电脑房，结果给换了两个主机才用上，原来都是从别的房间搬来搬去的，不知属不属拆东墙补西墙，要是客人没要求也许就这么地了。没有免费水，收费的品种倒是挺多。冷气风有点小，从另一个角度来看的话倒是挺静的。\n总的来说不过不失，没有想象中的好，可能期望值太高了吧。', 'star': 1}
{'descr': '宾馆确实够浪漫，服务确实很好。但是宾馆的电视开关能否改到床的旁边呢。', 'star': 5}
{'descr': '还不错的酒店，除了耳麦没有声音，后来给更换了，离商业区很近，旁边就是个大超市，非常方便，值得推荐。只不过，第二天退房的时候，赶上停电，亲眼目睹有人被困在电梯里（偶当时在等电梯），恐怖啊，直到偶退了房，也没来电，也就是说，电梯里的人仍旧没出来，同情下', 'star': 5}
{'descr': '房间不大，环境整洁，总体和北京那边的桔子酒店非常相似，值得推荐，就是早餐过于简单了些', 'star': 5}
{'descr': ' 环境不错', 'star': 3}
{'descr': '地点挺好，临街。当地也没有什么性价比较好的。布置挺新颖，服务一般。', 'star': 5}
{'descr': '真是一家值得向大家推荐的酒店，服务好，房间很大，干净，房间采光也很好，还很雅致，水压比较稳定，就是水流不是很大', 'star': 5}
