{'短评内容': '位置理想', '短评打分': 3}
{'短评内容': '位置很好。前台很亲切。房子还好，不会失望。', '短评打分': 5}
{'短评内容': '已入住。一般，房间味道太重，窗帘不遮光，临街的房间有点吵，总台服务员态度不好。', '短评打分': 3}
{'短评内容': '跟农家乐差不多,反正很差  一进房间门就觉得脏的感觉', '短评打分': 1}
{'短评内容': '说实话，这是我住过的最差的宾馆 ，连窗户都没有', '短评打分': 3}
{'短评内容': '-宾馆还好！好多小问题，灯不亮，淋浴无蓬头，无电脑', '短评打分': 3}
{'短评内容': '地理位置比较好，离市里很近，房间比较潮，而且没有地方停车，总提来说比较好，但是有天晚上，睡到半夜，突然有人客服人员直接进来了，说给送吹风机，送错了，大半夜的，我们都睡了，而且没敲门，是自己拿卡开门进来的，吓死人了', '短评打分': 5}
{'短评内容': '＋房间比较小，隔音较一般！电视还没几个台，有的还没音！总体来说，太一般了…', '短评打分': 3}
{'短评内容': '还行吧，呵呵呵呵  交通不错 里奥帆中心近', '短评打分': 5}
{'短评内容': '老住户了，在市区这个价位这么好的房间很不错了！', '短评打分': 5}
{'短评内容': '价格便宜，地理位置方便！很不错！房间很干净！', '短评打分': 5}
{'短评内容': '非常差的一家酒店，不推荐！\n看起来是高楼大厦，其实是非常破旧的一个楼的五六层。\n窗户玻璃非常脏，室内也不干净，路口车声很吵！\n最雷人的是，热水放半天也放不出来，给总台打电话，竟然说：“放十分钟就出热水了！”\n', '短评打分': 1}
{'短评内容': '一般般                在这个价位里还算凑合', '短评打分': 5}
{'短评内容': '房间里出了一张床，一张桌子，一个电视之外什么都没有，桌子椅子上都是灰，地上脏兮兮的，感觉房间至少一周没打扫过。最糟糕的是，房间里的墙纸都被撕坏了，破烂不堪，网速也不快。总之，太差了，一点不值这个钱', '短评打分': 1}
{'短评内容': '经济实惠 交通便利', '短评打分': 3}
{'短评内容': '暖气不错，安静，', '短评打分': 3}
{'短评内容': '房间很大，很干净，暖气等设备也可以，但电视收到的节目很少，房间很闷', '短评打分': 1}
{'短评内容': '＋离眼科医院很近，比较方便。', '短评打分': 3}
{'短评内容': '后面就是青岛奥帆中心，东面就是海信广场，地理位置不错，酒店环境不错，下次还住。', '短评打分': 5}
{'短评内容': '房间环境还不错，配套也不错，就是网速卡点，不是很给力', '短评打分': 3}
{'短评内容': '内部环境还不错，就是早上突然有人推门进来吓了一跳', '短评打分': 3}
{'短评内容': '比较干净，总台人员服务态度不错。这次来忘带充电器，总台很快帮忙借了一个，赞一个。', '短评打分': 3}
