{'descr': '前台服务好每一好', 'star': 5}
{'descr': '住的舒服 经济首选 ', 'star': 5}
{'descr': '插座有时接触不良，其他挺好！', 'star': 5}
{'descr': '东西不错，不错，不错', 'star': 5}
{'descr': '东西不错，不错，不错', 'star': 5}
{'descr': '服务态度极好，早餐虽然很简单，但是对于出差较多的人来说算是快捷省时间，房间隔音效果一般，但是不临街的一侧还是可以的。', 'star': 5}
{'descr': '还行挺好的', 'star': 5}
{'descr': '位置很好，性价比高', 'star': 5}
{'descr': '酒店价格便宜！卫生干净！服务很好！', 'star': 4}
{'descr': '价格便宜！服务到位！干净舒心！', 'star': 4}
{'descr': '酒店与边上的KTV相近，晚上有些吵，但总体上看位置离京哈高速还算方便，所以下次依旧会选择，毕竟价格划算，周围还有家挺好吃的早餐店', 'star': 3}
{'descr': '总体来说不错，房间很大，带机麻。带了两个小孩，房子空间大，挺好。活动的开。', 'star': 4}
{'descr': '价格还行、经济实惠！值得住，已经入住好几晚了。', 'star': 4}
{'descr': '环境更好', 'star': 5}
{'descr': '还可以的', 'star': 5}
{'descr': '不错，很好，早餐也很棒', 'star': 3}
{'descr': '很不错，周围吃饭也很方便', 'star': 3}
{'descr': '挺不错得，挺干净的，早餐挺好，下次还住！', 'star': 5}
{'descr': '相当不错，房间明亮，网速超快，早餐也不错，赞一个', 'star': 5}
{'descr': '经济、实惠。交通比较方便，附近有地铁站。', 'star': 5}
{'descr': '＋不错，房间大，网速快，早餐丰盛，赞一个，下次还住这。', 'star': 3}
{'descr': '大床房应该很不错.大床房应该很不错.大床房应该很不错.大床房应该很不错.大床房应该很不错.大床房应该很不错.大床房应该很不错.', 'star': 5}
{'descr': '又一次入住，经济实惠，好好好。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '很好，很强大，住了好几次了，下次还来，很好，很强大，住了好几次了，下次还来，', 'star': 5}
{'descr': '挺不错的，值得入住！', 'star': 3}
{'descr': '硬件和性价比都还可以，如果有机会，会考虑再次入住。', 'star': 5}
{'descr': '交通很便利，附近饭店很多。', 'star': 3}
{'descr': '服务不错，酒店也不错，值这个价！下次还回去', 'star': 5}
{'descr': '今天离店时，结帐等开发票，等了近二十分钟。服务效率太差了。', 'star': 3}
{'descr': '交通便利 周边餐饮娱乐俱全 宾馆配套齐全 环境还行 网速很快', 'star': 5}
{'descr': '服務態度良好交通便利餐館林立值得推薦', 'star': 3}
{'descr': '环境不错，周边餐饮比较多，离高速路口比较近，值得推荐', 'star': 5}
{'descr': '还行吧，，环境好， 但屋内有怪味，服务态度不太好', 'star': 5}
{'descr': '还不错啊，靠近地铁，出行方便，下次还会考虑...', 'star': 5}
{'descr': '确实不错，位置也靠近地铁口，旁边有家乐福，早餐也还行。', 'star': 5}
{'descr': '挺干净卫生的,服务态度还行,上网会掉线。', 'star': 3}
{'descr': '又说入住酒店就有优惠的，但怎么没有发现有优惠券发给我，但酒店还是可以的', 'star': 5}
{'descr': '还可以, 但是早餐少了一点的选择，空调可以调低点就最好了！', 'star': 5}
{'descr': '房间不错，空间大，住的舒服', 'star': 3}
{'descr': '屋子干净简捷,无异味,热水不错,网络较好,部分有无线网,我们住的没有,周边较繁华,吃饭的地方很多,还有家乐福超市', 'star': 3}
{'descr': '还不错，挺好的，挺干净，网速也不错，床很大\n还不错，挺好的，挺干净，网速也不错，床很大\n还不错，挺好的，挺干净，网速也不错，床很大\n还不错，挺好的，挺干净，网速也不错，床很大', 'star': 5}
{'descr': '还不错，挺好的，挺干净，网速也不错\n还不错，挺好的，挺干净，网速也不错\n还不错，挺好的，挺干净，网速也不错\n还不错，挺好的，挺干净，网速也不错\n还不错，挺好的，挺干净，网速也不错', 'star': 5}
{'descr': '酒店位于沈阳于洪区，去于洪办事的推荐住该酒店。酒店很干净，价格还算实惠，服务也不错；另外大厅还有2台可以上网的电脑，查资料很方便；房间装修虽不豪华，但很实用；住的大床标间，2米的大床很舒服。', 'star': 5}
{'descr': '酒店位于沈阳于洪区，去于洪办事的推荐住该酒店。酒店很干净，价格还算实惠，服务也不错；另外大厅还有2台可以上网的电脑，查资料很方便；房间装修虽不豪华，但很实用。', 'star': 5}
{'descr': '卫生不好，网络不好，早餐不好，服务态度有待加强。', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '很干净整洁。名副其实的大床', 'star': 3}
{'descr': '总体感觉不错，环境，服务都不错，有些不足，但是这个价位的话应该是不错了。', 'star': 5}
{'descr': '便宜~也很好。服务态度也不错，在于洪广场附近，离地铁出口很近。', 'star': 5}
{'descr': '挺干净的，就是有点吵希望下次能给个安静的房间！~', 'star': 5}
{'descr': '地铁一号线附近，离于洪广场很近，地热很暖和，房间很干净，很宽敞，赞一个！', 'star': 5}
{'descr': '坏境还可以，附近有家乐福，还有很多餐馆，挺方便的，就是我不太喜欢房间里的味道', 'star': 5}
{'descr': '去沈阳蜡化办事，位置不错。旁边吃饭的地方也比较方便，安静。舒适！', 'star': 5}
