{'短评内容': '进去之后是圆床房间，一个人睡的。', '短评打分': 5}
{'短评内容': '来交大看老朋友，位置不错，离拖鞋门大概800m，边上饮食丰富，设施简陋但够用，不错的体验。【一个人睡大床很舒服...】', '短评打分': 5}
{'短评内容': '环境不错，经济实惠！', '短评打分': 5}
{'短评内容': '隔音太差，被隔壁半夜回来的聊天吵醒，巨不爽！还有隔壁抽烟不知怎么的烟味就飘进来了。。。其他还行，如果隔音好，或者不怕吵，还是可以的。', '短评打分': 3}
{'短评内容': '没在这吃早餐，旁边就是快餐店，位置挺显眼的，可以停车！', '短评打分': 5}
{'短评内容': '不错，离开会的地方很近。晚上也比较安静', '短评打分': 5}
{'短评内容': '电视没几个台可以看。晚上Wi-Fi速度很慢。房间面积还算大，但是设施比较简陋，杯子也没有，全是一次性杯。卫生间排风扇一开起来玻璃都在震动。', '短评打分': 4}
{'短评内容': '整体一般，不好不坏', '短评打分': 4}
{'短评内容': '太坑爹了，预订价298元8天，其实是前6天332元，后两天170元，没见过这样的，不会再相信携程', '短评打分': 2}
{'短评内容': '校门直走可达，位置好不错。相对来说在学校旁边中属于性价比较高的，当然价格相对会高一点。', '短评打分': 4}
{'短评内容': '这家店不错，干净，就是隔音差一点。', '短评打分': 5}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '网速太慢了，有时连不上', '短评打分': 4}
{'短评内容': '房间很小，窗户对着过道，即使关上门窗外面走路说话的声音也是一清二楚，周边环境还不错吃饭买东西很方便。', '短评打分': 3}
{'短评内容': '房间比较小，没有窗，所以比较潮湿。然后灯光很暗，洗澡时水温过低，有时候直接是冷水。', '短评打分': 5}
{'短评内容': '一般的酒店，价格也便宜，不是去交大考试，不会订，浴室有待改善。', '短评打分': 2}
