{'短评内容': '距离出差的地方也就几百米，步行就OK！酒店房间的卫生也不错，设施也比较全。就是房间有点不太隔音。酒店附件有许多的小餐馆、超市，很是方便！贵阳的小吃不错，花溪牛肉粉、肠旺面、酸汤鱼，味道相当好！真想天天吃！', '短评打分': 5}
{'短评内容': '房间较小，设施较陈旧，冷气较足', '短评打分': 3}
{'短评内容': '还不错。位置也好找。就是电梯有点小。', '短评打分': 5}
{'短评内容': '环境挺好，就是隔音效果差点', '短评打分': 5}
{'短评内容': '非常好的环境，安静，酒店卫生也不错，楼下就有超市，服务也还可以，就是电梯比较小，周边小吃很多很有特色就是交通不是很方便', '短评打分': 5}
{'短评内容': '还可以，唯独没有早餐', '短评打分': 5}
{'短评内容': '环境不错，吃饭购物方便。', '短评打分': 5}
{'短评内容': '还行吧，适合短时间入住。zz。', '短评打分': 4}
{'短评内容': '一般般，不算好', '短评打分': 4}
{'短评内容': '一般一般，什么都一般。没亮点。不到位的地方还挺多。', '短评打分': 4}
{'短评内容': '还好吧', '短评打分': 3}
{'短评内容': '床单，被套有异味，', '短评打分': 3}
{'短评内容': '中规中矩。 隔音有点差', '短评打分': 5}
{'短评内容': '还不错吧  和其他这个价位的酒店差不多', '短评打分': 3}
{'短评内容': '返现太慢', '短评打分': 3}
