{'descr': '很不错，服务热情！', 'star': 5}
{'descr': '好看哦till', 'star': 5}
{'descr': '位置还不错，离地铁近', 'star': 5}
{'descr': '位置在黄河大街上  离二号线陵西地铁站很近  因为入住有轮椅，前台工作人员特意给办了一间一楼的房间，很方便。房间格局比较紧凑，价位在周边比较而言算是经济，干净卫生  有净水设备。网络信号好。', 'star': 4}
{'descr': '酒店位置很方便', 'star': 5}
{'descr': '非常好 环境好 服务人员微笑好迷人', 'star': 5}
{'descr': '酒店体验一般般………………不过卫生情况还不错^_^^_^推荐给需要的兄弟们^_^^_^^_^^_^^_^^_^', 'star': 4}
{'descr': '房间太小，卫生跟服务还是不错的，就是附近没什么吃饭的地方', 'star': 4}
{'descr': '酒店，交通非常方便。硬件和软件符合快捷酒店的标准。只是所有的大床房都挨着马路。磕睡很大，也没有什么影响。', 'star': 5}
{'descr': '环境好 服务不错 外观好 推荐', 'star': 5}
{'descr': '就是房间小了点。', 'star': 5}
{'descr': '挺干净的，就是有点偏僻，吃饭的地方不太多，整体还好', 'star': 4}
{'descr': '酒店很好，很干净，离北陵公园西门也比较近，店员服务也不错！', 'star': 5}
{'descr': '还可以，还算干净，离中街特别近。', 'star': 3}
{'descr': '离地铁近，附近没有饭店不太方便，后悔定了特价房，太小了，进屋就是床，空调遥控器不好使，好像没电了，打开一看电池上都是牙印，这也太省了吧！', 'star': 5}
{'descr': '酒店并不处在繁华地带，离辽宁大厦还有2站地，不过附近有地铁站还是蛮方便的。酒店布局还是典型的如家。', 'star': 5}
{'descr': '服务还不错。也比较干净。只是餐厅的饭菜不太好吃。而且很贵', 'star': 5}
{'descr': '酒店位置还不错，房间也很干净，就是房间太小，虽然已经有思想准备但是还是小的让人意外', 'star': 3}
{'descr': '酒店环境不错，晚上10点半还能叫KFC外卖。隔音效果一般', 'star': 5}
{'descr': '酒店环境还可以', 'star': 3}
{'descr': '周围距离北陵公园很近，距离地铁站也很近，非常方便出行', 'star': 5}
{'descr': '酒店在硬件上面需要改善，隔音真的很差，两次都听到到隔壁情侣激情演绎。\n酒店服务还真的挺好的。', 'star': 1}
{'descr': '位置好找.出行有公交地铁挺方便', 'star': 3}
{'descr': ' 房间挺宽敞的，陈设用品都很整洁，就是房间隔音效果有些不好，影响休息了。', 'star': 3}
{'descr': '  还不错吧   就是小了点    沿街房间比较吵', 'star': 3}
{'descr': '特价房很小，不隔音，周围正在拆迁，吃饭的地方都没有，不是很推介', 'star': 1}
{'descr': '在火车上电话订的沈阳北陵公园店的特惠房~是临走廊的窗，拉窗外面有磨花的大玻璃，很安全的~床品有被太阳晒过的干爽，很舒服！', 'star': 3}
{'descr': '特价房的通风不给力啊，其他还都可以，如家的热水最好了！', 'star': 5}
{'descr': '酒店还是比较小，附近什么可能因为在拆迁吧，连吃饭的地方都没有。房间也很小。不推荐', 'star': 1}
