{'descr': '房间空调不行，很吵闹，而且屋顶很低很压抑', 'star': 4}
{'descr': '不错  下次还来', 'star': 5}
{'descr': '', 'star': 5}
{'descr': '非常非常非常好', 'star': 5}
{'descr': '干净服务好', 'star': 5}
{'descr': '多功能今年年内', 'star': 5}
{'descr': '环境还不错，地方稍微偏僻了点…', 'star': 4}
{'descr': '酒店位置很安静，酒店也很干净，距离南京东路地铁站6号出口就200多米，出了地铁口，往左前方走，距离南京路步行街很近，300米左右，旁边有个两个大百货，去外滩大概走10-15分钟，地段不错,酒店是应该是几位美女一起开的，19号上午来来的那个美女前台很漂亮，哈哈！酒店挺有文艺范儿，', 'star': 5}
{'descr': '环境特别好，有上海风情，特别喜欢，不过真的是领略了那个超袖珍的电梯！总体来说，真的挺好的！离步行街，外滩都特别近！', 'star': 5}
{'descr': '卫生干净', 'star': 3}
{'descr': '一个不起眼的地方.电梯只能上一个人.胖的人小心', 'star': 4}
{'descr': '服务是很不错的，前台很贴心。可能到的比较晚了，热水都不热，前台就给安排另一间靠近水箱的，但水还是不热。地理位置比较方便，还算好找', 'star': 4}
{'descr': '較簡陋, 地點算是方便, 不少外國人, 日本人入住, 服務員也算有禮貌, 有一部極細小的升降機,房間陰暗, 窗口難關上, 房門也沒有安全鎖, 樓層間有監控鏡頭(但不確定他們有沒有開啟) ., 晚間12點回酒店時, 服務員會問客人房號, 看起來好像滿安全的...總括而言, 只有方便..... ', 'star': 4}
{'descr': '很满意的住宿', 'star': 5}
{'descr': '非常满意，非常方便', 'star': 5}
{'descr': '离外滩和南京路步行街很近。酒店环境不错，很安静。推荐', 'star': 5}
{'descr': ' 房间虽小，但布置的很温馨', 'star': 3}
{'descr': '就在河南中路与宁波路交叉口往北走一点点，距离2号线和10号线地铁出口很近。关键的是服务态度很好，房间虽然不大但是环境不错，惊喜的是居然大厅里有台电脑供可客人使用，大厅还有休息处和杂志取阅处，并且有外文杂志专栏。推荐！', 'star': 5}
{'descr': '超好的。地段超级好，离南京路、外滩毛近的。环境也好。小哥人也很好哟~~', 'star': 5}
{'descr': '地理位置不错，离步行街丶外滩很近，附近小吃店很多!\n', 'star': 5}
{'descr': '太可以，地理位置挺好的，就是标准间里的床太小了，比如家的小很多。', 'star': 5}
{'descr': '此酒店感觉服务不错，位置非常好，离外滩和南京路近，离地铁口也近，很方便。', 'star': 5}
{'descr': '推荐，位置好，步行至外滩只需15-20分钟，环境干净。交通方便', 'star': 5}
{'descr': '酒店还算干净.外部环境不怎么样.', 'star': 3}
{'descr': '很有特色的一家宾馆，交通方便，就在十号线地铁南京东路站的旁边。我住的是豪华标间，客房内部小了点，但是胜在居然有一个很宽阔的阳台，四五个人坐在里面喝茶都显得宽敞，真是个意外的惊喜。下次还会选择这里~~', 'star': 5}
{'descr': '三赞：一赞装修--非常特色和个性；二赞细节--配套齐全，洁卫地砖防滑非常好；三赞服务--服务态度OK，最值得一提的是酒店的信用好，本来预订了双人标准房，不知什么原因订单显示为单人标准房，酒店免费升级了一间套房，这种信用一般在四星以上的酒店才能享受到的。另外，酒店的位置挺好，离地铁10号线6号出口很近，离外滩也只有几百米，下次来上海我首选子鱼居！', 'star': 5}
{'descr': '住了3天，挺不错的，也比较好找，以后还会去的。', 'star': 5}
{'descr': '挺干净的，虽然小，但很温馨，定的是特价房，但是住的还不错。', 'star': 5}
{'descr': '环境不错，觉得住的蛮好的，有机会还会来住的，我很喜欢', 'star': 5}
{'descr': '漂亮的套房，尤其是壁画', 'star': 3}
{'descr': '房间不大，但很干净，里面的陈列品和用品都是宜家的。服务态度好的没说的。。。非常喜欢这个酒店。。就是电梯还没有装好', 'star': 5}
{'descr': '酒店的入口很小但是一楼不知很有风味。电梯还没好，狭小陡峭的楼梯间让我们行李扛得幸苦，酒店很贴心地在上楼的低檐处加了软垫以免客人碰到头。房间实在不大，味道很大，开了窗还好点。地理位置极佳', 'star': 1}
{'descr': '很棒，很美的酒店。小复式，很喜欢。地理位置不错，离南京路、外滩近。', 'star': 5}
