{'短评内容': '环境设施都很好', '短评打分': 5}
{'短评内容': '房间卫生周边环境很不错酒店服务设施齐全', '短评打分': 5}
{'短评内容': '房间空间正好，内饰舒服考究，但是前台反应不快然后就是房间有一点味道，价格并不优惠如果有更多折扣就好了。', '短评打分': 5}
{'短评内容': '总体还可以', '短评打分': 4}
{'短评内容': '真的很不错', '短评打分': 5}
{'短评内容': '帮同事订的，反应非常的好，她说房间干净，交通方便，唯一不足就是太贵了些，如果价格再优惠多多的话就更好的了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比最好的万豪了', '短评打分': 5}
{'短评内容': '总体性价比不错', '短评打分': 5}
{'短评内容': '因开会入住该酒店，总体来说还好。', '短评打分': 5}
{'短评内容': '位置好，酒店好，周边方便', '短评打分': 5}
{'短评内容': '很不错的酒店，就是价格偏高，性价比低', '短评打分': 5}
{'短评内容': '不错的。', '短评打分': 5}
{'短评内容': '挺不错，硬件和服务都比较到位', '短评打分': 3}
{'短评内容': '很好的酒店，环境很好！特别是晚上，窗外的灯光很美。', '短评打分': 5}
{'短评内容': '房间正对着长风公园，晚上窗口望出去夜景相当漂亮，孩子兴奋的不得了！吃完晚饭，可以到酒店旁边的购物区去逛逛，有吃的，有玩的 ，还有购物的，很方便，也很丰富！酒店房间还不错，就是相对于一个新的酒店而言，浴巾之类的物品好像旧了点，不像新的！酒店的前台服务很好，不像之前看到评价说的那样。早上的餐厅服务也相当不错，不论是住客还是服务员，素质都很高。就是早餐对于中国人来说，相对单一了点，小孩子能吃的东西不是特', '短评打分': 5}
{'短评内容': '不错的酒店，如果行政楼层的食品花样再多一些会更让人开心的', '短评打分': 5}
{'短评内容': '酒店对面就是长风公园，环境很不错，就是附近设施少了一点点', '短评打分': 5}
{'短评内容': '酒店很不错，尤其是入住行政楼层，可以享受24小时的免费食品饮料', '短评打分': 5}
{'短评内容': 'very good hotel, i will be back', '短评打分': 5}
{'短评内容': '设施较新，服务不行。带着孩子来的，手上几件大行李，门口几个服务生就当没看见，站着，不帮助客人提行李，客人自己大包小包的进酒店。退房时也是这样，服务员就在边上站着，不来帮助客人！不知道这个酒店怎么对员工进行培训的，太不专业。   房间里的空调暖气打不高，挺冷的。性价比不行。', '短评打分': 1}
{'短评内容': '位置、环境和服务都是一流的，对比其他的五星级酒店，这个酒店的性价比很值得。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店很新,强烈推荐!', '短评打分': 3}
{'短评内容': '不愧为五星级的，房间设施都不错，住的挺舒服的，从窗口望出去，景色也很好。美中不足的就是自助早餐品种太少，要一百多一位，不值这个价。', '短评打分': 5}
{'短评内容': '很好但太貴了價格很離譜超乎一般人接受度只是配合世博炒作', '短评打分': 5}
{'短评内容': '是结婚当天定了预备做婚房的。当天拍完外景，就直接穿着婚纱去前台办理入住手续了。前台小姐倒是很体贴。看到我们是新人。说给个安静点的房间。房间倒确实是很安静。但位置也是比较靠里满偏的。其实倒是满希望能给个免费升级。毕竟是婚宴过后休息用。但比较遗憾酒店没看在是新人的份上慷慨一记。：）。就定的豪华房。因为第二天要睡的晚点。所以没要含早餐的那种。房费1200。另 180的服务费。房间感觉不大。没豪华房的豪放', '短评打分': 5}
{'短评内容': '房间挺大，收拾的也不错，最重要的是光线很好，太阳洒进来很温暖。', '短评打分': 5}
{'短评内容': '环境不错，房间整洁，晚上可以眺望上海的夜景，缓解压力，值得推荐。', '短评打分': 5}
{'短评内容': '服务员工作的时候很认真，询问什么事情时态度也是非常的诚恳，很喜欢这样的员工。', '短评打分': 5}
{'短评内容': '和老公休假的时候去住过，很喜欢这家的早餐，是西餐，味道可口，服务也是蛮热情的。', '短评打分': 5}
{'短评内容': '酒店是新开的，设施及服务都很好。', '短评打分': 5}
{'短评内容': '硬件不错。但房价太高，还不含宽带网。也不含早餐。吃了一顿早餐花了200多，感觉很不值。', '短评打分': 1}
