{'短评内容': '住三楼，没有电梯，没有吹风机，香菇，蓝瘦……', '短评打分': 3}
{'短评内容': '还好，可以带孩子！', '短评打分': 5}
{'短评内容': '停车很方便景点近', '短评打分': 5}
{'短评内容': '这是第二次入住了，便宜实惠，房间和床都很大，交通和吃饭都很方便。一点不比那些快捷连锁酒店差，强烈推荐！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': 'killing明明哦匿名嘻嘻嘻嘻休息咿呀1', '短评打分': 5}
{'短评内容': '地方还不错，也很好找，环境安静好睡觉，附近就是桂林理工大学后门，小吃零食一条街区，可以随时补充能量，出行理想住处', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '地方不错，背靠村庄，夜晚安静舒适，适合休息和放松时候来体验生活，同时位于大学后门，吃饭水果店铺不少，物美价廉', '短评打分': 5}
{'短评内容': '地方不错，环境安静', '短评打分': 5}
{'短评内容': '设施和清洁都不错，服务也好。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '酒店门前的街有点黑', '短评打分': 4}
{'短评内容': '还行，就是酒店门前的街有点黑！', '短评打分': 4}
{'短评内容': '六合路相对路况较差，窄且车多，酒店交通受影响。但周边生活很方便，小吃、水果一应俱全。且酒店距七星公园近是一大优点。服务也还不错。\n\n', '短评打分': 5}
{'短评内容': '六合路相对路况较差，窄且车多，酒店交通受影响。但周边生活很方便，小吃、水果一应俱全。且酒店距七星公园近是一大优点。服务也还不错。', '短评打分': 5}
{'短评内容': '酒店挺新的，环境和服务都不错', '短评打分': 3}
{'短评内容': '装修不错服务尚可有餐饮哦', '短评打分': 3}
{'短评内容': '环境很好，面向桂林理工大学，背靠七星公园。', '短评打分': 5}
{'短评内容': '号称4星级标准。。。实在是大骗子。。。。以后绝不再去。。。。.............................................................', '短评打分': 1}
{'短评内容': '服务态度差，硬件不行。。。。还中途停电。。。蚊子又多。。。超级讨厌！！！！！...............................................................................................................', '短评打分': 1}
{'短评内容': '没有想象中的那么好，一般能过的去，一半的价钱才差不多。', '短评打分': 3}
{'短评内容': '酒店服务很好，环境不错，房间卫生也相当满意，是我喜欢的那种安静的环境！', '短评打分': 5}
{'短评内容': '优点：内部环境不错，房间很大，2张1.5米的床很宽，性价比高；\r\n缺点：地处小街进出不方便，可停车但收费，早餐较差，我们所住的标间与隔壁单人间居然有一道房门可通。', '短评打分': 5}
{'短评内容': '我记得评论过了呀，很好呀，住的舒服，环境可以，物有所值', '短评打分': 3}
{'短评内容': '刚进去感觉一般，住着还是很舒服的，性价比高。我住的三楼。', '短评打分': 5}
{'短评内容': '对酒店最大的印象就是前台服务员的印象，那个差，真叫人难忘！！位置相当偏，如果我不是自驾车去，肯定第二天就不住了，其他条件都一般般，不会太差但也没有什么惊喜的地方！', '短评打分': 1}
{'短评内容': '，我朋友已低于预订价入住。酒店末如网上星级标准所述，周边环境较喧嘈。网上描述与实际不符。', '短评打分': 5}
{'短评内容': '酒店设施还不错，房间大而且很舒适，就是声称的4星际根本达不到，该有的游泳池也没有，大堂达不到标准。地理位置太偏僻。', '短评打分': 3}
{'短评内容': '这家酒店整体感觉还不错，卫生很好，房间很干净，布置装饰的也很温馨。', '短评打分': 5}
{'短评内容': '这个酒店位置比较偏，设施比较旧，但是服务员的态度还是不错的！\r\n房价不高。如果预算比较低的情况下，入住这个酒店还是不错的选择。', '短评打分': 5}
{'短评内容': '酒店很不错，床很大，房间很大，就是位置太偏，还有就是声称4星级其实根本不是，没有4星级酒店该有的设施', '短评打分': 5}
{'短评内容': '在一条很偏僻的街道，6合路，周围倒是安静，但是房间给我安排到一个清洁周转房附近，很乱很脏，保洁员的车子随便横着挡着过道，保洁员还经常大声聊天，很吵的。  早餐在楼顶还好。其他没啥特色', '短评打分': 1}
{'短评内容': '位置不是太方便的不过也是打车去的感觉还不错，内部环境感觉还不错，当时也是住的时间不长不过总体感觉还是挺不错的。价格也很适中，要是位置能再近一些就更好了。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，配置硬件设施都很达标，卫生服务也很好，位置也很安静，值得推荐入住。', '短评打分': 5}
{'短评内容': '总体来讲还不错.卫生和设施条件都挺好的，主要是位置方便我出行办事.综合水平还行.', '短评打分': 5}
{'短评内容': '总体来讲还不错.卫生和设施条件都挺好的，主要是位置方便我出行办事.综合水平还行.', '短评打分': 5}
{'短评内容': '位置有点偏', '短评打分': 5}
{'短评内容': '房间的内部设施还是不错的,房间打扫的也挺干净,交通也不方便,价格还是有些贵了,服务态度和管理方面还是比较不错的.总体还是比较不错的.', '短评打分': 3}
{'短评内容': '酒店的住宿条件方面都还是不错的,蛮干净的,而且价格也不是很贵,还是可以接受的.', '短评打分': 3}
{'短评内容': '设施和服务都还可以，但就是位置一般，在一条小巷里，不好找。', '短评打分': 5}
