{'短评内容': '环境设施都是一般话', '短评打分': 3}
{'短评内容': '酒店还好吧，毕竟假日酒店都紧张，24小时都有热水，隔音不太好，房间卫生有点差，周围有点吵，尤其是晚上。', '短评打分': 3}
{'短评内容': 'l一般', '短评打分': 3}
{'短评内容': '一般般一般般', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '什么都好就是网络不给力', '短评打分': 4}
{'短评内容': '酒店开不了发票，携程也不提供发票', '短评打分': 5}
{'短评内容': '条件一般，卫生一般，周边环境一般，房间隔音一般!条件一般，卫生一般，周边环境一般，房间隔音一般!条件一般，卫生一般，周边环境一般，房间隔音一般!重要的事情说三遍。', '短评打分': 4}
{'短评内容': '酒店只有那么差了，260的元不值得，顶多就能称得上一个宾馆吧，隔音哎，差死了，幸好只在这里住了一晚。哎哎哎。周边环境也不好，菜市场对面就是，停车也非常不方便，停在大街上的。', '短评打分': 1}
{'短评内容': '卫生间真心不怎么样，马桶是坏的，洗漱用品没有，不过服务不错。', '短评打分': 3}
{'短评内容': '性价比还可以，去哪里都方便，店里服务人员都热情', '短评打分': 4}
{'短评内容': '性价比高，缺点就是没有wifi。其他配套设施都还好', '短评打分': 5}
{'短评内容': '还可以，', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
