{'短评内容': '服务质量OK.谢谢！', '短评打分': 3}
{'短评内容': '就是离孔庙近一点，其他的什么都没有，简直烂到极点，卫生环境都差', '短评打分': 1}
{'短评内容': '酒店位置真好，附近什么都方便，房间还有电脑，安静，干净，就是早餐不咋地，不过下楼就有小吃', '短评打分': 5}
{'短评内容': '硬件设施尚可，服务水平一般。', '短评打分': 3}
{'短评内容': '赶上国庆了，价格都在上调，这个价位就算可以了吧', '短评打分': 5}
{'短评内容': '环境非常不错。离“三孔”很近，还有早餐，推荐', '短评打分': 5}
{'短评内容': '酒店位置很好，离孔府孔庙非常近，卫生也还可以，就是早餐舍不得给鸡蛋，房间不隔音', '短评打分': 5}
{'短评内容': '酒店一般，隔音不好！', '短评打分': 3}
{'短评内容': '订的是豪华单间，除了空间大，就没有什么了，洗澡水不行，快冻死我了，水又小', '短评打分': 5}
{'短评内容': '房间比较简陋，倒也整洁。洗澡的热水太小，大概8-10只水注下来，冲一个澡要十几分钟。这个价位有点贵，不值。', '短评打分': 1}
{'短评内容': '该酒店还真不怎么样，至少这样的标准间不值178元，梳子只有一把，浴巾只有一条，二人合用，在我到过所有的宾馆还是第一次碰到这样的事，说是他们经理规定的，这么热的天餐厅竟然没有空调，这是三星级吗？', '短评打分': 1}
