{'短评内容': '算是经济实惠吧', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '还行，就是味道有点难闻', '短评打分': 5}
{'短评内容': '越来越差，特别是前台!', '短评打分': 3}
{'短评内容': '不错的酒店！', '短评打分': 5}
{'短评内容': '环境一般，设备比较旧，服务较差，早餐很差', '短评打分': 3}
{'短评内容': '军区招待所，价格死贵。', '短评打分': 3}
{'短评内容': '多次入住金山宾馆，主要原因是酒店的地理位置十分优越，距离火车站和汽车站都很近，附近大商场也很多，购物吃饭都方便。', '短评打分': 4}
{'短评内容': '卫生极差 有很多蟑螂', '短评打分': 3}
{'短评内容': '总的还可以', '短评打分': 4}
{'短评内容': '网络信号很差。早餐还可以。距沈阳站很近。', '短评打分': 4}
{'短评内容': '不咋滴', '短评打分': 3}
{'短评内容': '房间没有矿泉水，打服务电话要了瓶矿泉水，人家说：一瓶两块，自己拿；送过去三块。我说送过来（已经脱衣服了，所以不方便）人家问几瓶，我说一瓶，人家之间烦气着说：一瓶五块！', '短评打分': 4}
{'短评内容': '不错，结果发现是军区的宾馆，有士兵为你开门，顿时觉得很安全，下次还来住', '短评打分': 5}
{'短评内容': '在沈阳站东出口附近，性价比很好，转车可以住，推荐', '短评打分': 3}
