{'短评内容': '酒店位置好', '短评打分': 5}
{'短评内容': '房间很大，设施略陈旧，服务很好', '短评打分': 5}
{'短评内容': '房间不错哦，挺大的呢，有浴缸，就是浴缸有点漏水，安排的30楼江景房，能看到东方明珠，不过到的时候已经关灯了……门口保安大爷英语很溜～', '短评打分': 4}
{'短评内容': '经常入住，越住越差，不得不说服务，垃圾的很，简直了不能再差劲的服务。。。。下次考虑其他酒店吧，对不起这个价格。房间倒是比较大', '短评打分': 4}
{'短评内容': '经常入住，越住越差，不得不说服务，垃圾的很，简直了不能再差劲的服务。。。。下次考虑其他酒店吧，对不起这个价格。房间倒是比较大', '短评打分': 3}
{'短评内容': '差的不能再差了、真的是不想一个酒店！22楼居然还有美容美体、噪音大、还不关门、门居然还换成了玻璃的、房间还向外出租、没有正规的大堂、马上要荒滩的样子！我也真的是无语了、比起前几年的真的是差太多了', '短评打分': 2}
{'短评内容': '帮同事出差预定的，反映都还不错', '短评打分': 4}
{'短评内容': '酒店正在装修，外观不是很好看，里面还是很不错的，位置方便，到南京东路就几分钟。', '短评打分': 5}
{'短评内容': '前台服务态度很好，看我们带孩子特意给升级为行政套，房间虽然有些老旧，但是卫生还算干净，床品住着也挺舒服的，酒店位置较好，离南京路步行街几百米，人民广场上海博物馆都很近，走着十多分钟就到了，', '短评打分': 5}
{'短评内容': 'This hotel is dying. No breakfast, no services. Just like an appartment house.', '短评打分': 2}
{'短评内容': '每次国外的同事出差都住这，四次了。他们说性价比很好。位置离南京路和外滩都很方便，价位也合适，关键是早餐适合他们的胃口。', '短评打分': 5}
{'短评内容': '酒店环境还不错……', '短评打分': 5}
{'短评内容': '设备很久很老 一股味道 前台接待很友好。房间超级小 唯一优点就是能看到外滩的夜景', '短评打分': 4}
{'短评内容': '出行方便。服务很好。就是设施旧了，还是显现管电视。干净还是与酒店级别相附的。', '短评打分': 5}
{'短评内容': '酒店太烂了 里面一股的味道。亏大了', '短评打分': 1}
{'短评内容': '环境设施都还不错，就是空间太小，还有的细节方面不是太好！', '短评打分': 4}
{'短评内容': '首选酒店，老马识途，还给升级行政房，当然好评价，值得收藏的酒店。', '短评打分': 5}
{'短评内容': '这个酒店太老了，性价比低。如果房间400元，还说的过去。', '短评打分': 3}
{'短评内容': '房间比较小，其他尚可', '短评打分': 4}
{'短评内容': '很不错的一家酒店，性价比很高，住房条件也不错，很干净，也很有档次，适合出差旅行的朋友入住，下次去还住这家酒店', '短评打分': 5}
{'短评内容': '不是高星际酒店， 除非高=3星。 地理位置如果你希望逛外滩附近是好的。被高星级忽悠了，下次要谨慎！', '短评打分': 1}
{'短评内容': '性价比很不错，缺点就是电视机太古老，但我无所谓', '短评打分': 5}
{'短评内容': '酒店装修还可以，地理位置很好，大床房房间偏小，最恶心的是屋内有大蟑螂！前台服务不热情，对酒店周围情况不熟悉，服务的不够周到', '短评打分': 3}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '酒店还可以，走路去南京路步行街比较近，只是五星级酒店的大床居然才1.5米让人有点难以接受。', '短评打分': 5}
{'短评内容': '交通便利 ，去步行街就3分钟就到了。周围餐馆很便利', '短评打分': 5}
{'短评内容': ' 房间大挺干净。东西也全。但是老旧了点。特别是卫生间。总体来说还是满意的。', '短评打分': 3}
{'短评内容': '酒店干净，舒适，安静，适合商务旅行，地点很好，交通很方便，地铁到机场火车站都很方便', '短评打分': 5}
{'短评内容': '特价的时候入住的，不错，干净，值得推荐,离外滩很近', '短评打分': 5}
{'短评内容': '性价比不高，挂牌4星，整体来看，勉强符合三星标准。 洗漱用品可以和经济型酒店匹敌。\n\n大厅是唯一的亮点，晚上有人弹钢琴，去坐坐还可以，但是下次是肯定不会去住了。\n\n停车费40一天，貌似还给我优惠了。\n\n地理位置，离外滩，南京路，城隍庙不算远，走过去也就10分钟左右吧。', '短评打分': 1}
{'短评内容': '非常好，推荐。', '短评打分': 3}
{'短评内容': '酒店条件及环境均很好，满意。', '短评打分': 3}
{'短评内容': '宾馆不错，尽管有点老，和真正的5星级标准有点差距，但服务很好，最主要的是离南京路非常近，购物出行很方便。', '短评打分': 5}
{'短评内容': '酒店位置很好，去外滩啊南京路啊倒地铁啊都很方便。美中不足房间内空调噪音大了些。', '短评打分': 5}
{'短评内容': '谁说房间太小？谁说设施陈旧？小的可以接受，旧的很干净，毕竟是星级酒店。开窗就能看到东方明珠塔，外滩南京路走五分钟就到。大厅够气派，老外很多。毕竟这样的地段，398的特价房很值。', '短评打分': 3}
{'短评内容': '说实话性价比不高，硬件过于旧…无wifi', '短评打分': 1}
{'短评内容': '房间不大，但很整洁', '短评打分': 3}
{'短评内容': '还可以的酒店吧，促销价格，还是比较值得的。', '短评打分': 5}
{'短评内容': '酒店位置很好，就是房间小了点，保养的很一般', '短评打分': 3}
{'短评内容': '我们事先在网上订的标间到店时没有了，酒店免费给我们升级到豪华商务套房，房间非常棒。卫生间大，浴缸大，酒店环境不错，离南京路、外滩不远。服务不错。停车收费。', '短评打分': 5}
{'短评内容': '酒店位置很好，步行街和外滩5分钟即到，房间干净也很安静，相当超值。推荐！', '短评打分': 5}
{'短评内容': '位置不错，价格一般，装修还不错，房间稍小', '短评打分': 5}
{'短评内容': '卫生间太小，不像星级宾馆，其他都非常好。特别是价格和位置。', '短评打分': 5}
{'短评内容': '价廉物美，希望能常常订到如此好的房间。强力推荐。', '短评打分': 5}
{'短评内容': '第二次入住，已是回头客了。逛街游玩比较方便！', '短评打分': 3}
{'短评内容': '性价比不错 交通便利 闹中取静 适合商务旅游 周边很多小吃店 对面就是24小时超市 ', '短评打分': 5}
{'短评内容': '酒店位置佳，房间蛮大且安静，性价比高，下次还会选择入住。', '短评打分': 5}
{'短评内容': '距离外滩非常近，交通很方便，房间也比较大，设施比较齐全，性价比很高～', '短评打分': 5}
{'短评内容': '酒店地理位置不錯', '短评打分': 3}
{'短评内容': '配套还是比较旧的，但是地段还是可以的，打车去什么地方都很近，以后还会考虑，价格还不错！', '短评打分': 5}
{'短评内容': '昨天入住了该酒店，作为上海人感觉地段很好，出行方便，大堂气派，性价比很高，原先住的汉庭全季白金会员打折下来都要378了，唯一感觉卫生间小了点，浴巾，毛巾太旧，感觉脏兮兮的，建议改进，周末还会来住的。。。', '短评打分': 5}
{'短评内容': '装修老旧！地理位置不错交通方便！是一个门童都没有的五星酒店！哥笑了！', '短评打分': 5}
{'短评内容': '地理位置很好。很方便晚上出去走走。但酒店比较陈旧。而且没有早餐。性价比不高。', '短评打分': 1}
{'短评内容': '已经多次入住，酒店位置还是很不错的，酒店设施也还不错，大堂感觉不够大气！', '短评打分': 5}
{'短评内容': '离步行街和外滩都很近，出行方便，价格也实惠！', '短评打分': 5}
{'短评内容': '这个酒店性价比还是比较高的，价格适中。就是在路边，有时有点吵杂。', '短评打分': 5}
{'短评内容': '酒店已经第三次入住了，还不错，现在做活动，很便宜哦！只有400多，去江边或者南京路都很方便。', '短评打分': 3}
{'短评内容': '地利位置方便，周边24小时营业的便利店很多，床很舒服，房间也蛮大的！', '短评打分': 5}
{'短评内容': '外表很大气，靠近外滩，比较气派，房间设施呢一般，前台工作人员给我的印象很深刻，外语很棒，挺厉害的', '短评打分': 5}
{'短评内容': '环境交通地理位置都不错 适合晚上逛街  可惜就是没时间啊', '短评打分': 5}
{'短评内容': '酒店比较老，但是环境交通地理位置都非常的不错', '短评打分': 5}
{'短评内容': '住了2天，地理位置绝佳，小吃什么的应有尽有，特别是旁边有家うどん的日本料理店，东西很正宗相当好吃~ 不过房间隔音效果确实不算太好。', '短评打分': 5}
{'短评内容': '没有其他人评论的那么差，前台服务彬彬有礼，地段很不错，毗邻南京东路和福州路，餐饮、文化、购物方便，不远处是人民广场。', '短评打分': 5}
{'短评内容': '路段超好环境还可以', '短评打分': 3}
{'短评内容': '位置极好，有一个疑问为什么分为内宾外宾来提供房间', '短评打分': 5}
{'短评内容': '位置超好，旁边有许多小店，傍晚可以逛逛小胡同', '短评打分': 5}
{'短评内容': '总台服务不热情，房间内味重，卫生间地面门框不整洁', '短评打分': 3}
{'短评内容': '酒店价格适中，地势好，到外滩、南京路、城隍庙步行5分钟，酒店装修陈旧了点，房间及卫生间拥挤。', '短评打分': 3}
{'短评内容': '酒店很有档次，绝对有五星级的服务。不过我住的商务间是设备比较陈旧家具。地理位置绝佳。', '短评打分': 5}
{'短评内容': '房间偏小，不过酒店环境不错，欧式风格。设置略显陈旧\n', '短评打分': 5}
{'短评内容': '地段是还可以，但是设施旧了一点，电视还是那种古老的，地毯感觉潮潮的。前台不够热情。有小朋友在大堂里玩的欢，尖叫了一下，前台小姐脱口而出一句“操”，瞬间石化...这哪是星级酒店的素质啊。', '短评打分': 1}
{'短评内容': '很好，下次还会来住的，会推荐给别人，不错', '短评打分': 5}
{'短评内容': '我已经入住上海中福世福汇大酒店', '短评打分': 3}
{'短评内容': '离外滩很近，环境不错，为朋友定的，反映不错', '短评打分': 5}
{'短评内容': '为朋友预订的，据他们反映觉得不错，预订就是因为地段靠近外滩，方便。不过价格还是挺高的。', '短评打分': 5}
{'短评内容': '地点价格都还不错，就是服务差了点，问话眼睛都不看人尽朝天上看的', '短评打分': 3}
{'短评内容': '1.酒店前台接待很冷淡，对我们客人爱理不理的；2.要客房服务人员送蚊香过来，她送来后，我另外一个房间的朋友看到了，也想要，她居然说，不会吧！相信这句话不应该出自五星级酒店服务员的嘴里。3.酒店虽然有停车位，但是居然要对住客收费的，我住了两天，收了我72元停车费。以前住云悦酒店时都不要的，而且房间也比这里的好，还便宜。', '短评打分': 1}
{'短评内容': '酒店不怎么样，对不起五星的称号，房间小的要死。以后在也不去了。', '短评打分': 3}
{'短评内容': '酒店环境位置都很好，离外滩特别近。跟外国同事一起住的，非常满意', '短评打分': 5}
{'短评内容': '酒店位置不错，离外滩特别近。环境也很好,下次还会入住', '短评打分': 5}
{'短评内容': '酒店服务热情周到，给人宾至如归的感觉。加之比邻外滩和南京西路步行街，很便利。我很喜欢酒店的福文化，感觉暖暖的！很幸福！', '短评打分': 5}
{'短评内容': '比较方便，还行。', '短评打分': 3}
{'短评内容': '常住这家酒店，性价比很高，交通也方便，不错', '短评打分': 3}
{'短评内容': '地理位置十分优越，交通便捷，卫生和服务值得信赖', '短评打分': 5}
{'短评内容': '房间小，比较老，但还干净，地段方便', '短评打分': 3}
{'短评内容': '很不错的酒店，吃喝玩都很方便，很喜欢！下次去上海玩还去那边。', '短评打分': 5}
{'短评内容': '也算一朵奇葩，隔壁看电视，我房间听电视，声音倍清晰。墙壁估计是纸糊的', '短评打分': 1}
{'短评内容': '设置有点老旧，但是地点还是不错的，步行到外滩和南京路都很方便。', '短评打分': 1}
{'短评内容': '性价比不错，位置不错，交通也很方便，前台接待服务比较好。下次如果去上海还会去住。唯一遗憾的就是标间只有一个早餐。', '短评打分': 5}
{'短评内容': '很不错的酒店，因为是过年的时候去的 服务员很少，装修在原来看起来肯定不错，但现在有些陈旧，但非常干净。地理位置也很不错，从南京路步行街地铁站出来步行也就3-5分钟！', '短评打分': 5}
{'短评内容': '酒店性价比不高', '短评打分': 3}
{'短评内容': '12点半到13点还没入住，房间收拾的速度也忒慢了吧！', '短评打分': 3}
{'短评内容': '还是不错的酒店，价格合适，位置还是很方便，就是房间有点旧，其他还行。', '短评打分': 5}
{'短评内容': '帮朋友订的，酒店离外滩不远，交通还是很方便的，房间可以，就是稍微有点旧了，不过总体还行。', '短评打分': 5}
{'短评内容': '设施陈旧,虽然位置不错。和浦东比浦西真是落寞啊！', '短评打分': 1}
{'短评内容': '酒店太旧了', '短评打分': 3}
{'短评内容': '挺方便的  早餐不错啊           ！', '短评打分': 5}
{'短评内容': '方便，近外滩，，，，，，，，，，，，，，，，，，，，，。', '短评打分': 5}
{'短评内容': '酒店比较旧了，服务也比较差，下次不会入住了', '短评打分': 1}
{'短评内容': '非常实在的酒店，强烈推荐', '短评打分': 3}
{'短评内容': '性价比高的一家酒店，地理位置非常好，前台态度需要改进。', '短评打分': 3}
{'短评内容': '性价比在上海闹市区可以，不过每注放大镜看', '短评打分': 5}
{'短评内容': '还可以吧，设施旧点，交通方便。不过和浦东比浦西真是没落啊。', '短评打分': 5}
