{'短评内容': '酒店设施简陋，不卫生。除了交通便利，一无是处。', '短评打分': 2}
{'短评内容': '酒店什么都好，就是Wi-Fi没有，害我用了2天流量', '短评打分': 5}
{'短评内容': '干净舒适', '短评打分': 5}
{'短评内容': '一般，将就', '短评打分': 3}
{'短评内容': '还是可以的，一直住7 天', '短评打分': 5}
{'短评内容': '环境不错可以', '短评打分': 5}
{'短评内容': '酒店没有停车场，得自己花高价停在旁边的停车场，第一间房一开空调就跳闸断电，换了第二间电视机顶盒坏的，接着换第三间，空调响得像发动机一样，实在不想再换房了，就打算不开暖气让加个被子，告知已经没有被子加了.......住过最让人崩溃的酒店&hellip;&hellip;', '短评打分': 1}
{'短评内容': '超级崩溃的一次住宿，房间设备陈旧，洗手间窗户无窗帘，贴的玻璃纸已被撕掉', '短评打分': 1}
{'短评内容': '一般，服务态度不怎样，', '短评打分': 5}
{'短评内容': '一般般，地段方便，其他没有什么好的地方', '短评打分': 3}
{'短评内容': '卫生尚可，价格便宜，周边交通便利', '短评打分': 4}
{'短评内容': '总体可以，卫生', '短评打分': 5}
{'短评内容': '干净舒适', '短评打分': 5}
{'短评内容': '房间类型不好', '短评打分': 4}
{'短评内容': '非常不错的，就是没有早餐也没有牙刷。下回自己带点。', '短评打分': 5}
{'短评内容': '酒店非常不错，很好找，就在重百旁边，很方便', '短评打分': 5}
{'短评内容': '移动信号一格都没有打110，119打不出去，wifi虽然是满格，但是根本上不了，卫生条件特别差，价格特别贵。', '短评打分': 2}
{'短评内容': '地理位置非常好，离遵义会址很近，又离步行街也不远，很方便。', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
