{'短评内容': '交通方便，装修很好，早餐也很好，停车也很方便。', '短评打分': 5}
{'短评内容': '性价比高，虽然外观有点旧，里面蛮干净....', '短评打分': 5}
{'短评内容': '酒店总体评价一般般', '短评打分': 4}
{'短评内容': '地理位置很好，对面就是扬名广场，酒店卫生很干净，服务态度很好', '短评打分': 5}
{'短评内容': '有停车场，卫生好安静', '短评打分': 5}
{'短评内容': '不错，地方在中心', '短评打分': 5}
{'短评内容': '环境好，房间很干净，装修新！喜欢亲子房，有一张单人床，睡一个大人不成问题！适合带老人或者孩子！就是单人床屋里没空调，还有就是不能开窗户因为没纱窗。', '短评打分': 5}
{'短评内容': '第二次来珠海，还是住的丽舍酒店！服务很好，性价比很高，环境好！下次来还住这里！', '短评打分': 5}
{'短评内容': '不错的酒店 就是网上订不能选不靠马路的 默认靠马路的有点吵', '短评打分': 5}
{'短评内容': '第一次通过京东订房间，但是孩子病了，行程取消，没有入住，本来这个订单是不退款的，说明情况后，京东客服积极联系沟通，在提供孩子病历后，全款退了。钱不多，但是京东客服的态度实在值得称赞，多次沟通确认，酒店也很人性化。还会选择京东，原则这个酒店的。', '短评打分': 5}
{'短评内容': '还不错 就是 去的时候换墙纸 味道大 要求前台换了楼层 ，，，，，，服务还行，，，，', '短评打分': 5}
{'短评内容': '很好，安静又方便，对面就是大的广场', '短评打分': 5}
{'短评内容': '很好，安静又方便，对面就是大的广场', '短评打分': 5}
{'短评内容': '位置可以，就是环境很一般', '短评打分': 3}
{'短评内容': '很不错的体验，酒店很不错。就是有点异味，还可以。', '短评打分': 5}
{'短评内容': '位置挺好的…去哪都方便…特别对面就是扬名广场…逛街购物吃饭非常容易解决…酒店房间还算是干净整洁吧…性价比还算不错', '短评打分': 5}
{'短评内容': '位置挺好的…去哪都方便…特别对面就是扬名广场…逛街购物吃饭非常容易解决…酒店房间还算是干净整洁吧…性价比还算不错', '短评打分': 4}
{'短评内容': '各方面条件都还不错，就是价格有点高，性价比稍低。', '短评打分': 5}
{'短评内容': '还好吧，方便出行555555555555555555555555555555555555555555', '短评打分': 3}
{'短评内容': '酒店整体不错，就是早餐差了些。', '短评打分': 5}
{'短评内容': '很不错，性价比高', '短评打分': 5}
