{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '很温暖很棒，一流性价比，前台杨丽梅热情❤️', '短评打分': 5}
{'短评内容': '酒店的服务是我遇到最好的一家，服务很有心，知道我带小孩，准备了玩具、婴儿车、浴盆等，最满意的一次。', '短评打分': 5}
{'短评内容': '不错的选择，五星酒店，超五星服务。', '短评打分': 5}
{'短评内容': '看网评选择了这家酒店，真的没有让我失望。如网上说的一样，酒店的服务超乎我的想象。送水果牛奶自然不必说。细节做的非常好，鞋子也给清理了并支起来。前台古色古香，很大气。东西忘在前台了，五分钟礼宾小伙居然给送到房间了。大大的一个赞。泰国的东方，云南的大港。完美的体验，给这个旅途增添了很多乐趣。丽江的美，不仅仅在风景上，人的衬托也必不可少。以后来丽江的首选。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店还可以。 很安静。', '短评打分': 5}
{'短评内容': '酒店设施还可以。很安静，酒店位置有点偏。', '短评打分': 5}
{'短评内容': '服务真的很好，值得推荐。', '短评打分': 5}
{'短评内容': '服务真的很好，值得推荐。', '短评打分': 5}
{'短评内容': '服务好，环境也不错，特别推荐', '短评打分': 5}
{'短评内容': '尚未成行，待体验', '短评打分': 5}
{'短评内容': '非常好的酒店，各方面服务都不错，而且带孩子准备了很多小孩用的生活品，非常满意', '短评打分': 5}
{'短评内容': '房间非常宽敞，风景非常优美，服务一级棒，真的下次还要住在这里？', '短评打分': 5}
{'短评内容': '住了一次这个酒店！很不错！服务态度很好！尤其是大堂的迎宾服务很周到！下次来还在这里！', '短评打分': 5}
{'短评内容': '喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢喜欢你喜欢你喜欢你喜欢你', '短评打分': 5}
{'短评内容': '大赞国内外的五星级酒店住的不少，因为带着父母第一次去丽江担心很不方便，所以提前打电话到酒店咨询，像这家酒店服务这么用心的还是第一次遇到，首先入住的前一天就有酒店预订人员打来电话，细心提醒丽江天气温度较低建议带保暖的衣服，高原地区海拔较高紫外线辐射强，提醒带防晒霜，真是太贴心了，到酒店一下车就有酒店的工作人员上前开了一张车票，上边写着出租车的车牌号，还温馨的提醒我下车不要落下东西在车上，由于和父母孩', '短评打分': 5}
{'短评内容': '每次来丽江都会住这里，感觉确实不错，唯一就是早餐比原来还是差啦很多，希望以后越来越好吧，所以还是推荐的', '短评打分': 5}
{'短评内容': '这家酒店可以看得到玉龙雪山，因为时间来不及不能去雪山，所以特意挑了一家可以看雪山的店，服务非常贴心，我觉得送的苹果特别好吃，走的时候前台姐姐给了我们好几个，叫我们路上吃，每次出门的时候都会给我两瓶水叫我路上喝，好贴心，这里比较商务，很多企业会在这里开年会，如果不想住客栈的，完全可以选择这家。', '短评打分': 5}
{'短评内容': '酒店不错环境很好！下次还会入住', '短评打分': 5}
{'短评内容': '床稍微软了点，其他的都不错，住了两晚，下回还会选她。', '短评打分': 5}
{'短评内容': '床稍微软了点，其他的都不错，下回还会选她。', '短评打分': 5}
{'短评内容': '很棒，就是有点小贵，', '短评打分': 5}
{'短评内容': '服务好 周边沒有相关设施', '短评打分': 4}
{'短评内容': '2012年2月14日住了一晚，酒店房间很大，服务也到位，早餐一般，白天没有热风，晚上睡觉有点冷，总体感觉还可以！', '短评打分': 5}
{'短评内容': '环境非常好，很喜欢，前台也很友善，就是大厅里那个卖仿LV包的售货员感觉态度不怎么好，不明白这个档次的酒店干嘛要摆这些出来！', '短评打分': 5}
{'短评内容': '每次来丽江都订这个酒店，非常熟悉了，住的很舒服，还会来', '短评打分': 5}
{'短评内容': '酒店环境很好，还可以看到玉龙雪山。服务亦ok。早餐一般，咖啡很那个！！！', '短评打分': 5}
{'短评内容': '酒店房间很大舒适，前台服务不错，早餐很好。酒店其他设施也很好。对这酒店很满意。', '短评打分': 3}
{'短评内容': '酒店服务不错，环境很好！', '短评打分': 3}
{'短评内容': '酒店很有特色。我住的房间可以看到玉龙雪山。房间很大，卫生间和床超级大。可以免费上网。第一天入住还给了水果和鲜花。', '短评打分': 5}
{'短评内容': '非常好的酒店，环境一流，服务很好，酒店设施齐全，在丽江是很难得的。对比丽江的客栈，大港旺宝提供了真正星级的服务。建议增加一些给散客提供的旅游指南服务。', '短评打分': 5}
{'短评内容': '环境好，服务周到，已入住多次接待客人多次\n。', '短评打分': 5}
{'短评内容': '在大港旺宝住了很多次了，还推荐朋友多多，很喜欢这间酒店，设施、服务、餐饮、环境都不错，性价比较高，下次去丽江肯定还住。', '短评打分': 5}
{'短评内容': '总体来说还好。', '短评打分': 3}
{'短评内容': '酒店是五星级的，其设施及位置r特别好，就是酒店服务人员还需专业的培训,价格有点高。另外去玉龙雪山还是很方便，建议你入住。', '短评打分': 5}
{'短评内容': '酒店环境不错，卫生特别干净，服务很好。住得非常舒服', '短评打分': 5}
{'短评内容': '性价比不错 酒店硬件很好 赠送这么多券有点出乎意料', '短评打分': 5}
